metric,value,date,year,quarter
Income,2039148,1996-04-01,1996,2
Housing Expenses,105859,1996-04-01,1996,2
Income,1990057,1996-04-01,1996,2
Housing Expenses,115401,1996-04-01,1996,2
Income,2154071,1996-07-01,1996,3
Housing Expenses,97891,1996-07-01,1996,3
Income,2257731,1996-07-01,1996,3
Housing Expenses,94471,1996-07-01,1996,3
Income,1978793,1996-07-01,1996,3
Housing Expenses,103675,1996-07-01,1996,3
Income,2158440,1996-10-01,1996,4
Housing Expenses,120821,1996-10-01,1996,4
Income,2210506,1996-10-01,1996,4
Housing Expenses,114168,1996-10-01,1996,4
Income,2070798,1996-10-01,1996,4
Housing Expenses,132020,1996-10-01,1996,4
Income,2227433,1997-01-01,1997,1
Housing Expenses,135858,1997-01-01,1997,1
Income,2295339,1997-01-01,1997,1
Housing Expenses,128864,1997-01-01,1997,1
Income,2117820,1997-01-01,1997,1
Housing Expenses,147147,1997-01-01,1997,1
Income,2170393,1997-04-01,1997,2
Housing Expenses,113194,1997-04-01,1997,2
Income,2212279,1997-04-01,1997,2
Housing Expenses,109810,1997-04-01,1997,2
Income,2101304,1997-04-01,1997,2
Housing Expenses,118776,1997-04-01,1997,2
Income,2281712,1997-07-01,1997,3
Housing Expenses,100430,1997-07-01,1997,3
Income,2397538,1997-07-01,1997,3
Housing Expenses,96495,1997-07-01,1997,3
Income,2096892,1997-07-01,1997,3
Housing Expenses,106711,1997-07-01,1997,3
Income,2163884,1997-10-01,1997,4
Housing Expenses,136598,1997-10-01,1997,4
Income,2213375,1997-10-01,1997,4
Housing Expenses,131551,1997-10-01,1997,4
Income,2085194,1997-10-01,1997,4
Housing Expenses,144621,1997-10-01,1997,4
Income,2050708,1998-01-01,1998,1
Housing Expenses,159719,1998-01-01,1998,1
Income,2252897,1998-01-01,1998,1
Housing Expenses,153367,1998-01-01,1998,1
Income,1761141,1998-01-01,1998,1
Housing Expenses,168816,1998-01-01,1998,1
Income,1937810,1998-04-01,1998,2
Housing Expenses,120424,1998-04-01,1998,2
Income,2115525,1998-04-01,1998,2
Housing Expenses,120263,1998-04-01,1998,2
Income,1683714,1998-04-01,1998,2
Housing Expenses,120654,1998-04-01,1998,2
Income,1893747,1998-07-01,1998,3
Housing Expenses,105038,1998-07-01,1998,3
Income,2098692,1998-07-01,1998,3
Housing Expenses,102707,1998-07-01,1998,3
Income,1615216,1998-07-01,1998,3
Housing Expenses,108207,1998-07-01,1998,3
Income,1989359,1998-10-01,1998,4
Housing Expenses,127016,1998-10-01,1998,4
Income,2155432,1998-10-01,1998,4
Housing Expenses,122070,1998-10-01,1998,4
Income,1762689,1998-10-01,1998,4
Housing Expenses,133765,1998-10-01,1998,4
Income,1990374,1999-01-01,1999,1
Housing Expenses,154438,1999-01-01,1999,1
Income,2256189,1999-01-01,1999,1
Housing Expenses,149836,1999-01-01,1999,1
Income,1651565,1999-01-01,1999,1
Housing Expenses,160303,1999-01-01,1999,1
Income,1947769,1999-04-01,1999,2
Housing Expenses,132274,1999-04-01,1999,2
Income,2133148,1999-04-01,1999,2
