metric,value,date,year,quarter
Housing Expenses,228223,2010-04-01,2010,2
Income,3545153,2010-04-01,2010,2
Housing Expenses,224734,2010-04-01,2010,2
Income,3888913,2010-04-01,2010,2
Housing Expenses,225703,2010-04-01,2010,2
Income,3845905,2010-04-01,2010,2
Housing Expenses,223685,2010-04-01,2010,2
Income,3105915,2010-04-01,2010,2
Housing Expenses,232174,2010-04-01,2010,2
Income,3076116,2010-04-01,2010,2
Housing Expenses,226371,2010-04-01,2010,2
Income,3703413,2010-07-01,2010,3
Housing Expenses,191374,2010-07-01,2010,3
Income,3660223,2010-07-01,2010,3
Housing Expenses,189258,2010-07-01,2010,3
Income,4042094,2010-07-01,2010,3
Housing Expenses,191247,2010-07-01,2010,3
Income,3994403,2010-07-01,2010,3
Housing Expenses,190574,2010-07-01,2010,3
Income,3166764,2010-07-01,2010,3
Housing Expenses,191574,2010-07-01,2010,3
Income,3137124,2010-07-01,2010,3
Housing Expenses,187198,2010-07-01,2010,3
Income,3649443,2010-10-01,2010,4
Housing Expenses,221422,2010-10-01,2010,4
Income,3620365,2010-10-01,2010,4
Housing Expenses,222398,2010-10-01,2010,4
Income,3992857,2010-10-01,2010,4
Housing Expenses,219572,2010-10-01,2010,4
Income,3955663,2010-10-01,2010,4
Housing Expenses,220471,2010-10-01,2010,4
Income,3127655,2010-10-01,2010,4
Housing Expenses,224233,2010-10-01,2010,4
Income,3115133,2010-10-01,2010,4
Housing Expenses,225303,2010-10-01,2010,4
Income,3913761,2011-01-01,2011,1
Housing Expenses,297083,2011-01-01,2011,1
Income,3857626,2011-01-01,2011,1
Housing Expenses,295786,2011-01-01,2011,1
Income,4387262,2011-01-01,2011,1
Housing Expenses,299020,2011-01-01,2011,1
Income,4334355,2011-01-01,2011,1
Housing Expenses,298496,2011-01-01,2011,1
Income,3207164,2011-01-01,2011,1
Housing Expenses,294194,2011-01-01,2011,1
Income,3150384,2011-01-01,2011,1
Housing Expenses,291766,2011-01-01,2011,1
Income,3761903,2011-04-01,2011,2
Housing Expenses,243065,2011-04-01,2011,2
Income,3713476,2011-04-01,2011,2
Housing Expenses,241125,2011-04-01,2011,2
Income,4091551,2011-04-01,2011,2
Housing Expenses,245022,2011-04-01,2011,2
Income,4035209,2011-04-01,2011,2
Housing Expenses,245456,2011-04-01,2011,2
Income,3246207,2011-04-01,2011,2
Housing Expenses,240004,2011-04-01,2011,2
Income,3210083,2011-04-01,2011,2
Housing Expenses,234349,2011-04-01,2011,2
Income,3946469,2011-07-01,2011,3
Housing Expenses,202989,2011-07-01,2011,3
Income,3897609,2011-07-01,2011,3
Housing Expenses,200716,2011-07-01,2011,3
Income,4335289,2011-07-01,2011,3
Housing Expenses,199109,2011-07-01,2011,3
Income,4288742,2011-07-01,2011,3
Housing Expenses,198896,2011-07-01,2011,3
Income,3329809,2011-07-01,2011,3
Housing Expenses,209144,2011-07-01,2011,3
Income,3279543,2011-07-01,2011,3
Housing Expenses,203593,2011-07-01,2011,3
Income,3936719,2011-10-01,2011,4
Housing Expenses,229062,2011-10-01,2011,4
Income,3883351,2011-10-01,2011,4
Housing Expenses,231875,2011-10-01,2011,4
Income,4276065,2011-10-01,2011,4
Housing Expenses,232737,2011-10-01,2011,4
Income,4222024,2011-10-01,2011,4
Housing Expenses,235141,2011-10-01,2011,4
Income,3386713,2011-10-01,2011,4
Housing Expenses,223105,2011-10-01,2011,4
Income,3338808,2011-10-01,2011,4
Housing Expenses,226625,2011-10-01,2011,4
Income,4178467,2012-01-01,2012,1
Housing Expenses,317440,2012-01-01,2012,1
Income,4123524,2012-01-01,2012,1
Housing Expenses,316148,2012-01-01,2012,1
Income,4682237,2012-01-01,2012,1
Housing Expenses,324465,2012-01-01,2012,1
Income,4634950,2012-01-01,2012,1
Housing Expenses,322398,2012-01-01,2012,1
Income,3377648,2012-01-01,2012,1
Housing Expenses,306272,2012-01-01,2012,1
Income,3322785,2012-01-01,2012,1
Housing Expenses,306364,2012-01-01,2012,1
Income,3993860,2012-04-01,2012,2
Housing Expenses,248228,2012-04-01,2012,2
Income,3942286,2012-04-01,2012,2
Housing Expenses,244897,2012-04-01,2012,2
Income,4313095,2012-04-01,2012,2
Housing Expenses,255429,2012-04-01,2012,2
Income,4262401,2012-04-01,2012,2
Housing Expenses,252719,2012-04-01,2012,2
Income,3464208,2012-04-01,2012,2
Housing Expenses,236280,2012-04-01,2012,2
Income,3413853,2012-04-01,2012,2
Housing Expenses,231984,2012-04-01,2012,2
Income,4187731,2012-07-01,2012,3
Housing Expenses,215416,2012-07-01,2012,3
Income,4141859,2012-07-01,2012,3
Housing Expenses,211868,2012-07-01,2012,3
Income,4583766,2012-07-01,2012,3
Housing Expenses,217556,2012-07-01,2012,3
Income,4542005,2012-07-01,2012,3
Housing Expenses,214172,2012-07-01,2012,3
Income,3520706,2012-07-01,2012,3
Housing Expenses,211812,2012-07-01,2012,3
Income,3477609,2012-07-01,2012,3
Housing Expenses,208044,2012-07-01,2012,3
Income,4137017,2012-10-01,2012,4
Housing Expenses,252366,2012-10-01,2012,4
Income,4092551,2012-10-01,2012,4
Housing Expenses,253713,2012-10-01,2012,4
Income,4517441,2012-10-01,2012,4
Housing Expenses,247881,2012-10-01,2012,4
Income,4481154,2012-10-01,2012,4
Housing Expenses,250689,2012-10-01,2012,4
Income,3500616,2012-10-01,2012,4
Housing Expenses,259869,2012-10-01,2012,4
Income,3450865,2012-10-01,2012,4
Housing Expenses,258708,2012-10-01,2012,4
Income,4237786,2013-01-01,2013,1
Housing Expenses,326974,2013-01-01,2013,1
Income,4192558,2013-01-01,2013,1
Housing Expenses,325693,2013-01-01,2013,1
Income,4784174,2013-01-01,2013,1
Housing Expenses,331563,2013-01-01,2013,1
Income,4743109,2013-01-01,2013,1
Housing Expenses,332110,2013-01-01,2013,1
Income,3359423,2013-01-01,2013,1
Housing Expenses,319596,2013-01-01,2013,1
Income,3327672,2013-01-01,2013,1
Housing Expenses,315612,2013-01-01,2013,1
Income,4076229,2013-04-01,2013,2
Housing Expenses,264996,2013-04-01,2013,2
Income,4040630,2013-04-01,2013,2
Housing Expenses,260912,2013-04-01,2013,2
Income,4447413,2013-04-01,2013,2
Housing Expenses,268591,2013-04-01,2013,2
Income,4420343,2013-04-01,2013,2
Housing Expenses,265911,2013-04-01,2013,2
Income,3445257,2013-04-01,2013,2
Housing Expenses,258883,2013-04-01,2013,2
Income,3406504,2013-04-01,2013,2
Housing Expenses,252563,2013-04-01,2013,2
Income,4302687,2013-07-01,2013,3
Housing Expenses,229309,2013-07-01,2013,3
Income,4259920,2013-07-01,2013,3
Housing Expenses,225355,2013-07-01,2013,3
Income,4737353,2013-07-01,2013,3
Housing Expenses,233223,2013-07-01,2013,3
Income,4708303,2013-07-01,2013,3
Housing Expenses,230321,2013-07-01,2013,3
Income,3539805,2013-07-01,2013,3
Housing Expenses,222441,2013-07-01,2013,3
Income,3487549,2013-07-01,2013,3
Housing Expenses,216801,2013-07-01,2013,3
Income,4209649,2013-10-01,2013,4
Housing Expenses,255824,2013-10-01,2013,4
Income,4163223,2013-10-01,2013,4
Housing Expenses,255755,2013-10-01,2013,4
Income,4616619,2013-10-01,2013,4
Housing Expenses,257538,2013-10-01,2013,4
Income,4568281,2013-10-01,2013,4
Housing Expenses,256409,2013-10-01,2013,4
Income,3496733,2013-10-01,2013,4
Housing Expenses,252822,2013-10-01,2013,4
Income,3465178,2013-10-01,2013,4
Housing Expenses,254627,2013-10-01,2013,4
Income,4442175,2014-01-01,2014,1
Housing Expenses,323159,2014-01-01,2014,1
Income,4403278,2014-01-01,2014,1
Housing Expenses,323454,2014-01-01,2014,1
Income,4974618,2014-01-01,2014,1
Housing Expenses,327858,2014-01-01,2014,1
Income,4955345,2014-01-01,2014,1
Housing Expenses,329153,2014-01-01,2014,1
Income,3565603,2014-01-01,2014,1
Housing Expenses,315422,2014-01-01,2014,1
Income,3511582,2014-01-01,2014,1
Housing Expenses,314250,2014-01-01,2014,1
Income,4186937,2014-04-01,2014,2
Housing Expenses,262229,2014-04-01,2014,2
Income,4152171,2014-04-01,2014,2
Housing Expenses,258006,2014-04-01,2014,2
Income,4549550,2014-04-01,2014,2
Housing Expenses,268421,2014-04-01,2014,2
Income,4514663,2014-04-01,2014,2
Housing Expenses,264923,2014-04-01,2014,2
Income,3544808,2014-04-01,2014,2
Housing Expenses,251264,2014-04-01,2014,2
Income,3523313,2014-04-01,2014,2
Housing Expenses,246006,2014-04-01,2014,2
Income,4422837,2014-07-01,2014,3
Housing Expenses,226382,2014-07-01,2014,3
Income,4387554,2014-07-01,2014,3
Housing Expenses,223631,2014-07-01,2014,3
Income,4837662,2014-07-01,2014,3
Housing Expenses,229675,2014-07-01,2014,3
Income,4803171,2014-07-01,2014,3
Housing Expenses,227901,2014-07-01,2014,3
Income,3685121,2014-07-01,2014,3
Housing Expenses,220526,2014-07-01,2014,3
Income,3660871,2014-07-01,2014,3
Housing Expenses,216166,2014-07-01,2014,3
Income,4287024,2014-10-01,2014,4
Housing Expenses,255557,2014-10-01,2014,4
Income,4264132,2014-10-01,2014,4
Housing Expenses,256242,2014-10-01,2014,4
Income,4697722,2014-10-01,2014,4
Housing Expenses,257248,2014-10-01,2014,4
Income,4666935,2014-10-01,2014,4
Housing Expenses,258349,2014-10-01,2014,4
Income,3547237,2014-10-01,2014,4
Housing Expenses,252513,2014-10-01,2014,4
Income,3549273,2014-10-01,2014,4
Housing Expenses,252502,2014-10-01,2014,4
Income,4549865,2015-01-01,2015,1
Housing Expenses,340804,2015-01-01,2015,1
Income,4517282,2015-01-01,2015,1
Housing Expenses,335825,2015-01-01,2015,1
Income,5080503,2015-01-01,2015,1
Housing Expenses,343529,2015-01-01,2015,1
Income,5051084,2015-01-01,2015,1
Housing Expenses,340082,2015-01-01,2015,1
Income,3635999,2015-01-01,2015,1
Housing Expenses,336111,2015-01-01,2015,1
Income,3622824,2015-01-01,2015,1
Housing Expenses,328692,2015-01-01,2015,1
Income,4304380,2015-04-01,2015,2
Housing Expenses,285053,2015-04-01,2015,2
Income,4270567,2015-04-01,2015,2
Housing Expenses,278066,2015-04-01,2015,2
Income,4665765,2015-04-01,2015,2
Housing Expenses,281705,2015-04-01,2015,2
Income,4628505,2015-04-01,2015,2
Housing Expenses,277786,2015-04-01,2015,2
Income,3655787,2015-04-01,2015,2
Housing Expenses,291063,2015-04-01,2015,2
Income,3641893,2015-04-01,2015,2
Housing Expenses,278559,2015-04-01,2015,2
Income,4439672,2015-07-01,2015,3
Housing Expenses,241529,2015-07-01,2015,3
Income,4416469,2015-07-01,2015,3
Housing Expenses,241053,2015-07-01,2015,3
Income,4882663,2015-07-01,2015,3
Housing Expenses,249467,2015-07-01,2015,3
Income,4861702,2015-07-01,2015,3
Housing Expenses,246119,2015-07-01,2015,3
Income,3654093,2015-07-01,2015,3
Housing Expenses,227452,2015-07-01,2015,3
Income,3643362,2015-07-01,2015,3
Housing Expenses,232257,2015-07-01,2015,3
Income,4334547,2015-10-01,2015,4
Housing Expenses,254658,2015-10-01,2015,4
Income,4301574,2015-10-01,2015,4
Housing Expenses,255079,2015-10-01,2015,4
Income,4717494,2015-10-01,2015,4
Housing Expenses,263098,2015-10-01,2015,4
Income,4689379,2015-10-01,2015,4
Housing Expenses,263552,2015-10-01,2015,4
Income,3643477,2015-10-01,2015,4
Housing Expenses,239427,2015-10-01,2015,4
Income,3618555,2015-10-01,2015,4
Housing Expenses,240155,2015-10-01,2015,4
Income,4590821,2016-01-01,2016,1
Housing Expenses,327365,2016-01-01,2016,1
Income,4555219,2016-01-01,2016,1
Housing Expenses,323886,2016-01-01,2016,1
Income,5172557,2016-01-01,2016,1
Housing Expenses,332422,2016-01-01,2016,1
Income,5151118,2016-01-01,2016,1
Housing Expenses,328775,2016-01-01,2016,1
Income,3628464,2016-01-01,2016,1
Housing Expenses,318999,2016-01-01,2016,1
Income,3602817,2016-01-01,2016,1
Housing Expenses,316072,2016-01-01,2016,1
Income,4342782,2016-04-01,2016,2
Housing Expenses,276861,2016-04-01,2016,2
Income,4306412,2016-04-01,2016,2
Housing Expenses,272604,2016-04-01,2016,2
Income,4748993,2016-04-01,2016,2
Housing Expenses,273876,2016-04-01,2016,2
Income,4726952,2016-04-01,2016,2
Housing Expenses,269965,2016-04-01,2016,2
Income,3629828,2016-04-01,2016,2
Housing Expenses,282101,2016-04-01,2016,2
Income,3587208,2016-04-01,2016,2
Housing Expenses,277117,2016-04-01,2016,2
Income,4464183,2016-07-01,2016,3
Housing Expenses,247358,2016-07-01,2016,3
Income,4445435,2016-07-01,2016,3
Housing Expenses,242538,2016-07-01,2016,3
Income,4948983,2016-07-01,2016,3
Housing Expenses,251070,2016-07-01,2016,3
Income,4942837,2016-07-01,2016,3
Housing Expenses,247525,2016-07-01,2016,3
Income,3633200,2016-07-01,2016,3
Housing Expenses,240994,2016-07-01,2016,3
Income,3610077,2016-07-01,2016,3
Housing Expenses,234162,2016-07-01,2016,3
Income,4335580,2016-10-01,2016,4
Housing Expenses,253578,2016-10-01,2016,4
Income,4312029,2016-10-01,2016,4
Housing Expenses,250970,2016-10-01,2016,4
Income,4795445,2016-10-01,2016,4
Housing Expenses,259776,2016-10-01,2016,4
Income,4777570,2016-10-01,2016,4
Housing Expenses,257043,2016-10-01,2016,4
Income,3558782,2016-10-01,2016,4
Housing Expenses,243108,2016-10-01,2016,4
Income,3537942,2016-10-01,2016,4
Housing Expenses,240872,2016-10-01,2016,4
Income,4665034,2017-01-01,2017,1
Income,4593284,2017-01-01,2017,1
Income,5317810,2017-01-01,2017,1
Income,5251482,2017-01-01,2017,1
Income,3586743,2017-01-01,2017,1
Income,3533374,2017-01-01,2017,1
Income,4380398,2017-04-01,2017,2
Income,4346509,2017-04-01,2017,2
Income,4733687,2017-04-01,2017,2
Income,4708183,2017-04-01,2017,2
Income,3757399,2017-04-01,2017,2
Income,3718947,2017-04-01,2017,2
Income,4581179,2017-07-01,2017,3
Income,4537192,2017-07-01,2017,3
Income,5067814,2017-07-01,2017,3
Income,5028695,2017-07-01,2017,3
Income,3741382,2017-07-01,2017,3
Income,3702504,2017-07-01,2017,3
Income,4472246,2017-10-01,2017,4
Income,4445156,2017-10-01,2017,4
Income,4891049,2017-10-01,2017,4
Income,4873549,2017-10-01,2017,4
Income,3762108,2017-10-01,2017,4
Income,3728516,2017-10-01,2017,4
Income,4854856,2018-01-01,2018,1
Income,4762959,2018-01-01,2018,1
Income,5670229,2018-01-01,2018,1
Income,5584004,2018-01-01,2018,1
Income,3669884,2018-01-01,2018,1
Income,3599960,2018-01-01,2018,1
Income,4619408,2018-04-01,2018,2
Income,4530510,2018-04-01,2018,2
Income,5167683,2018-04-01,2018,2
Income,5071197,2018-04-01,2018,2
Income,3795046,2018-04-01,2018,2
Income,3725995,2018-04-01,2018,2
Income,4843786,2018-07-01,2018,3
Income,4747913,2018-07-01,2018,3
Income,5495150,2018-07-01,2018,3
Income,5407016,2018-07-01,2018,3
Income,3870546,2018-07-01,2018,3
Income,3786378,2018-07-01,2018,3
Income,4685940,2018-10-01,2018,4
Income,4606125,2018-10-01,2018,4
Income,5274193,2018-10-01,2018,4
Income,5209170,2018-10-01,2018,4
Income,3807491,2018-10-01,2018,4
Income,3729921,2018-10-01,2018,4
Income,4917719,2019-01-01,2019,1
Income,4826323,2019-01-01,2019,1
Income,5660138,2019-01-01,2019,1
Income,5608362,2019-01-01,2019,1
Income,3846639,2019-01-01,2019,1
Income,3740508,2019-01-01,2019,1
Income,4802320,2019-04-01,2019,2
Income,4704176,2019-04-01,2019,2
Income,5374467,2019-04-01,2019,2
Income,5296373,2019-04-01,2019,2
Income,3929180,2019-04-01,2019,2
Income,3825333,2019-04-01,2019,2
Income,4983946,2019-07-01,2019,3
Income,4876856,2019-07-01,2019,3
Income,5690639,2019-07-01,2019,3
Income,5609633,2019-07-01,2019,3
Income,3909227,2019-07-01,2019,3
Income,3800549,2019-07-01,2019,3
Income,4880947,2019-10-01,2019,4
Income,4771921,2019-10-01,2019,4
Income,5494686,2019-10-01,2019,4
Income,5411583,2019-10-01,2019,4
Income,3931339,2019-10-01,2019,4
Income,3815300,2019-10-01,2019,4
