Region,By Housing Type,Date,Price_Index
5 Metropolitan Cities,Apartments,2011-12-01,107.1
5 Metropolitan Cities,Apartments,2012-01-01,107.7
5 Metropolitan Cities,Apartments,2012-02-01,108.2
5 Metropolitan Cities,Apartments,2012-03-01,108.9
5 Metropolitan Cities,Apartments,2012-04-01,109.5
5 Metropolitan Cities,Apartments,2012-05-01,109.8
5 Metropolitan Cities,Apartments,2012-06-01,109.9
5 Metropolitan Cities,Apartments,2012-07-01,110.0
5 Metropolitan Cities,Apartments,2012-08-01,110.1
5 Metropolitan Cities,Apartments,2012-09-01,110.2
5 Metropolitan Cities,Apartments,2012-10-01,110.4
5 Metropolitan Cities,Apartments,2012-11-01,110.6
5 Metropolitan Cities,Apartments,2012-12-01,110.6
5 Metropolitan Cities,Row Houses,2003-09-01,95.9
5 Metropolitan Cities,Row Houses,2003-10-01,96.0
5 Metropolitan Cities,Row Houses,2003-11-01,94.7
5 Metropolitan Cities,Row Houses,2003-12-01,93.0
5 Metropolitan Cities,Row Houses,2004-01-01,92.4
5 Metropolitan Cities,Row Houses,2004-02-01,92.3
5 Metropolitan Cities,Row Houses,2004-03-01,92.1
5 Metropolitan Cities,Row Houses,2004-04-01,91.9
5 Metropolitan Cities,Row Houses,2004-05-01,91.6
5 Metropolitan Cities,Row Houses,2004-06-01,91.2
5 Metropolitan Cities,Row Houses,2004-07-01,90.7
5 Metropolitan Cities,Row Houses,2004-08-01,90.0
5 Metropolitan Cities,Row Houses,2004-09-01,89.9
5 Metropolitan Cities,Row Houses,2004-10-01,89.5
5 Metropolitan Cities,Row Houses,2004-11-01,88.9
5 Metropolitan Cities,Row Houses,2004-12-01,88.2
5 Metropolitan Cities,Row Houses,2005-01-01,87.9
5 Metropolitan Cities,Row Houses,2005-02-01,87.8
5 Metropolitan Cities,Row Houses,2005-03-01,87.9
5 Metropolitan Cities,Row Houses,2005-04-01,87.9
5 Metropolitan Cities,Row Houses,2005-05-01,87.8
5 Metropolitan Cities,Row Houses,2005-06-01,87.7
5 Metropolitan Cities,Row Houses,2005-07-01,87.6
5 Metropolitan Cities,Row Houses,2005-08-01,87.7
5 Metropolitan Cities,Row Houses,2005-09-01,87.7
5 Metropolitan Cities,Row Houses,2005-10-01,87.3
5 Metropolitan Cities,Row Houses,2005-11-01,87.1
5 Metropolitan Cities,Row Houses,2005-12-01,87.1
5 Metropolitan Cities,Row Houses,2006-01-01,86.9
5 Metropolitan Cities,Row Houses,2006-02-01,86.8
5 Metropolitan Cities,Row Houses,2006-03-01,87.0
5 Metropolitan Cities,Row Houses,2006-04-01,87.6
5 Metropolitan Cities,Row Houses,2006-05-01,87.7
5 Metropolitan Cities,Row Houses,2006-06-01,87.8
5 Metropolitan Cities,Row Houses,2006-07-01,87.7
5 Metropolitan Cities,Row Houses,2006-08-01,87.8
5 Metropolitan Cities,Row Houses,2006-09-01,88.0
5 Metropolitan Cities,Row Houses,2006-10-01,88.2
5 Metropolitan Cities,Row Houses,2006-11-01,88.6
5 Metropolitan Cities,Row Houses,2006-12-01,88.6
5 Metropolitan Cities,Row Houses,2007-01-01,88.7
5 Metropolitan Cities,Row Houses,2007-02-01,88.7
5 Metropolitan Cities,Row Houses,2007-03-01,88.6
5 Metropolitan Cities,Row Houses,2007-04-01,88.6
5 Metropolitan Cities,Row Houses,2007-05-01,88.6
5 Metropolitan Cities,Row Houses,2007-06-01,88.5
5 Metropolitan Cities,Row Houses,2007-07-01,88.4
5 Metropolitan Cities,Row Houses,2007-08-01,88.5
5 Metropolitan Cities,Row Houses,2007-09-01,88.3
5 Metropolitan Cities,Row Houses,2007-10-01,88.3
5 Metropolitan Cities,Row Houses,2007-11-01,88.3
5 Metropolitan Cities,Row Houses,2007-12-01,88.3
5 Metropolitan Cities,Row Houses,2008-01-01,88.3
5 Metropolitan Cities,Row Houses,2008-02-01,88.3
5 Metropolitan Cities,Row Houses,2008-03-01,88.5
5 Metropolitan Cities,Row Houses,2008-04-01,88.5
5 Metropolitan Cities,Row Houses,2008-05-01,88.6
5 Metropolitan Cities,Row Houses,2008-06-01,88.6
5 Metropolitan Cities,Row Houses,2008-07-01,88.7
5 Metropolitan Cities,Row Houses,2008-08-01,88.7
5 Metropolitan Cities,Row Houses,2008-09-01,88.6
5 Metropolitan Cities,Row Houses,2008-10-01,88.6
5 Metropolitan Cities,Row Houses,2008-11-01,88.6
5 Metropolitan Cities,Row Houses,2008-12-01,88.3
5 Metropolitan Cities,Row Houses,2009-01-01,88.1
5 Metropolitan Cities,Row Houses,2009-02-01,88.1
5 Metropolitan Cities,Row Houses,2009-03-01,88.1
5 Metropolitan Cities,Row Houses,2009-04-01,88.2
5 Metropolitan Cities,Row Houses,2009-05-01,88.4
5 Metropolitan Cities,Row Houses,2009-06-01,88.4
5 Metropolitan Cities,Row Houses,2009-07-01,88.4
5 Metropolitan Cities,Row Houses,2009-08-01,88.6
5 Metropolitan Cities,Row Houses,2009-09-01,89.1
5 Metropolitan Cities,Row Houses,2009-10-01,89.4
5 Metropolitan Cities,Row Houses,2009-11-01,89.7
5 Metropolitan Cities,Row Houses,2009-12-01,90.0
5 Metropolitan Cities,Row Houses,2010-01-01,90.2
5 Metropolitan Cities,Row Houses,2010-02-01,90.3
5 Metropolitan Cities,Row Houses,2010-03-01,90.6
5 Metropolitan Cities,Row Houses,2010-04-01,91.3
5 Metropolitan Cities,Row Houses,2010-05-01,91.7
5 Metropolitan Cities,Row Houses,2010-06-01,92.3
5 Metropolitan Cities,Row Houses,2010-07-01,92.4
5 Metropolitan Cities,Row Houses,2010-08-01,92.7
5 Metropolitan Cities,Row Houses,2010-09-01,93.0
5 Metropolitan Cities,Row Houses,2010-10-01,93.8
5 Metropolitan Cities,Row Houses,2010-11-01,94.4
5 Metropolitan Cities,Row Houses,2010-12-01,94.9
5 Metropolitan Cities,Row Houses,2011-01-01,95.5
5 Metropolitan Cities,Row Houses,2011-02-01,96.4
5 Metropolitan Cities,Row Houses,2011-03-01,97.5
5 Metropolitan Cities,Row Houses,2011-04-01,98.4
5 Metropolitan Cities,Row Houses,2011-05-01,99.0
5 Metropolitan Cities,Row Houses,2011-06-01,100.0
5 Metropolitan Cities,Row Houses,2011-07-01,100.6
5 Metropolitan Cities,Row Houses,2011-08-01,101.4
5 Metropolitan Cities,Row Houses,2011-09-01,102.5
5 Metropolitan Cities,Row Houses,2011-10-01,103.2
5 Metropolitan Cities,Row Houses,2011-11-01,103.9
5 Metropolitan Cities,Row Houses,2011-12-01,104.5
5 Metropolitan Cities,Row Houses,2012-01-01,105.1
5 Metropolitan Cities,Row Houses,2012-02-01,105.6
5 Metropolitan Cities,Row Houses,2012-03-01,106.2
5 Metropolitan Cities,Row Houses,2012-04-01,106.6
5 Metropolitan Cities,Row Houses,2012-05-01,107.1
5 Metropolitan Cities,Row Houses,2012-06-01,107.4
5 Metropolitan Cities,Row Houses,2012-07-01,107.8
5 Metropolitan Cities,Row Houses,2012-08-01,107.9
5 Metropolitan Cities,Row Houses,2012-09-01,108.1
5 Metropolitan Cities,Row Houses,2012-10-01,108.4
5 Metropolitan Cities,Row Houses,2012-11-01,108.5
5 Metropolitan Cities,Row Houses,2012-12-01,108.7
5 Metropolitan Cities,Total,2003-09-01,82.0
5 Metropolitan Cities,Total,2003-10-01,82.7
5 Metropolitan Cities,Total,2003-11-01,82.3
5 Metropolitan Cities,Total,2003-12-01,81.5
5 Metropolitan Cities,Total,2004-01-01,81.0
5 Metropolitan Cities,Total,2004-02-01,81.1
5 Metropolitan Cities,Total,2004-03-01,81.3
5 Metropolitan Cities,Total,2004-04-01,81.4
5 Metropolitan Cities,Total,2004-05-01,81.4
5 Metropolitan Cities,Total,2004-06-01,81.3
5 Metropolitan Cities,Total,2004-07-01,81.1
5 Metropolitan Cities,Total,2004-08-01,80.9
5 Metropolitan Cities,Total,2004-09-01,80.8
5 Metropolitan Cities,Total,2004-10-01,80.8
5 Metropolitan Cities,Total,2004-11-01,80.5
5 Metropolitan Cities,Total,2004-12-01,80.3
5 Metropolitan Cities,Total,2005-01-01,80.1
5 Metropolitan Cities,Total,2005-02-01,80.1
5 Metropolitan Cities,Total,2005-03-01,80.4
5 Metropolitan Cities,Total,2005-04-01,80.9
5 Metropolitan Cities,Total,2005-05-01,81.3
5 Metropolitan Cities,Total,2005-06-01,81.6
5 Metropolitan Cities,Total,2005-07-01,81.9
5 Metropolitan Cities,Total,2005-08-01,82.2
5 Metropolitan Cities,Total,2005-09-01,82.4
5 Metropolitan Cities,Total,2005-10-01,82.3
5 Metropolitan Cities,Total,2005-11-01,82.3
5 Metropolitan Cities,Total,2005-12-01,82.5
5 Metropolitan Cities,Total,2006-01-01,82.7
5 Metropolitan Cities,Total,2006-02-01,82.8
5 Metropolitan Cities,Total,2006-03-01,83.0
5 Metropolitan Cities,Total,2006-04-01,83.3
5 Metropolitan Cities,Total,2006-05-01,83.6
5 Metropolitan Cities,Total,2006-06-01,83.6
5 Metropolitan Cities,Total,2006-07-01,83.6
5 Metropolitan Cities,Total,2006-08-01,83.6
5 Metropolitan Cities,Total,2006-09-01,83.6
5 Metropolitan Cities,Total,2006-10-01,83.8
5 Metropolitan Cities,Total,2006-11-01,84.1
5 Metropolitan Cities,Total,2006-12-01,84.3
5 Metropolitan Cities,Total,2007-01-01,84.4
5 Metropolitan Cities,Total,2007-02-01,84.4
5 Metropolitan Cities,Total,2007-03-01,84.4
5 Metropolitan Cities,Total,2007-04-01,84.3
5 Metropolitan Cities,Total,2007-05-01,84.3
5 Metropolitan Cities,Total,2007-06-01,84.2
5 Metropolitan Cities,Total,2007-07-01,84.2
5 Metropolitan Cities,Total,2007-08-01,84.1
5 Metropolitan Cities,Total,2007-09-01,84.1
5 Metropolitan Cities,Total,2007-10-01,84.1
5 Metropolitan Cities,Total,2007-11-01,84.1
5 Metropolitan Cities,Total,2007-12-01,84.1
5 Metropolitan Cities,Total,2008-01-01,84.1
5 Metropolitan Cities,Total,2008-02-01,84.1
5 Metropolitan Cities,Total,2008-03-01,84.2
5 Metropolitan Cities,Total,2008-04-01,84.4
5 Metropolitan Cities,Total,2008-05-01,84.5
5 Metropolitan Cities,Total,2008-06-01,84.6
5 Metropolitan Cities,Total,2008-07-01,84.7
5 Metropolitan Cities,Total,2008-08-01,84.7
5 Metropolitan Cities,Total,2008-09-01,84.9
5 Metropolitan Cities,Total,2008-10-01,84.9
5 Metropolitan Cities,Total,2008-11-01,84.8
5 Metropolitan Cities,Total,2008-12-01,84.6
5 Metropolitan Cities,Total,2009-01-01,84.3
5 Metropolitan Cities,Total,2009-02-01,84.1
5 Metropolitan Cities,Total,2009-03-01,84.1
5 Metropolitan Cities,Total,2009-04-01,84.0
5 Metropolitan Cities,Total,2009-05-01,84.1
5 Metropolitan Cities,Total,2009-06-01,84.2
5 Metropolitan Cities,Total,2009-07-01,84.4
5 Metropolitan Cities,Total,2009-08-01,84.6
5 Metropolitan Cities,Total,2009-09-01,85.1
5 Metropolitan Cities,Total,2009-10-01,85.4
5 Metropolitan Cities,Total,2009-11-01,85.9
5 Metropolitan Cities,Total,2009-12-01,86.3
5 Metropolitan Cities,Total,2010-01-01,86.5
5 Metropolitan Cities,Total,2010-02-01,87.0
5 Metropolitan Cities,Total,2010-03-01,87.4
5 Metropolitan Cities,Total,2010-04-01,88.0
5 Metropolitan Cities,Total,2010-05-01,88.4
5 Metropolitan Cities,Total,2010-06-01,88.7
5 Metropolitan Cities,Total,2010-07-01,88.9
5 Metropolitan Cities,Total,2010-08-01,89.2
5 Metropolitan Cities,Total,2010-09-01,89.6
5 Metropolitan Cities,Total,2010-10-01,90.2
5 Metropolitan Cities,Total,2010-11-01,91.0
5 Metropolitan Cities,Total,2010-12-01,91.8
5 Metropolitan Cities,Total,2011-01-01,92.6
5 Metropolitan Cities,Total,2011-02-01,94.0
5 Metropolitan Cities,Total,2011-03-01,95.6
5 Metropolitan Cities,Total,2011-04-01,97.2
5 Metropolitan Cities,Total,2011-05-01,98.8
5 Metropolitan Cities,Total,2011-06-01,100.0
5 Metropolitan Cities,Total,2011-07-01,101.1
5 Metropolitan Cities,Total,2011-08-01,102.1
5 Metropolitan Cities,Total,2011-09-01,103.3
5 Metropolitan Cities,Total,2011-10-01,104.2
5 Metropolitan Cities,Total,2011-11-01,105.2
5 Metropolitan Cities,Total,2011-12-01,105.6
5 Metropolitan Cities,Total,2012-01-01,106.1
5 Metropolitan Cities,Total,2012-02-01,106.6
5 Metropolitan Cities,Total,2012-03-01,107.1
5 Metropolitan Cities,Total,2012-04-01,107.6
5 Metropolitan Cities,Total,2012-05-01,108.0
5 Metropolitan Cities,Total,2012-06-01,108.1
5 Metropolitan Cities,Total,2012-07-01,108.3
5 Metropolitan Cities,Total,2012-08-01,108.3
5 Metropolitan Cities,Total,2012-09-01,108.4
5 Metropolitan Cities,Total,2012-10-01,108.7
5 Metropolitan Cities,Total,2012-11-01,108.8
5 Metropolitan Cities,Total,2012-12-01,108.9
5 Metropolitan Cities,single,2003-09-01,100.3
5 Metropolitan Cities,single,2003-10-01,100.1
5 Metropolitan Cities,single,2003-11-01,99.2
5 Metropolitan Cities,single,2003-12-01,97.9
5 Metropolitan Cities,single,2004-01-01,96.7
5 Metropolitan Cities,single,2004-02-01,96.7
5 Metropolitan Cities,single,2004-03-01,96.6
5 Metropolitan Cities,single,2004-04-01,96.3
5 Metropolitan Cities,single,2004-05-01,96.0
5 Metropolitan Cities,single,2004-06-01,95.4
5 Metropolitan Cities,single,2004-07-01,95.1
5 Metropolitan Cities,single,2004-08-01,94.6
5 Metropolitan Cities,single,2004-09-01,94.4
5 Metropolitan Cities,single,2004-10-01,94.2
5 Metropolitan Cities,single,2004-11-01,93.6
5 Metropolitan Cities,single,2004-12-01,93.3
5 Metropolitan Cities,single,2005-01-01,93.1
5 Metropolitan Cities,single,2005-02-01,92.9
5 Metropolitan Cities,single,2005-03-01,92.9
5 Metropolitan Cities,single,2005-04-01,93.3
5 Metropolitan Cities,single,2005-05-01,93.8
5 Metropolitan Cities,single,2005-06-01,94.1
5 Metropolitan Cities,single,2005-07-01,94.5
5 Metropolitan Cities,single,2005-08-01,94.6
5 Metropolitan Cities,single,2005-09-01,94.8
5 Metropolitan Cities,single,2005-10-01,94.5
5 Metropolitan Cities,single,2005-11-01,94.5
5 Metropolitan Cities,single,2005-12-01,94.7
5 Metropolitan Cities,single,2006-01-01,94.7
5 Metropolitan Cities,single,2006-02-01,94.7
5 Metropolitan Cities,single,2006-03-01,95.0
5 Metropolitan Cities,single,2006-04-01,95.6
5 Metropolitan Cities,single,2006-05-01,96.0
5 Metropolitan Cities,single,2006-06-01,96.3
5 Metropolitan Cities,single,2006-07-01,96.2
5 Metropolitan Cities,single,2006-08-01,96.2
5 Metropolitan Cities,single,2006-09-01,96.4
5 Metropolitan Cities,single,2006-10-01,96.6
5 Metropolitan Cities,single,2006-11-01,96.8
5 Metropolitan Cities,single,2006-12-01,96.9
5 Metropolitan Cities,single,2007-01-01,97.0
5 Metropolitan Cities,single,2007-02-01,97.1
5 Metropolitan Cities,single,2007-03-01,97.1
5 Metropolitan Cities,single,2007-04-01,97.1
5 Metropolitan Cities,single,2007-05-01,97.0
5 Metropolitan Cities,single,2007-06-01,97.0
5 Metropolitan Cities,single,2007-07-01,97.1
5 Metropolitan Cities,single,2007-08-01,97.2
5 Metropolitan Cities,single,2007-09-01,97.2
5 Metropolitan Cities,single,2007-10-01,97.3
5 Metropolitan Cities,single,2007-11-01,97.4
5 Metropolitan Cities,single,2007-12-01,97.4
5 Metropolitan Cities,single,2008-01-01,97.4
5 Metropolitan Cities,single,2008-02-01,97.5
5 Metropolitan Cities,single,2008-03-01,97.5
5 Metropolitan Cities,single,2008-04-01,97.7
5 Metropolitan Cities,single,2008-05-01,97.7
5 Metropolitan Cities,single,2008-06-01,97.8
5 Metropolitan Cities,single,2008-07-01,97.8
5 Metropolitan Cities,single,2008-08-01,97.8
5 Metropolitan Cities,single,2008-09-01,97.7
5 Metropolitan Cities,single,2008-10-01,97.7
5 Metropolitan Cities,single,2008-11-01,97.5
5 Metropolitan Cities,single,2008-12-01,97.2
5 Metropolitan Cities,single,2009-01-01,97.0
5 Metropolitan Cities,single,2009-02-01,96.8
5 Metropolitan Cities,single,2009-03-01,96.7
5 Metropolitan Cities,single,2009-04-01,96.7
5 Metropolitan Cities,single,2009-05-01,96.7
5 Metropolitan Cities,single,2009-06-01,96.7
5 Metropolitan Cities,single,2009-07-01,96.8
5 Metropolitan Cities,single,2009-08-01,96.9
5 Metropolitan Cities,single,2009-09-01,97.0
5 Metropolitan Cities,single,2009-10-01,97.2
5 Metropolitan Cities,single,2009-11-01,97.3
5 Metropolitan Cities,single,2009-12-01,97.3
5 Metropolitan Cities,single,2010-01-01,97.5
5 Metropolitan Cities,single,2010-02-01,97.6
5 Metropolitan Cities,single,2010-03-01,97.5
5 Metropolitan Cities,single,2010-04-01,97.7
5 Metropolitan Cities,single,2010-05-01,97.8
5 Metropolitan Cities,single,2010-06-01,97.7
5 Metropolitan Cities,single,2010-07-01,97.8
5 Metropolitan Cities,single,2010-08-01,97.8
5 Metropolitan Cities,single,2010-09-01,97.8
5 Metropolitan Cities,single,2010-10-01,98.1
5 Metropolitan Cities,single,2010-11-01,98.2
5 Metropolitan Cities,single,2010-12-01,98.4
5 Metropolitan Cities,single,2011-01-01,98.5
5 Metropolitan Cities,single,2011-02-01,98.8
5 Metropolitan Cities,single,2011-03-01,99.3
5 Metropolitan Cities,single,2011-04-01,99.5
5 Metropolitan Cities,single,2011-05-01,99.7
5 Metropolitan Cities,single,2011-06-01,100.0
5 Metropolitan Cities,single,2011-07-01,100.3
5 Metropolitan Cities,single,2011-08-01,100.5
5 Metropolitan Cities,single,2011-09-01,100.9
5 Metropolitan Cities,single,2011-10-01,101.3
5 Metropolitan Cities,single,2011-11-01,101.6
5 Metropolitan Cities,single,2011-12-01,101.8
5 Metropolitan Cities,single,2012-01-01,102.0
5 Metropolitan Cities,single,2012-02-01,102.3
5 Metropolitan Cities,single,2012-03-01,102.5
5 Metropolitan Cities,single,2012-04-01,102.8
5 Metropolitan Cities,single,2012-05-01,103.1
5 Metropolitan Cities,single,2012-06-01,103.3
5 Metropolitan Cities,single,2012-07-01,103.5
5 Metropolitan Cities,single,2012-08-01,103.6
5 Metropolitan Cities,single,2012-09-01,103.7
5 Metropolitan Cities,single,2012-10-01,103.9
5 Metropolitan Cities,single,2012-11-01,104.0
5 Metropolitan Cities,single,2012-12-01,104.1
6 Large Cities,Apartments,1986-01-01,25.5
6 Large Cities,Apartments,1986-02-01,25.5
6 Large Cities,Apartments,1986-03-01,25.5
6 Large Cities,Apartments,1986-04-01,25.4
6 Large Cities,Apartments,1986-05-01,25.2
6 Large Cities,Apartments,1986-06-01,25.2
6 Large Cities,Apartments,1986-07-01,24.9
6 Large Cities,Apartments,1986-08-01,24.8
6 Large Cities,Apartments,1986-09-01,24.7
6 Large Cities,Apartments,1986-10-01,24.7
6 Large Cities,Apartments,1986-11-01,24.6
6 Large Cities,Apartments,1986-12-01,24.6
6 Large Cities,Apartments,1987-01-01,24.5
6 Large Cities,Apartments,1987-02-01,24.5
6 Large Cities,Apartments,1987-03-01,24.5
6 Large Cities,Apartments,1987-04-01,24.9
6 Large Cities,Apartments,1987-05-01,25.0
6 Large Cities,Apartments,1987-06-01,25.0
6 Large Cities,Apartments,1987-07-01,25.5
6 Large Cities,Apartments,1987-08-01,25.7
6 Large Cities,Apartments,1987-09-01,27.8
6 Large Cities,Apartments,1987-10-01,28.5
6 Large Cities,Apartments,1987-11-01,29.5
6 Large Cities,Apartments,1987-12-01,29.6
6 Large Cities,Apartments,1988-01-01,30.5
6 Large Cities,Apartments,1988-02-01,31.4
6 Large Cities,Apartments,1988-03-01,32.5
6 Large Cities,Apartments,1988-04-01,33.2
6 Large Cities,Apartments,1988-05-01,34.3
6 Large Cities,Apartments,1988-06-01,34.9
6 Large Cities,Apartments,1988-07-01,35.4
6 Large Cities,Apartments,1988-08-01,36.6
6 Large Cities,Apartments,1988-09-01,36.6
6 Large Cities,Apartments,1988-10-01,36.5
6 Large Cities,Apartments,1988-11-01,35.9
6 Large Cities,Apartments,1988-12-01,35.8
6 Large Cities,Apartments,1989-01-01,36.4
6 Large Cities,Apartments,1989-02-01,38.1
6 Large Cities,Apartments,1989-03-01,39.4
6 Large Cities,Apartments,1989-04-01,41.9
6 Large Cities,Apartments,1989-05-01,43.6
6 Large Cities,Apartments,1989-06-01,44.1
6 Large Cities,Apartments,1989-07-01,43.8
6 Large Cities,Apartments,1989-08-01,43.4
6 Large Cities,Apartments,1989-09-01,43.4
6 Large Cities,Apartments,1989-10-01,43.7
6 Large Cities,Apartments,1989-11-01,44.0
6 Large Cities,Apartments,1989-12-01,44.3
6 Large Cities,Apartments,1990-01-01,44.7
6 Large Cities,Apartments,1990-02-01,46.5
6 Large Cities,Apartments,1990-03-01,47.5
6 Large Cities,Apartments,1990-04-01,48.3
6 Large Cities,Apartments,1990-05-01,49.7
6 Large Cities,Apartments,1990-06-01,50.4
6 Large Cities,Apartments,1990-07-01,51.0
6 Large Cities,Apartments,1990-08-01,52.0
6 Large Cities,Apartments,1990-09-01,54.4
6 Large Cities,Apartments,1990-10-01,56.2
6 Large Cities,Apartments,1990-11-01,58.0
6 Large Cities,Apartments,1990-12-01,59.1
6 Large Cities,Apartments,1991-01-01,59.5
6 Large Cities,Apartments,1991-02-01,60.2
6 Large Cities,Apartments,1991-03-01,61.1
6 Large Cities,Apartments,1991-04-01,63.0
6 Large Cities,Apartments,1991-05-01,63.0
6 Large Cities,Apartments,1991-06-01,62.3
6 Large Cities,Apartments,1991-07-01,61.4
6 Large Cities,Apartments,1991-08-01,60.3
6 Large Cities,Apartments,1991-09-01,60.0
6 Large Cities,Apartments,1991-10-01,59.1
6 Large Cities,Apartments,1991-11-01,57.8
6 Large Cities,Apartments,1991-12-01,56.7
6 Large Cities,Apartments,1992-01-01,56.1
6 Large Cities,Apartments,1992-02-01,55.8
6 Large Cities,Apartments,1992-03-01,55.4
6 Large Cities,Apartments,1992-04-01,54.7
6 Large Cities,Apartments,1992-05-01,54.0
