Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,Is_Best_Model
Linear Regression,0.9214584201217645,-2.9237269445956002,2.9709253079576095,6.212486351947614,2.4953396713065206,5.80836501577248,3.338668150998858,5.946740884328535,False
XGBoost,0.9999999793137344,-3.6369554603640895,0.0015246949607420335,6.753556249664501,0.0012368234038615039,5.981154907970054,0.0015412539972902309,5.97578787810448,False
Prophet,0.9753687230862408,-1.669349277110101,1.6637397016067537,5.124113738704984,1.2396975814104592,3.9157133210376687,1.7578058809550867,3.8768969044255273,True
