,Province,Year,Total households,House ownership households,Non ownership households
151,Gyeongsangnam-do,2022,1392608,875525,517083
152,Gyeongsangnam-do,2023,1404476,883584,520892
153,Jeju,2015,220369,123364,97005
154,Jeju,2016,229337,126245,103092
155,Jeju,2017,240215,132246,107969
156,Jeju,2018,248998,137174,111824
157,Jeju,2019,253716,140671,113045
158,Jeju,2020,263068,144313,118755
159,Jeju,2021,271162,149416,121746
160,Jeju,2022,276225,153459,122766
161,Jeju,2023,278315,156017,122298
