주택 소유,출산율
0.8645676158856234,0.552
0.8750184944145238,0.626
0.8767123514817912,0.642
0.8849773010219242,0.664
0.8606408556527888,0.694
0.8665903597683862,0.702
0.8476888769958076,0.706
0.8821922000403526,0.717
0.8574210903046147,0.721
0.888143488892925,0.728
0.8856056978083001,0.747
0.8892541942546124,0.761
0.8451636493381617,0.766
0.8849353220985124,0.778
0.8313223562873586,0.78
0.8865064223603094,0.785
0.8754364228015475,0.787
0.8947975994743551,0.799
0.8758601257861636,0.805
0.8868871650107063,0.807
0.8642110541528386,0.808
0.874489742986086,0.81
0.8416571455111235,0.811
0.904004828954014,0.814
0.8861548053739797,0.827
0.8912521035579904,0.829
0.891139214014012,0.836
0.8627318679785925,0.837
0.8310859639059831,0.842
0.8365820719901589,0.85
0.8512581904227445,0.853
0.8773484426224325,0.86
0.8509822329350862,0.878
0.8791206115296968,0.883
0.8421086232571536,0.886
0.8410752946301953,0.893
0.8481250333976411,0.896
0.9032939542031255,0.899
0.8935612506822899,0.903
0.8339982272493629,0.909
0.8549930534570217,0.913
0.8661802749651155,0.918
0.8949084139240823,0.932
0.8993227222723543,0.94
0.8551707366808304,0.943
0.8856889734637733,0.945
0.8466543837200718,0.949
0.8608775422727327,0.951
0.8858111939255985,0.952
0.8549915053288912,0.963
0.8762841294377103,0.966
0.8423540746797803,0.971
0.827841907997727,0.972
0.9086454596800125,0.976
0.8692782706292466,0.977
0.8372828648626357,0.979
0.8450010620751699,0.983
0.9218009598767466,0.984
0.8990640581691253,0.987
0.8565656856395865,1.002
0.8674913598207449,1.003
0.8979156458331454,1.006
0.9083806730281315,1.007
0.8102622621931833,1.017
0.8532568340156866,1.021
0.8536984629043893,1.029
0.8306784074481812,1.036
0.8403352739005401,1.044
0.8905267778129512,1.046
0.8445660005399732,1.05
0.8744605147836134,1.052
0.8587693458180587,1.053
0.8695885304845485,1.067
0.8691112957041938,1.069
0.8800361465144283,1.075
0.8271307796281656,1.082
0.9133673479810825,1.084
0.8668073724399195,1.089
0.8561629581728932,1.112
0.8954592290911937,1.122
0.834654142429095,1.123
0.9140282455673735,1.131
0.8151539856547659,1.145
0.8412491550473746,1.151
0.8682618186618639,1.167
0.8409392350654779,1.172
0.850138557849697,1.186
0.8606372389173975,1.22
0.8966196838627972,1.227
0.7992158067365984,1.234
0.8577308779678786,1.235
0.78501502636362,1.24
0.8625709591109861,1.256
0.9158551036897388,1.261
0.852213691181856,1.276
0.7908545166289613,1.277
0.8706249434747219,1.305
0.7910512626087955,1.325
0.789750258965499,1.472
0.8323960356089073,1.566
0.8236921721813726,1.668
