,Province,Year,Age,Total,Male,Female
92,Whole country,2022,30-39 Years old,1541372,900822,640550
93,Whole country,2022,40-49 Years old,3324304,1862073,1462231
94,Whole country,2022,50-59 Years old,3851520,1992505,1859015
95,Whole country,2022,60-69 Years old,3386411,1761125,1625286
96,Whole country,2022,70-79 Years old,1794585,947437,847148
97,Whole country,2022,80 years and over,808358,406519,401839
98,Whole country,2022,dead,328780,262664,66116
99,Whole country,2023,Total,15618261,8408927,7209334
100,Whole country,2023,Under 30 years,251544,135381,116163
101,Whole country,2023,30-39 Years old,1479689,862849,616840
102,Whole country,2023,40-49 Years old,3305362,1866321,1439041
103,Whole country,2023,50-59 Years old,3938164,2034884,1903280
104,Whole country,2023,60-69 Years old,3553549,1833085,1720464
105,Whole country,2023,70-79 Years old,1880330,981261,899069
106,Whole country,2023,80 years and over,879875,434080,445795
107,Whole country,2023,dead,329748,261066,68682
108,Seoul,2012,Total,2286639,1279363,1007276
109,Seoul,2012,Under 30 years,56359,29962,26397
110,Seoul,2012,30-39 Years old,373082,208947,164135
111,Seoul,2012,40-49 Years old,572673,315961,256712
112,Seoul,2012,50-59 Years old,600690,330606,270084
113,Seoul,2012,60-69 Years old,403231,233455,169776
114,Seoul,2012,70-79 Years old,215806,123630,92176
115,Seoul,2012,80 years and over,45835,22829,23006
116,Seoul,2012,dead,18963,13973,4990
117,Seoul,2013,Total,2306750,1280274,1026476
118,Seoul,2013,Under 30 years,48686,25746,22940
119,Seoul,2013,30-39 Years old,349106,194964,154142
120,Seoul,2013,40-49 Years old,577806,315927,261879
121,Seoul,2013,50-59 Years old,610404,331905,278499
122,Seoul,2013,60-69 Years old,414937,237187,177750
123,Seoul,2013,70-79 Years old,234031,134136,99895
124,Seoul,2013,80 years and over,52273,26041,26232
125,Seoul,2013,dead,19507,14368,5139
126,Seoul,2014,Total,2343420,1288868,1054552
127,Seoul,2014,Under 30 years,44964,23712,21252
128,Seoul,2014,30-39 Years old,334215,186613,147602
129,Seoul,2014,40-49 Years old,586890,318378,268512
130,Seoul,2014,50-59 Years old,617810,330607,287203
131,Seoul,2014,60-69 Years old,432347,243880,188467
132,Seoul,2014,70-79 Years old,249074,141849,107225
133,Seoul,2014,80 years and over,57687,28773,28914
134,Seoul,2014,dead,20433,15056,5377
135,Seoul,2015,Total,2386284,1297000,1089284
136,Seoul,2015,Under 30 years,48876,25421,23455
137,Seoul,2015,30-39 Years old,329574,184080,145494
138,Seoul,2015,40-49 Years old,588654,315886,272768
139,Seoul,2015,50-59 Years old,615893,323461,292432
140,Seoul,2015,60-69 Years old,456428,252657,203771
141,Seoul,2015,70-79 Years old,260688,147577,113111
142,Seoul,2015,80 years and over,65969,33125,32844
143,Seoul,2015,dead,20202,14793,5409
144,Seoul,2016,Total,2412355,1296509,1115846
145,Seoul,2016,Under 30 years,46637,24211,22426
146,Seoul,2016,30-39 Years old,324762,181221,143541
147,Seoul,2016,40-49 Years old,589865,313431,276434
148,Seoul,2016,50-59 Years old,614204,317841,296363
149,Seoul,2016,60-69 Years old,473306,257146,216160
150,Seoul,2016,70-79 Years old,269801,150743,119058
151,Seoul,2016,80 years and over,73479,37051,36428
152,Seoul,2016,dead,20301,14865,5436
153,Seoul,2017,Total,2436182,1295024,1141158
154,Seoul,2017,Under 30 years,47814,24615,23199
155,Seoul,2017,30-39 Years old,321360,178526,142834
156,Seoul,2017,40-49 Years old,587296,310785,276511
157,Seoul,2017,50-59 Years old,609218,310258,298960
158,Seoul,2017,60-69 Years old,483441,258073,225368
159,Seoul,2017,70-79 Years old,284739,156554,128185
160,Seoul,2017,80 years and over,81899,41410,40489
161,Seoul,2017,dead,20415,14803,5612
162,Seoul,2018,Total,2459986,1295775,1164211
163,Seoul,2018,Under 30 years,48966,25008,23958
164,Seoul,2018,30-39 Years old,317621,175648,141973
165,Seoul,2018,40-49 Years old,577124,304726,272398
166,Seoul,2018,50-59 Years old,611847,308204,303643
167,Seoul,2018,60-69 Years old,495253,259772,235481
168,Seoul,2018,70-79 Years old,297209,161201,136008
169,Seoul,2018,80 years and over,91093,46163,44930
170,Seoul,2018,dead,20873,15053,5820
171,Seoul,2019,Total,2483492,1297708,1185784
172,Seoul,2019,Under 30 years,47364,24017,23347
173,Seoul,2019,30-39 Years old,300102,164563,135539
174,Seoul,2019,40-49 Years old,569096,300689,268407
175,Seoul,2019,50-59 Years old,617201,309076,308125
176,Seoul,2019,60-69 Years old,514797,265841,248956
177,Seoul,2019,70-79 Years old,311186,166491,144695
178,Seoul,2019,80 years and over,102982,52244,50738
179,Seoul,2019,dead,20764,14787,5977
180,Seoul,2020,Total,2536442,1314345,1222097
181,Seoul,2020,Under 30 years,52860,26566,26294
182,Seoul,2020,30-39 Years old,298270,161985,136285
183,Seoul,2020,40-49 Years old,566321,298888,267433
184,Seoul,2020,50-59 Years old,621708,310376,311332
185,Seoul,2020,60-69 Years old,540208,274197,266011
186,Seoul,2020,70-79 Years old,322830,170555,152275
187,Seoul,2020,80 years and over,114439,57715,56724
188,Seoul,2020,dead,19806,14063,5743
189,Seoul,2021,Total,2602070,1340027,1262043
190,Seoul,2021,Under 30 years,59226,29402,29824
191,Seoul,2021,30-39 Years old,300627,161133,139494
192,Seoul,2021,40-49 Years old,564074,298662,265412
193,Seoul,2021,50-59 Years old,631377,315632,315745
194,Seoul,2021,60-69 Years old,570582,285677,284905
195,Seoul,2021,70-79 Years old,328358,171093,157265
196,Seoul,2021,80 years and over,127834,64419,63415
197,Seoul,2021,dead,19992,14009,5983
198,Seoul,2022,Total,2628669,1346726,1281943
199,Seoul,2022,Under 30 years,56660,28019,28641
200,Seoul,2022,30-39 Years old,281475,149501,131974
201,Seoul,2022,40-49 Years old,559966,297019,262947
202,Seoul,2022,50-59 Years old,641604,321544,320060
203,Seoul,2022,60-69 Years old,580581,287592,292989
204,Seoul,2022,70-79 Years old,340628,174971,165657
205,Seoul,2022,80 years and over,146204,73157,73047
206,Seoul,2022,dead,21551,14923,6628
207,Seoul,2023,Total,2643465,1348979,1294486
208,Seoul,2023,Under 30 years,51824,25655,26169
209,Seoul,2023,30-39 Years old,262277,138474,123803
210,Seoul,2023,40-49 Years old,550483,293063,257420
211,Seoul,2023,50-59 Years old,650148,326481,323667
212,Seoul,2023,60-69 Years old,593517,291916,301601
213,Seoul,2023,70-79 Years old,353318,179346,173972
214,Seoul,2023,80 years and over,160972,79709,81263
215,Seoul,2023,dead,20926,14335,6591
216,Busan,2012,Total,874492,487550,386942
217,Busan,2012,Under 30 years,19094,10215,8879
218,Busan,2012,30-39 Years old,126565,70752,55813
219,Busan,2012,40-49 Years old,203909,107822,96087
220,Busan,2012,50-59 Years old,249395,136761,112634
221,Busan,2012,60-69 Years old,163349,95909,67440
222,Busan,2012,70-79 Years old,82635,47211,35424
223,Busan,2012,80 years and over,15379,7841,7538
224,Busan,2012,dead,14166,11039,3127
225,Busan,2013,Total,909885,502201,407684
226,Busan,2013,Under 30 years,17269,9284,7985
227,Busan,2013,30-39 Years old,123796,69445,54351
228,Busan,2013,40-49 Years old,206055,108133,97922
229,Busan,2013,50-59 Years old,259126,139457,119669
230,Busan,2013,60-69 Years old,174590,100751,73839
231,Busan,2013,70-79 Years old,95219,53960,41259
232,Busan,2013,80 years and over,18793,9474,9319
233,Busan,2013,dead,15037,11697,3340
234,Busan,2014,Total,923056,504054,419002
235,Busan,2014,Under 30 years,16180,8839,7341
236,Busan,2014,30-39 Years old,121996,68918,53078
237,Busan,2014,40-49 Years old,208578,108603,99975
238,Busan,2014,50-59 Years old,257764,135487,122277
239,Busan,2014,60-69 Years old,181462,102749,78713
240,Busan,2014,70-79 Years old,100365,56597,43768
241,Busan,2014,80 years and over,20616,10340,10276
242,Busan,2014,dead,16095,12521,3574
243,Busan,2015,Total,950203,511698,438505
244,Busan,2015,Under 30 years,17804,9550,8254
245,Busan,2015,30-39 Years old,122574,69657,52917
246,Busan,2015,40-49 Years old,211192,109358,101834
247,Busan,2015,50-59 Years old,256893,131664,125229
248,Busan,2015,60-69 Years old,196100,108358,87742
249,Busan,2015,70-79 Years old,105793,59005,46788
250,Busan,2015,80 years and over,24128,12009,12119
251,Busan,2015,dead,15719,12097,3622
252,Busan,2016,Total,959418,510334,449084
253,Busan,2016,Under 30 years,16970,9119,7851
254,Busan,2016,30-39 Years old,121982,69615,52367
255,Busan,2016,40-49 Years old,210121,108339,101782
256,Busan,2016,50-59 Years old,254641,127638,127003
257,Busan,2016,60-69 Years old,205148,110601,94547
258,Busan,2016,70-79 Years old,107689,59515,48174
259,Busan,2016,80 years and over,27157,13486,13671
260,Busan,2016,dead,15710,12021,3689
261,Busan,2017,Total,973593,513794,459799
262,Busan,2017,Under 30 years,16588,8943,7645
263,Busan,2017,30-39 Years old,118460,67807,50653
264,Busan,2017,40-49 Years old,208817,108278,100539
265,Busan,2017,50-59 Years old,252548,124583,127965
266,Busan,2017,60-69 Years old,214267,113463,100804
267,Busan,2017,70-79 Years old,115600,62949,52651
268,Busan,2017,80 years and over,30924,15343,15581
269,Busan,2017,dead,16389,12428,3961
270,Busan,2018,Total,980424,513980,466444
271,Busan,2018,Under 30 years,15375,8256,7119
272,Busan,2018,30-39 Years old,112119,64299,47820
273,Busan,2018,40-49 Years old,205127,107292,97835
274,Busan,2018,50-59 Years old,251782,122656,129126
275,Busan,2018,60-69 Years old,220893,115030,105863
276,Busan,2018,70-79 Years old,122835,66139,56696
277,Busan,2018,80 years and over,34926,17292,17634
278,Busan,2018,dead,17367,13016,4351
279,Busan,2019,Total,986976,513969,473007
280,Busan,2019,Under 30 years,14107,7540,6567
281,Busan,2019,30-39 Years old,103194,59229,43965
282,Busan,2019,40-49 Years old,202929,107312,95617
283,Busan,2019,50-59 Years old,249838,120493,129345
284,Busan,2019,60-69 Years old,229175,117257,111918
285,Busan,2019,70-79 Years old,129547,68812,60735
286,Busan,2019,80 years and over,39629,19555,20074
287,Busan,2019,dead,18557,13771,4786
288,Busan,2020,Total,1001906,517709,484197
289,Busan,2020,Under 30 years,14337,7584,6753
290,Busan,2020,30-39 Years old,97286,55816,41470
291,Busan,2020,40-49 Years old,204662,109114,95548
292,Busan,2020,50-59 Years old,246238,118233,128005
293,Busan,2020,60-69 Years old,240931,120480,120451
294,Busan,2020,70-79 Years old,135123,70788,64335
295,Busan,2020,80 years and over,44323,21698,22625
296,Busan,2020,dead,19006,13996,5010
297,Busan,2021,Total,1019096,521484,497612
298,Busan,2021,Under 30 years,16372,8591,7781
299,Busan,2021,30-39 Years old,94141,53624,40517
300,Busan,2021,40-49 Years old,204191,109591,94600
301,Busan,2021,50-59 Years old,243735,116743,126992
302,Busan,2021,60-69 Years old,253198,123668,129530
303,Busan,2021,70-79 Years old,139640,71886,67754
304,Busan,2021,80 years and over,49490,23914,25576
305,Busan,2021,dead,18329,13467,4862
306,Busan,2022,Total,1030185,524025,506160
307,Busan,2022,Under 30 years,15960,8355,7605
308,Busan,2022,30-39 Years old,88663,50476,38187
309,Busan,2022,40-49 Years old,201989,109144,92845
310,Busan,2022,50-59 Years old,242329,116514,125815
311,Busan,2022,60-69 Years old,258354,124068,134286
312,Busan,2022,70-79 Years old,146791,74223,72568
313,Busan,2022,80 years and over,56513,27036,29477
314,Busan,2022,dead,19586,14209,5377
315,Busan,2023,Total,1051261,531965,519296
316,Busan,2023,Under 30 years,14460,7551,6909
317,Busan,2023,30-39 Years old,84989,48460,36529
318,Busan,2023,40-49 Years old,202455,110302,92153
319,Busan,2023,50-59 Years old,245421,118460,126961
320,Busan,2023,60-69 Years old,266290,126459,139831
321,Busan,2023,70-79 Years old,154637,76696,77941
322,Busan,2023,80 years and over,63039,29769,33270
323,Busan,2023,dead,19970,14268,5702
324,Daegu,2012,Total,594293,342198,252095
325,Daegu,2012,Under 30 years,11641,6685,4956
326,Daegu,2012,30-39 Years old,90101,51947,38154
327,Daegu,2012,40-49 Years old,159545,88828,70717
328,Daegu,2012,50-59 Years old,159789,91654,68135
329,Daegu,2012,60-69 Years old,98363,58231,40132
330,Daegu,2012,70-79 Years old,55576,32140,23436
331,Daegu,2012,80 years and over,11170,6156,5014
332,Daegu,2012,dead,8108,6557,1551
333,Daegu,2013,Total,611890,348109,263781
334,Daegu,2013,Under 30 years,10947,6333,4614
335,Daegu,2013,30-39 Years old,89773,51842,37931
336,Daegu,2013,40-49 Years old,161476,88556,72920
337,Daegu,2013,50-59 Years old,164894,92935,71959
338,Daegu,2013,60-69 Years old,102672,59659,43013
339,Daegu,2013,70-79 Years old,60641,34864,25777
340,Daegu,2013,80 years and over,13013,7072,5941
341,Daegu,2013,dead,8474,6848,1626
342,Daegu,2014,Total,623401,350796,272605
343,Daegu,2014,Under 30 years,10214,5983,4231
344,Daegu,2014,30-39 Years old,87882,51107,36775
345,Daegu,2014,40-49 Years old,163950,89026,74924
346,Daegu,2014,50-59 Years old,169137,93462,75675
347,Daegu,2014,60-69 Years old,106520,60981,45539
348,Daegu,2014,70-79 Years old,62886,35666,27220
349,Daegu,2014,80 years and over,13919,7374,6545
350,Daegu,2014,dead,8893,7197,1696
351,Daegu,2015,Total,639235,356387,282848
352,Daegu,2015,Under 30 years,10979,6389,4590
353,Daegu,2015,30-39 Years old,85017,49670,35347
354,Daegu,2015,40-49 Years old,163718,88440,75278
355,Daegu,2015,50-59 Years old,172457,93603,78854
356,Daegu,2015,60-69 Years old,115349,65041,50308
357,Daegu,2015,70-79 Years old,65519,36790,28729
358,Daegu,2015,80 years and over,16574,8704,7870
359,Daegu,2015,dead,9622,7750,1872
360,Daegu,2016,Total,653026,360678,292348
361,Daegu,2016,Under 30 years,10384,6098,4286
362,Daegu,2016,30-39 Years old,84104,49602,34502
363,Daegu,2016,40-49 Years old,164066,88296,75770
364,Daegu,2016,50-59 Years old,175563,93682,81881
365,Daegu,2016,60-69 Years old,123203,68178,55025
366,Daegu,2016,70-79 Years old,66796,37023,29773
367,Daegu,2016,80 years and over,19040,9935,9105
368,Daegu,2016,dead,9870,7864,2006
369,Daegu,2017,Total,671684,367859,303825
370,Daegu,2017,Under 30 years,10968,6482,4486
371,Daegu,2017,30-39 Years old,84329,50277,34052
372,Daegu,2017,40-49 Years old,165173,88844,76329
373,Daegu,2017,50-59 Years old,179524,94078,85446
374,Daegu,2017,60-69 Years old,129745,70689,59056
375,Daegu,2017,70-79 Years old,70855,38752,32103
376,Daegu,2017,80 years and over,21476,11096,10380
377,Daegu,2017,dead,9614,7641,1973
378,Daegu,2018,Total,683423,371500,311923
379,Daegu,2018,Under 30 years,11174,6478,4696
380,Daegu,2018,30-39 Years old,83708,50289,33419
381,Daegu,2018,40-49 Years old,162038,87371,74667
382,Daegu,2018,50-59 Years old,184010,95029,88981
383,Daegu,2018,60-69 Years old,133976,71916,62060
384,Daegu,2018,70-79 Years old,74500,40135,34365
385,Daegu,2018,80 years and over,24030,12437,11593
386,Daegu,2018,dead,9987,7845,2142
387,Daegu,2019,Total,690770,371768,319002
388,Daegu,2019,Under 30 years,10932,6286,4646
389,Daegu,2019,30-39 Years old,79337,48012,31325
390,Daegu,2019,40-49 Years old,159955,86421,73534
391,Daegu,2019,50-59 Years old,185774,94628,91146
392,Daegu,2019,60-69 Years old,139873,73625,66248
393,Daegu,2019,70-79 Years old,78287,41514,36773
394,Daegu,2019,80 years and over,27019,13809,13210
395,Daegu,2019,dead,9593,7473,2120
396,Daegu,2020,Total,698114,372185,325929
397,Daegu,2020,Under 30 years,10879,6185,4694
398,Daegu,2020,30-39 Years old,73946,44947,28999
399,Daegu,2020,40-49 Years old,157668,85564,72104
400,Daegu,2020,50-59 Years old,186209,93844,92365
401,Daegu,2020,60-69 Years old,148216,76354,71862
402,Daegu,2020,70-79 Years old,81304,42638,38666
403,Daegu,2020,80 years and over,29957,15013,14944
404,Daegu,2020,dead,9935,7640,2295
405,Daegu,2021,Total,709100,375286,333814
406,Daegu,2021,Under 30 years,11501,6488,5013
407,Daegu,2021,30-39 Years old,70239,42795,27444
408,Daegu,2021,40-49 Years old,155283,84875,70408
409,Daegu,2021,50-59 Years old,186623,93572,93051
410,Daegu,2021,60-69 Years old,158022,80038,77984
411,Daegu,2021,70-79 Years old,83923,43418,40505
412,Daegu,2021,80 years and over,33459,16442,17017
413,Daegu,2021,dead,10050,7658,2392
414,Daegu,2022,Total,717264,377734,339530
415,Daegu,2022,Under 30 years,10505,5896,4609
416,Daegu,2022,30-39 Years old,65316,39910,25406
417,Daegu,2022,40-49 Years old,153519,84717,68802
418,Daegu,2022,50-59 Years old,187803,94115,93688
419,Daegu,2022,60-69 Years old,162878,81597,81281
420,Daegu,2022,70-79 Years old,88265,44872,43393
421,Daegu,2022,80 years and over,37956,18448,19508
422,Daegu,2022,dead,11022,8179,2843
423,Daegu,2023,Total,740776,389746,351030
424,Daegu,2023,Under 30 years,9802,5432,4370
425,Daegu,2023,30-39 Years old,63134,38900,24234
426,Daegu,2023,40-49 Years old,151492,84645,66847
427,Daegu,2023,50-59 Years old,192717,96595,96122
428,Daegu,2023,60-69 Years old,172354,85949,86405
429,Daegu,2023,70-79 Years old,94915,47632,47283
430,Daegu,2023,80 years and over,43420,20956,22464
431,Daegu,2023,dead,12942,9637,3305
432,Incheon,2012,Total,677829,387338,290491
433,Incheon,2012,Under 30 years,20233,10597,9636
434,Incheon,2012,30-39 Years old,123261,72587,50674
435,Incheon,2012,40-49 Years old,189263,106825,82438
436,Incheon,2012,50-59 Years old,181695,104236,77459
437,Incheon,2012,60-69 Years old,93734,53892,39842
438,Incheon,2012,70-79 Years old,50054,26995,23059
439,Incheon,2012,80 years and over,10920,5503,5417
440,Incheon,2012,dead,8669,6703,1966
441,Incheon,2013,Total,695488,394998,300490
442,Incheon,2013,Under 30 years,17369,9122,8247
443,Incheon,2013,30-39 Years old,118060,69695,48365
444,Incheon,2013,40-49 Years old,190686,106835,83851
445,Incheon,2013,50-59 Years old,192363,109157,83206
446,Incheon,2013,60-69 Years old,99380,56770,42610
447,Incheon,2013,70-79 Years old,55548,30009,25539
448,Incheon,2013,80 years and over,13074,6437,6637
449,Incheon,2013,dead,9008,6973,2035
450,Incheon,2014,Total,709536,398844,310692
451,Incheon,2014,Under 30 years,16256,8608,7648
452,Incheon,2014,30-39 Years old,115609,68345,47264
453,Incheon,2014,40-49 Years old,192712,107014,85698
454,Incheon,2014,50-59 Years old,198227,110335,87892
455,Incheon,2014,60-69 Years old,104903,59145,45758
456,Incheon,2014,70-79 Years old,58255,31297,26958
457,Incheon,2014,80 years and over,14116,6762,7354
458,Incheon,2014,dead,9458,7338,2120
459,Incheon,2015,Total,732615,407800,324815
460,Incheon,2015,Under 30 years,17631,9343,8288
461,Incheon,2015,30-39 Years old,116952,69416,47536
462,Incheon,2015,40-49 Years old,193975,107129,86846
463,Incheon,2015,50-59 Years old,204251,111512,92739
464,Incheon,2015,60-69 Years old,114070,63318,50752
465,Incheon,2015,70-79 Years old,60669,32359,28310
466,Incheon,2015,80 years and over,16044,7717,8327
467,Incheon,2015,dead,9023,7006,2017
468,Incheon,2016,Total,746413,412015,334398
469,Incheon,2016,Under 30 years,16665,8825,7840
470,Incheon,2016,30-39 Years old,114762,68323,46439
471,Incheon,2016,40-49 Years old,193511,106573,86938
472,Incheon,2016,50-59 Years old,208113,111955,96158
473,Incheon,2016,60-69 Years old,122140,66787,55353
474,Incheon,2016,70-79 Years old,63441,33542,29899
475,Incheon,2016,80 years and over,18449,8819,9630
476,Incheon,2016,dead,9332,7191,2141
477,Incheon,2017,Total,763252,417893,345359
478,Incheon,2017,Under 30 years,16933,8882,8051
479,Incheon,2017,30-39 Years old,112201,66904,45297
480,Incheon,2017,40-49 Years old,194828,107368,87460
481,Incheon,2017,50-59 Years old,212142,112254,99888
482,Incheon,2017,60-69 Years old,129848,70196,59652
483,Incheon,2017,70-79 Years old,68012,35700,32312
484,Incheon,2017,80 years and over,20326,9706,10620
485,Incheon,2017,dead,8962,6883,2079
486,Incheon,2018,Total,780533,424105,356428
487,Incheon,2018,Under 30 years,16910,8891,8019
488,Incheon,2018,30-39 Years old,110551,65714,44837
489,Incheon,2018,40-49 Years old,193674,107261,86413
490,Incheon,2018,50-59 Years old,217411,113236,104175
491,Incheon,2018,60-69 Years old,138325,73733,64592
492,Incheon,2018,70-79 Years old,71445,37268,34177
493,Incheon,2018,80 years and over,22881,10916,11965
494,Incheon,2018,dead,9336,7086,2250
495,Incheon,2019,Total,791488,427231,364257
496,Incheon,2019,Under 30 years,15939,8310,7629
497,Incheon,2019,30-39 Years old,104222,61754,42468
498,Incheon,2019,40-49 Years old,192116,107171,84945
499,Incheon,2019,50-59 Years old,220468,113625,106843
500,Incheon,2019,60-69 Years old,148165,78043,70122
501,Incheon,2019,70-79 Years old,75393,39077,36316
502,Incheon,2019,80 years and over,25610,12084,13526
503,Incheon,2019,dead,9575,7167,2408
504,Incheon,2020,Total,803261,430338,372923
505,Incheon,2020,Under 30 years,16330,8495,7835
506,Incheon,2020,30-39 Years old,97222,57320,39902
507,Incheon,2020,40-49 Years old,191658,107703,83955
508,Incheon,2020,50-59 Years old,220019,112470,107549
509,Incheon,2020,60-69 Years old,161266,83588,77678
510,Incheon,2020,70-79 Years old,79230,40669,38561
511,Incheon,2020,80 years and over,28088,13067,15021
512,Incheon,2020,dead,9448,7026,2422
513,Incheon,2021,Total,822999,438763,384236
514,Incheon,2021,Under 30 years,18115,9502,8613
515,Incheon,2021,30-39 Years old,94080,55353,38727
516,Incheon,2021,40-49 Years old,190933,108199,82734
517,Incheon,2021,50-59 Years old,220809,112511,108298
518,Incheon,2021,60-69 Years old,177680,91095,86585
519,Incheon,2021,70-79 Years old,81344,41228,40116
520,Incheon,2021,80 years and over,31068,14273,16795
521,Incheon,2021,dead,8970,6602,2368
522,Incheon,2022,Total,839794,446044,393750
523,Incheon,2022,Under 30 years,16719,8721,7998
524,Incheon,2022,30-39 Years old,88634,51802,36832
525,Incheon,2022,40-49 Years old,191443,109296,82147
526,Incheon,2022,50-59 Years old,223227,113851,109376
527,Incheon,2022,60-69 Years old,188317,95724,92593
528,Incheon,2022,70-79 Years old,86226,43547,42679
529,Incheon,2022,80 years and over,35294,15958,19336
530,Incheon,2022,dead,9934,7145,2789
531,Incheon,2023,Total,864282,458051,406231
532,Incheon,2023,Under 30 years,14735,7692,7043
533,Incheon,2023,30-39 Years old,86757,50468,36289
534,Incheon,2023,40-49 Years old,192496,111156,81340
535,Incheon,2023,50-59 Years old,226962,115789,111173
536,Incheon,2023,60-69 Years old,201176,101431,99745
537,Incheon,2023,70-79 Years old,91216,45793,45423
538,Incheon,2023,80 years and over,39376,17578,21798
539,Incheon,2023,dead,11564,8144,3420
540,Gwangju,2012,Total,348858,192837,156021
541,Gwangju,2012,Under 30 years,9569,5313,4256
542,Gwangju,2012,30-39 Years old,64527,35484,29043
543,Gwangju,2012,40-49 Years old,97662,51388,46274
544,Gwangju,2012,50-59 Years old,81738,44784,36954
545,Gwangju,2012,60-69 Years old,52507,30348,22159
546,Gwangju,2012,70-79 Years old,30450,17275,13175
547,Gwangju,2012,80 years and over,6499,3481,3018
548,Gwangju,2012,dead,5906,4764,1142
549,Gwangju,2013,Total,354659,194360,160299
550,Gwangju,2013,Under 30 years,8331,4655,3676
551,Gwangju,2013,30-39 Years old,61201,33945,27256
552,Gwangju,2013,40-49 Years old,98997,51403,47594
553,Gwangju,2013,50-59 Years old,85947,46417,39530
554,Gwangju,2013,60-69 Years old,54104,30839,23265
555,Gwangju,2013,70-79 Years old,32608,18342,14266
556,Gwangju,2013,80 years and over,7371,3850,3521
557,Gwangju,2013,dead,6100,4909,1191
558,Gwangju,2014,Total,373513,203657,169856
559,Gwangju,2014,Under 30 years,8254,4632,3622
560,Gwangju,2014,30-39 Years old,61996,34757,27239
561,Gwangju,2014,40-49 Years old,105032,54343,50689
562,Gwangju,2014,50-59 Years old,92186,49296,42890
563,Gwangju,2014,60-69 Years old,57399,32400,24999
564,Gwangju,2014,70-79 Years old,34151,19002,15149
565,Gwangju,2014,80 years and over,8144,4122,4022
566,Gwangju,2014,dead,6351,5105,1246
567,Gwangju,2015,Total,386295,208743,177552
568,Gwangju,2015,Under 30 years,8715,4885,3830
569,Gwangju,2015,30-39 Years old,62407,35597,26810
570,Gwangju,2015,40-49 Years old,106943,54950,51993
571,Gwangju,2015,50-59 Years old,95553,50154,45399
572,Gwangju,2015,60-69 Years old,61440,33767,27673
573,Gwangju,2015,70-79 Years old,35923,19889,16034
574,Gwangju,2015,80 years and over,9260,4671,4589
575,Gwangju,2015,dead,6054,4830,1224
576,Gwangju,2016,Total,393535,211029,182506
577,Gwangju,2016,Under 30 years,8066,4546,3520
578,Gwangju,2016,30-39 Years old,59862,34404,25458
579,Gwangju,2016,40-49 Years old,107212,54958,52254
580,Gwangju,2016,50-59 Years old,99482,51413,48069
581,Gwangju,2016,60-69 Years old,64460,34778,29682
582,Gwangju,2016,70-79 Years old,37600,20656,16944
583,Gwangju,2016,80 years and over,10707,5381,5326
584,Gwangju,2016,dead,6146,4893,1253
585,Gwangju,2017,Total,399189,212848,186341
586,Gwangju,2017,Under 30 years,7966,4459,3507
587,Gwangju,2017,30-39 Years old,57105,33168,23937
588,Gwangju,2017,40-49 Years old,107398,55154,52244
589,Gwangju,2017,50-59 Years old,101452,51701,49751
590,Gwangju,2017,60-69 Years old,67059,35730,31329
591,Gwangju,2017,70-79 Years old,40068,21763,18305
592,Gwangju,2017,80 years and over,11884,5918,5966
593,Gwangju,2017,dead,6257,4955,1302
594,Gwangju,2018,Total,406703,214953,191750
595,Gwangju,2018,Under 30 years,8465,4743,3722
596,Gwangju,2018,30-39 Years old,56703,33203,23500
597,Gwangju,2018,40-49 Years old,105963,54653,51310
598,Gwangju,2018,50-59 Years old,104883,52503,52380
599,Gwangju,2018,60-69 Years old,69594,36249,33345
600,Gwangju,2018,70-79 Years old,41916,22381,19535
601,Gwangju,2018,80 years and over,13217,6565,6652
602,Gwangju,2018,dead,5962,4656,1306
603,Gwangju,2019,Total,414198,217349,196849
604,Gwangju,2019,Under 30 years,8522,4762,3760
605,Gwangju,2019,30-39 Years old,54170,31893,22277
606,Gwangju,2019,40-49 Years old,105585,54868,50717
607,Gwangju,2019,50-59 Years old,107579,53267,54312
608,Gwangju,2019,60-69 Years old,73588,37616,35972
609,Gwangju,2019,70-79 Years old,44173,23144,21029
610,Gwangju,2019,80 years and over,14901,7375,7526
611,Gwangju,2019,dead,5680,4424,1256
612,Gwangju,2020,Total,419407,218556,200851
613,Gwangju,2020,Under 30 years,8512,4686,3826
614,Gwangju,2020,30-39 Years old,50792,29932,20860
615,Gwangju,2020,40-49 Years old,104631,54734,49897
616,Gwangju,2020,50-59 Years old,107970,53042,54928
617,Gwangju,2020,60-69 Years old,78791,39598,39193
618,Gwangju,2020,70-79 Years old,46019,23825,22194
619,Gwangju,2020,80 years and over,16651,8123,8528
620,Gwangju,2020,dead,6041,4616,1425
621,Gwangju,2021,Total,430443,222863,207580
622,Gwangju,2021,Under 30 years,9260,5088,4172
623,Gwangju,2021,30-39 Years old,49538,29331,20207
624,Gwangju,2021,40-49 Years old,104279,55223,49056
625,Gwangju,2021,50-59 Years old,111066,54160,56906
626,Gwangju,2021,60-69 Years old,84374,41478,42896
627,Gwangju,2021,70-79 Years old,47463,24172,23291
628,Gwangju,2021,80 years and over,18664,9012,9652
629,Gwangju,2021,dead,5799,4399,1400
630,Gwangju,2022,Total,436853,225185,211668
631,Gwangju,2022,Under 30 years,8928,4819,4109
632,Gwangju,2022,30-39 Years old,46778,27743,19035
633,Gwangju,2022,40-49 Years old,103348,55439,47909
634,Gwangju,2022,50-59 Years old,113932,55413,58519
635,Gwangju,2022,60-69 Years old,87557,42529,45028
