"Province","Year","Age",Total,Male,Female
"Whole country","2012","Total",12032798,7047944,4984854
"Whole country","2012","Under 30 years",282910,156530,126380
"Whole country","2012","30-39 Years old",1941927,1123901,818026
"Whole country","2012","40-49 Years old",3108057,1771633,1336424
"Whole country","2012","50-59 Years old",3090353,1799567,1290786
"Whole country","2012","60-69 Years old",1913052,1139882,773170
"Whole country","2012","70-79 Years old",1156929,676314,480615
"Whole country","2012","80 years and over",264280,147203,117077
"Whole country","2012","dead",275290,232914,42376
"Whole country","2013","Total",12398627,7205138,5193489
"Whole country","2013","Under 30 years",252730,140344,112386
"Whole country","2013","30-39 Years old",1876828,1088176,788652
"Whole country","2013","40-49 Years old",3166585,1783058,1383527
"Whole country","2013","50-59 Years old",3235769,1859636,1376133
"Whole country","2013","60-69 Years old",2006125,1183435,822690
"Whole country","2013","70-79 Years old",1259948,732289,527659
"Whole country","2013","80 years and over",308122,170351,137771
"Whole country","2013","dead",292520,247849,44671
"Whole country","2014","Total",12650446,7281977,5368469
"Whole country","2014","Under 30 years",240293,134155,106138
"Whole country","2014","30-39 Years old",1841226,1073637,767589
"Whole country","2014","40-49 Years old",3231720,1801109,1430611
"Whole country","2014","50-59 Years old",3302097,1864412,1437685
"Whole country","2014","60-69 Years old",2089927,1218026,871901
"Whole country","2014","70-79 Years old",1303758,749007,554751
"Whole country","2014","80 years and over",325782,173816,151966
"Whole country","2014","dead",315643,267815,47828
"Whole country","2015","Total",13044592,7420711,5623881
"Whole country","2015","Under 30 years",275103,152291,122812
"Whole country","2015","30-39 Years old",1855775,1088849,766926
"Whole country","2015","40-49 Years old",3280918,1811469,1469449
"Whole country","2015","50-59 Years old",3376615,1869816,1506799
"Whole country","2015","60-69 Years old",2243668,1285274,958394
"Whole country","2015","70-79 Years old",1337172,759308,577864
"Whole country","2015","80 years and over",366776,193279,173497
"Whole country","2015","dead",308565,260425,48140
"Whole country","2016","Total",13311319,7509980,5801339
"Whole country","2016","Under 30 years",252840,140309,112531
"Whole country","2016","30-39 Years old",1831033,1080179,750854
"Whole country","2016","40-49 Years old",3291308,1805209,1486099
"Whole country","2016","50-59 Years old",3439685,1876111,1563574
"Whole country","2016","60-69 Years old",2383245,1344462,1038783
"Whole country","2016","70-79 Years old",1375881,773971,601910
"Whole country","2016","80 years and over",415544,218645,196899
"Whole country","2016","dead",321783,271094,50689
"Whole country","2017","Total",13669851,7666849,6003002
"Whole country","2017","Under 30 years",252676,140360,112316
"Whole country","2017","30-39 Years old",1805119,1069615,735504
"Whole country","2017","40-49 Years old",3316590,1819578,1497012
"Whole country","2017","50-59 Years old",3502715,1884236,1618479
"Whole country","2017","60-69 Years old",2516893,1405068,1111825
"Whole country","2017","70-79 Years old",1473092,822892,650200
"Whole country","2017","80 years and over",473021,248717,224304
"Whole country","2017","dead",329745,276383,53362
"Whole country","2018","Total",14010290,7796112,6214178
"Whole country","2018","Under 30 years",257292,142123,115169
"Whole country","2018","30-39 Years old",1801650,1068892,732758
"Whole country","2018","40-49 Years old",3309561,1819350,1490211
"Whole country","2018","50-59 Years old",3600518,1908829,1691689
"Whole country","2018","60-69 Years old",2640555,1453325,1187230
"Whole country","2018","70-79 Years old",1541530,852061,689469
"Whole country","2018","80 years and over",535334,283637,251697
"Whole country","2018","dead",323850,267895,55955
"Whole country","2019","Total",14335723,7922076,6413647
"Whole country","2019","Under 30 years",250362,137260,113102
"Whole country","2019","30-39 Years old",1741549,1033528,708021
