Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population)
Gyeongsangnam-do,2003,32102,1.29,10.3,17558,5.6
Gyeongsangnam-do,2004,30922,1.266,9.8,18375,5.8
Gyeongsangnam-do,2005,28471,1.189,9,18664,5.9
Gyeongsangnam-do,2006,29524,1.254,9.3,20789,6.6
Gyeongsangnam-do,2007,33313,1.434,10.5,21555,6.8
Gyeongsangnam-do,2008,31493,1.368,9.8,20497,6.4
Gyeongsangnam-do,2009,30320,1.323,9.4,19494,6
Gyeongsangnam-do,2010,32203,1.413,9.9,21170,6.5
Gyeongsangnam-do,2012,33211,1.503,10.1,20140,6.1
Gyeongsangnam-do,2013,29504,1.367,8.9,20291,6.1
Gyeongsangnam-do,2014,29763,1.409,9,19056,5.7
Gyeongsangnam-do,2017,23849,1.227,7.1,15978,4.8
Gyeongsangnam-do,2018,21224,1.122,6.3,14996,4.5
Gyeongsangnam-do,2019,19250,1.046,5.7,13613,4.1
Gyeongsangnam-do,2020,16823,0.945,5,11900,3.6
Gyeongsangnam-do,2021,15562,0.903,4.7,10531,3.2
Gyeongsangnam-do,2023,13049,0.799,4,10232,3.1
Gyeongsangnam-do,2024,13100,0.82,4,11429,3.5
Jeju,1990,6739,-,13.2,3955,7.8
Jeju,1991,8053,-,15.8,4356,8.5
Jeju,1992,8524,-,16.7,4707,9.2
Jeju,1993,8655,1.847,17,4678,9.2
Jeju,1994,8850,1.867,17.3,4606,9
Jeju,1995,8747,1.828,16.9,4471,8.7
Jeju,1996,8619,1.782,16.5,4939,9.5
Jeju,1997,8545,1.761,16.3,4347,8.3
Jeju,1998,8090,1.661,15.2,4259,8
Jeju,1999,8056,1.646,15,4426,8.3
Jeju,2000,8633,1.783,16,4022,7.4
Jeju,2001,7453,1.564,13.7,3708,6.8
Jeju,2002,6530,1.394,11.9,3574,6.5
Jeju,2003,6583,1.438,11.9,3379,6.1
Jeju,2004,6097,1.365,11,3325,6
Jeju,2005,5734,1.31,10.3,3382,6.1
Jeju,2006,5853,1.372,10.5,3576,6.4
Jeju,2007,6178,1.489,11.1,3495,6.3
Jeju,2008,5593,1.386,10,3445,6.2
Jeju,2009,5433,1.378,9.7,3279,5.8
Jeju,2010,5657,1.463,10,3515,6.2
Jeju,2012,5992,1.598,10.4,3482,6.1
Jeju,2013,5328,1.427,9.1,3638,6.2
Jeju,2014,5526,1.481,9.3,3593,6
Jeju,2017,5037,1.305,7.8,3654,5.7
Jeju,2018,4781,1.22,7.3,3638,5.5
Jeju,2019,4500,1.145,6.8,3358,5.1
Jeju,2020,3989,1.021,6,2981,4.5
Jeju,2021,3728,0.951,5.6,2661,4
Jeju,2023,3222,0.827,4.8,2614,3.9
Jeju,2024,3200,0.83,4.7,2744,4.1
