Province,Year,Total households,House ownership households,Non ownership households
Jeollabuk-do,2017,728871,427522,301349
Jeollabuk-do,2018,732980,434101,298879
Jeollabuk-do,2019,738307,439491,298816
Jeollabuk-do,2020,755575,448731,306844
Jeollabuk-do,2021,772471,458116,314355
Jeollabuk-do,2022,777680,456701,320979
Jeollabuk-do,2023,786775,464828,321947
Jeollanam-do,2015,720612,431275,289337
Jeollanam-do,2016,727197,421262,305935
Jeollanam-do,2017,733757,435332,298425
Jeollanam-do,2018,737406,441640,295766
Jeollanam-do,2019,741026,449851,291175
Jeollanam-do,2020,761518,464463,297055
Jeollanam-do,2021,777358,477123,300235
Jeollanam-do,2022,784645,481045,303600
Jeollanam-do,2023,793249,489842,303407
Gyeongsangbuk-do,2015,1062724,635608,427116
Gyeongsangbuk-do,2016,1076581,632790,443791
Gyeongsangbuk-do,2017,1087807,652416,435391
Gyeongsangbuk-do,2018,1094534,665822,428712
Gyeongsangbuk-do,2019,1102934,675292,427642
Gyeongsangbuk-do,2020,1131819,688989,442830
Gyeongsangbuk-do,2021,1156645,707840,448805
Gyeongsangbuk-do,2022,1166306,711656,454650
Gyeongsangbuk-do,2023,1166594,712910,453684
Gyeongsangnam-do,2015,1258487,769925,488562
Gyeongsangnam-do,2016,1273523,773636,499887
Gyeongsangnam-do,2017,1292998,800655,492343
Gyeongsangnam-do,2018,1306394,816442,489952
Gyeongsangnam-do,2019,1321213,831804,489409
Gyeongsangnam-do,2020,1350155,850274,499881
Gyeongsangnam-do,2021,1378982,868473,510509
Gyeongsangnam-do,2022,1392608,875525,517083
Gyeongsangnam-do,2023,1404476,883584,520892
Jeju,2015,220369,123364,97005
Jeju,2016,229337,126245,103092
Jeju,2017,240215,132246,107969
Jeju,2018,248998,137174,111824
Jeju,2019,253716,140671,113045
Jeju,2020,263068,144313,118755
Jeju,2021,271162,149416,121746
Jeju,2022,276225,153459,122766
Jeju,2023,278315,156017,122298
