"Classification of Si, Do(1)","Classification of Income(1)",2006,2006,2006,2006,2006,2006,2006,2008,2008,2008,2008,2008,2008,2008,2010,2010,2010,2010,2010,2010,2010,2012,2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019
"Classification of Si, Do(1)","Classification of Income(1)",(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Sakwalse,Free,Total,(Owner Occupied,Jeonse,Monthly Rent with Deposit,Monthly Rent without Deposit,Free,Total
"Metropolitan City Etc.","Total",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.2,11.7,21.8,3.1,0.0,3.1,100.0,60.4,11.7,21.7,3.1,3.1,100.0
"Metropolitan City Etc.","Low-Income Group",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.2,9.0,36.5,6.3,0.0,4.1,100.0,42.8,9.4,36.6,7.0,4.2,100.0
"Metropolitan City Etc.","Middle-Income Group",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.3,13.7,15.9,1.5,0.0,2.6,100.0,65.0,14.3,16.7,1.1,2.9,100.0
"Metropolitan City Etc.","High-Income Group",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.4,13.0,4.2,0.2,0.0,2.2,100.0,83.1,10.4,4.7,0.2,1.7,100.0
"Metropolitan City","Total",54.8,21.5,16.0,2.8,2.3,2.6,100.0,57.4,20.0,15.2,2.5,2.3,2.6,100.0,56.6,18.2,19.2,2.3,1.4,2.2,100.0,56.4,18.4,19.4,3.3,0.2,2.3,100.0,56.5,15.5,24.0,1.3,0.4,2.4,100.0,59.9,11.7,21.9,2.5,0.8,3.2,100.0,60.3,11.6,21.9,2.6,0.5,3.1,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
"Metropolitan City","Low-Income Group",41.9,21.9,23.4,5.0,4.3,3.5,100.0,43.7,19.1,23.9,5.8,3.7,3.8,100.0,39.5,18.2,31.3,4.7,3.4,2.8,100.0,45.1,15.1,30.9,6.1,0.5,2.4,100.0,40.2,14.8,37.3,3.0,1.0,3.7,100.0,43.6,10.3,34.5,5.5,1.7,4.5,100.0,42.9,10.3,36.3,5.6,1.2,3.7,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
"Metropolitan City","Middle-Income Group",60.3,23.9,11.7,1.1,1.2,1.9,100.0,62.6,22.4,11.0,0.5,1.6,1.8,100.0,62.6,19.5,14.9,0.7,0.3,2.0,100.0,59.6,22.4,13.6,1.6,0.0,2.8,100.0,60.5,17.4,20.0,0.3,0.0,1.8,100.0,65.3,14.6,16.8,0.5,0.3,2.6,100.0,66.0,13.3,16.5,0.9,0.1,3.2,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
"Metropolitan City","High-Income Group",73.6,17.2,6.9,0.4,0.2,1.7,100.0,78.4,14.8,4.7,0.2,0.1,1.8,100.0,78.6,15.0,3.9,0.9,0.0,1.6,100.0,77.9,16.5,4.2,0.5,0.0,0.8,100.0,79.6,12.8,6.2,0.3,0.0,1.2,100.0,82.2,9.2,6.5,0.4,0.0,1.7,100.0,83.0,10.7,4.5,0.0,0.0,1.7,100.0,-,-,-,-,-,-,-,-,-,-,-,-,-
"do Area","Total",63.8,12.5,13.2,2.4,3.2,4.9,100.0,63.8,9.1,19.2,1.6,1.9,4.4,100.0,64.2,12.3,14.7,2.3,2.4,4.2,100.0,64.3,12.5,14.9,3.2,0.7,4.4,100.0,63.8,9.1,19.2,1.6,1.9,4.4,100.0,66.7,7.8,15.9,2.7,1.7,5.1,100.0,68.1,7.7,15.3,2.0,2.1,4.8,100.0,68.3,7.6,15.2,4.0,0.0,4.9,100.0,68.8,7.5,15.0,4.0,4.8,100.0
"do Area","Low-Income Group",63.2,8.9,13.3,3.9,5.0,5.8,100.0,63.9,9.8,13.0,3.9,4.1,5.4,100.0,63.6,7.3,15.9,3.8,3.8,5.6,100.0,64.2,8.9,16.4,4.4,1.2,4.9,100.0,62.7,5.9,20.0,2.6,3.2,5.5,100.0,61.6,5.7,18.9,4.8,2.8,6.1,100.0,62.9,5.1,19.0,3.3,3.6,6.0,100.0,62.8,5.0,19.1,6.8,0.0,6.3,100.0,62.8,4.5,18.7,7.2,6.8,100.0
"do Area","Middle-Income Group",62.2,16.9,14.8,1.1,1.5,3.5,100.0,61.6,18.0,14.2,1.5,1.4,3.4,100.0,60.8,17.2,16.0,1.4,1.3,3.3,100.0,61.1,17.6,15.2,2.3,0.3,3.6,100.0,60.6,12.8,21.5,0.8,0.8,3.5,100.0,68.3,10.6,15.0,0.7,0.7,4.7,100.0,69.3,10.7,14.5,0.7,0.8,4.0,100.0,69.0,10.4,14.4,2.0,0.0,4.2,100.0,69.7,10.3,14.7,1.7,3.7,100.0
"do Area","High-Income Group",68.5,15.3,9.4,0.3,0.7,5.8,100.0,72.7,15.3,7.4,0.3,0.7,3.7,100.0,76.4,13.8,6.8,0.2,0.8,2.0,100.0,75.0,14.1,6.1,0.5,0.2,4.2,100.0,77.5,9.3,9.0,0.2,0.8,3.3,100.0,80.1,7.9,8.0,0.8,0.5,2.7,100.0,82.3,9.1,5.0,0.4,0.3,3.0,100.0,83.8,8.3,4.9,0.8,0.0,2.2,100.0,82.9,8.7,5.4,0.8,2.1,100.0
