"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"Total average","The number of hosehold members","2006.1/4","2.989","3.136","2.806",
"Total average","The number of hosehold members","2006.2/4","2.926","3.076","2.731",
"Total average","The number of hosehold members","2006.3/4","2.915","3.065","2.724",
"Total average","The number of hosehold members","2006.4/4","2.912","3.073","2.712",
"Total average","The number of hosehold members","2007.1/4","2.878","3.062","2.663",
"Total average","The number of hosehold members","2007.2/4","2.88","3.038","2.683",
"Total average","The number of hosehold members","2007.3/4","2.876","3.057","2.649",
"Total average","The number of hosehold members","2007.4/4","2.876","3.066","2.642",
"Total average","The number of hosehold members","2008.1/4","2.849","3.068","2.59",
"Total average","The number of hosehold members","2008.2/4","2.861","3.083","2.59",
"Total average","The number of hosehold members","2008.3/4","2.852","3.089","2.566",
"Total average","The number of hosehold members","2008.4/4","2.87","3.109","2.575",
"Total average","The number of hosehold members","2009.1/4","2.85","3.08","2.566",
"Total average","The number of hosehold members","2009.2/4","2.859","3.068","2.597",
"Total average","The number of hosehold members","2009.3/4","2.855","3.079","2.575",
"Total average","The number of hosehold members","2009.4/4","2.869","3.092","2.582",
"Total average","The number of hosehold members","2010.1/4","2.835","3.072","2.546",
"Total average","The number of hosehold members","2010.2/4","2.847","3.04","2.587",
"Total average","The number of hosehold members","2010.3/4","2.834","3.017","2.585",
"Total average","The number of hosehold members","2010.4/4","2.845","3.036","2.591",
"Total average","The number of hosehold members","2011.1/4","2.827","3.027","2.57",
"Total average","The number of hosehold members","2011.2/4","2.833","3.002","2.6",
"Total average","The number of hosehold members","2011.3/4","2.819","2.984","2.592",
"Total average","The number of hosehold members","2011.4/4","2.832","3.025","2.568",
"Total average","The number of hosehold members","2012.1/4","2.812","3.026","2.527",
"Total average","The number of hosehold members","2012.2/4","2.824","3.013","2.554",
"Total average","The number of hosehold members","2012.3/4","2.81","3.026","2.508",
"Total average","The number of hosehold members","2012.4/4","2.82","3.057","2.495",
"Total average","The number of hosehold members","2013.1/4","2.775","3.033","2.441",
"Total average","The number of hosehold members","2013.2/4","2.793","3.012","2.486",
"Total average","The number of hosehold members","2013.3/4","2.795","3.027","2.463",
"Total average","The number of hosehold members","2013.4/4","2.801","3.042","2.46",
"Total average","The number of hosehold members","2014.1/4","2.716","2.997","2.356",
"Total average","The number of hosehold members","2014.2/4","2.723","2.971","2.381",
"Total average","The number of hosehold members","2014.3/4","2.717","2.941","2.398",
"Total average","The number of hosehold members","2014.4/4","2.725","2.936","2.414",
"Total average","The number of hosehold members","2015.1/4","2.64","2.902","2.293",
"Total average","The number of hosehold members","2015.2/4","2.649","2.863","2.342",
"Total average","The number of hosehold members","2015.3/4","2.641","2.853","2.34",
"Total average","The number of hosehold members","2015.4/4","2.648","2.859","2.344",
"Total average","The number of hosehold members","2016.1/4","2.584","2.841","2.26",
"Total average","The number of hosehold members","2016.2/4","2.59","2.821","2.27",
"Total average","The number of hosehold members","2016.3/4","2.586","2.808","2.283",
"Total average","The number of hosehold members","2016.4/4","2.592","2.815","2.287",
"Total average","The number of hosehold members","2017.1/4","2.537","2.807","2.198",
"Total average","The number of hosehold members","2017.2/4","2.541","2.753","2.245",
"Total average","The number of hosehold members","2017.3/4","2.531","2.731","2.256",
"Total average","The number of hosehold members","2017.4/4","2.54","2.742","2.265",
"Total average","The number of hosehold members","2018.1/4","2.482","2.756","2.177",
"Total average","The number of hosehold members","2018.2/4","2.485","2.697","2.222",
"Total average","The number of hosehold members","2018.3/4","2.482","2.667","2.25",
"Total average","The number of hosehold members","2018.4/4","2.486","2.681","2.244",
"Total average","The number of hosehold members","2019.1/4","2.455","2.68","2.195",
"Total average","The number of hosehold members","2019.2/4","2.464","2.665","2.211",
"Total average","The number of hosehold members","2019.3/4","2.457","2.664","2.199",
"Total average","The number of hosehold members","2019.4/4","2.464","2.67","2.204",
"Total average","Age of household's head","2006.1/4","47.72","43.516","52.954",
"Total average","Age of household's head","2006.2/4","48.023","43.931","53.38",
"Total average","Age of household's head","2006.3/4","48.27","43.923","53.799",
"Total average","Age of household's head","2006.4/4","48.495","44.02","54.044",
"Total average","Age of household's head","2007.1/4","48.721","43.858","54.438",
"Total average","Age of household's head","2007.2/4","48.699","44.137","54.406",
"Total average","Age of household's head","2007.3/4","48.833","44.153","54.693",
"Total average","Age of household's head","2007.4/4","49.091","44.286","55.027",
"Total average","Age of household's head","2008.1/4","48.952","43.767","55.076",
"Total average","Age of household's head","2008.2/4","49.023","44.267","54.829",
"Total average","Age of household's head","2008.3/4","49.297","44.404","55.187",
"Total average","Age of household's head","2008.4/4","49.35","44.261","55.612",
"Total average","Age of household's head","2009.1/4","49.421","44.384","55.608",
"Total average","Age of household's head","2009.2/4","49.579","44.771","55.614",
"Total average","Age of household's head","2009.3/4","49.342","44.941","54.846",
"Total average","Age of household's head","2009.4/4","49.219","45.011","54.643",
"Total average","Age of household's head","2010.1/4","49.389","44.682","55.128",
"Total average","Age of household's head","2010.2/4","49.447","45.419","54.872",
"Total average","Age of household's head","2010.3/4","49.774","45.701","55.349",
"Total average","Age of household's head","2010.4/4","49.828","45.361","55.778",
"Total average","Age of household's head","2011.1/4","49.867","44.86","56.334",
"Total average","Age of household's head","2011.2/4","50.116","45.925","55.875",
"Total average","Age of household's head","2011.3/4","50.246","45.892","56.275",
"Total average","Age of household's head","2011.4/4","50.419","45.764","56.819",
"Total average","Age of household's head","2012.1/4","50.676","45.661","57.348",
"Total average","Age of household's head","2012.2/4","50.844","46.564","56.965",
"Total average","Age of household's head","2012.3/4","50.978","46.739","56.913",
"Total average","Age of household's head","2012.4/4","51.026","46.324","57.493",
"Total average","Age of household's head","2013.1/4","51.353","46.259","57.941",
"Total average","Age of household's head","2013.2/4","51.388","46.965","57.617",
"Total average","Age of household's head","2013.3/4","51.465","46.842","58.072",
"Total average","Age of household's head","2013.4/4","51.611","46.885","58.287",
"Total average","Age of household's head","2014.1/4","51.92","46.424","58.952",
"Total average","Age of household's head","2014.2/4","51.621","47.064","57.932",
"Total average","Age of household's head","2014.3/4","51.632","47.085","58.109",
"Total average","Age of household's head","2014.4/4","51.714","47.143","58.457",
"Total average","Age of household's head","2015.1/4","52.042","46.375","59.541",
"Total average","Age of household's head","2015.2/4","52.254","47.641","58.86",
"Total average","Age of household's head","2015.3/4","52.216","47.615","58.737",
"Total average","Age of household's head","2015.4/4","52.385","47.796","58.966",
"Total average","Age of household's head","2016.1/4","52.797","47.336","59.653",
"Total average","Age of household's head","2016.2/4","52.972","48.422","59.262",
"Total average","Age of household's head","2016.3/4","53.018","48.369","59.358",
"Total average","Age of household's head","2016.4/4","53.03","48.459","59.25",
"Total average","Age of household's head","2017.1/4","53.684","48.106","60.69",
"Total average","Age of household's head","2017.2/4","53.808","49.367","60.034",
"Total average","Age of household's head","2017.3/4","54.043","49.454","60.366",
"Total average","Age of household's head","2017.4/4","54.108","49.614","60.245",
"Total average","Age of household's head","2018.1/4","54.687","48.481","61.603",
"Total average","Age of household's head","2018.2/4","54.716","49.439","61.238",
"Total average","Age of household's head","2018.3/4","54.776","49.68","61.118",
"Total average","Age of household's head","2018.4/4","54.836","49.707","61.188",
"Total average","Age of household's head","2019.1/4","55.192","49.497","61.77",
"Total average","Age of household's head","2019.2/4","55.139","50.214","61.322",
"Total average","Age of household's head","2019.3/4","55.36","50.259","61.699",
"Total average","Age of household's head","2019.4/4","55.578","50.47","62.016",
"Total average","Distribution of households","2006.1/4","100","100","100",
"Total average","Distribution of households","2006.2/4","100","100","100",
"Total average","Distribution of households","2006.3/4","100","100","100",
"Total average","Distribution of households","2006.4/4","100","100","100",
"Total average","Distribution of households","2007.1/4","100","100","100",
"Total average","Distribution of households","2007.2/4","100","100","100",
"Total average","Distribution of households","2007.3/4","100","100","100",
"Total average","Distribution of households","2007.4/4","100","100","100",
"Total average","Distribution of households","2008.1/4","100","100","100",
"Total average","Distribution of households","2008.2/4","100","100","100",
"Total average","Distribution of households","2008.3/4","100","100","100",
"Total average","Distribution of households","2008.4/4","100","100","100",
"Total average","Distribution of households","2009.1/4","100","100","100",
"Total average","Distribution of households","2009.2/4","100","100","100",
"Total average","Distribution of households","2009.3/4","100","100","100",
"Total average","Distribution of households","2009.4/4","100","100","100",
"Total average","Distribution of households","2010.1/4","100","100","100",
"Total average","Distribution of households","2010.2/4","100","100","100",
"Total average","Distribution of households","2010.3/4","100","100","100",
"Total average","Distribution of households","2010.4/4","100","100","100",
"Total average","Distribution of households","2011.1/4","100","100","100",
"Total average","Distribution of households","2011.2/4","100","100","100",
"Total average","Distribution of households","2011.3/4","100","100","100",
"Total average","Distribution of households","2011.4/4","100","100","100",
"Total average","Distribution of households","2012.1/4","100","100","100",
"Total average","Distribution of households","2012.2/4","100","100","100",
"Total average","Distribution of households","2012.3/4","100","100","100",
"Total average","Distribution of households","2012.4/4","100","100","100",
"Total average","Distribution of households","2013.1/4","100","100","100",
"Total average","Distribution of households","2013.2/4","100","100","100",
"Total average","Distribution of households","2013.3/4","100","100","100",
"Total average","Distribution of households","2013.4/4","100","100","100",
"Total average","Distribution of households","2014.1/4","100","100","100",
"Total average","Distribution of households","2014.2/4","100","100","100",
"Total average","Distribution of households","2014.3/4","100","100","100",
"Total average","Distribution of households","2014.4/4","100","100","100",
"Total average","Distribution of households","2015.1/4","100","100","100",
"Total average","Distribution of households","2015.2/4","100","100","100",
"Total average","Distribution of households","2015.3/4","100","100","100",
"Total average","Distribution of households","2015.4/4","100","100","100",
"Total average","Distribution of households","2016.1/4","100","100","100",
"Total average","Distribution of households","2016.2/4","100","100","100",
"Total average","Distribution of households","2016.3/4","100","100","100",
"Total average","Distribution of households","2016.4/4","100","100","100",
"Total average","Distribution of households","2017.1/4","100","100","100",
"Total average","Distribution of households","2017.2/4","100","100","100",
"Total average","Distribution of households","2017.3/4","100","100","100",
"Total average","Distribution of households","2017.4/4","100","100","100",
"Total average","Distribution of households","2018.1/4","100","100","100",
"Total average","Distribution of households","2018.2/4","100","100","100",
"Total average","Distribution of households","2018.3/4","100","100","100",
"Total average","Distribution of households","2018.4/4","100","100","100",
"Total average","Distribution of households","2019.1/4","100","100","100",
"Total average","Distribution of households","2019.2/4","100","100","100",
"Total average","Distribution of households","2019.3/4","100","100","100",
"Total average","Distribution of households","2019.4/4","100","100","100",
"Total average","Income","2006.1/4","2748346.436","3211697.222","2171509.078",
"Total average","Income","2006.2/4","2676188.136","3078845.056","2149048.864",
"Total average","Income","2006.3/4","2725318.589","3191810.791","2131952.815",
"Total average","Income","2006.4/4","2825442.349","3321026.608","2211020.771",
"Total average","Income","2007.1/4","2890997.096","3474698.984","2204806.323",
"Total average","Income","2007.2/4","2760647.836","3200699.657","2210108.118",
"Total average","Income","2007.3/4","2921772.625","3443412.377","2268502.556",
"Total average","Income","2007.4/4","2909253.561","3425252.594","2271989.089",
"Total average","Income","2008.1/4","3002518.777","3658612.838","2227654.316",
"Total average","Income","2008.2/4","2873507.343","3417224.558","2209731.371",
"Total average","Income","2008.3/4","3045331.775","3647803.851","2319967.08",
"Total average","Income","2008.4/4","2966875.826","3530029.877","2273991.481",
"Total average","Income","2009.1/4","3027528.224","3675237.183","2231908.683",
"Total average","Income","2009.2/4","2880493.554","3379324.329","2254510.684",
"Total average","Income","2009.3/4","3004898.332","3546735.823","2327396.08",
"Total average","Income","2009.4/4","3095238.943","3591131.083","2455937.462",
"Total average","Income","2010.1/4","3244371.673","3852999.15","2502115.326",
"Total average","Income","2010.2/4","3099039.964","3528935.154","2520030.601",
"Total average","Income","2010.3/4","3199906.685","3656979.566","2574157.057",
"Total average","Income","2010.4/4","3164915.1","3613821.29","2566932.947",
"Total average","Income","2011.1/4","3394843.127","4000802.506","2612334.239",
"Total average","Income","2011.2/4","3259775.102","3695984.116","2660390.534",
"Total average","Income","2011.3/4","3402598.597","3915272.456","2692638.779",
"Total average","Income","2011.4/4","3394121.284","3888602.678","2714132.449",
"Total average","Income","2012.1/4","3585194.774","4253138.949","2696327.055",
"Total average","Income","2012.2/4","3450505.039","3901601.097","2805519.517",
"Total average","Income","2012.3/4","3617645.574","4168187.251","2846798.02",
"Total average","Income","2012.4/4","3572212.137","4130401.238","2804412.15",
"Total average","Income","2013.1/4","3647350.345","4391245.655","2685392.425",
"Total average","Income","2013.2/4","3520916.251","4045842.881","2781543.512",
"Total average","Income","2013.3/4","3695207.761","4322949.051","2798190.509",
"Total average","Income","2013.4/4","3608867.719","4201674.69","2771518.669",
"Total average","Income","2014.1/4","3770830.152","4574981.269","2742131.032",
"Total average","Income","2014.2/4","3560436.457","4141259.211","2756161.834",
"Total average","Income","2014.3/4","3770123.549","4392239.872","2883965.42",
"Total average","Income","2014.4/4","3666504.589","4242903.183","2816284.657",
"Total average","Income","2015.1/4","3827939.589","4610693.294","2792262.757",
"Total average","Income","2015.2/4","3627052.24","4173314.406","2844912.45",
"Total average","Income","2015.3/4","3762291.416","4386174.581","2878192.155",
"Total average","Income","2015.4/4","3668891.312","4239661.52","2850340.933",
"Total average","Income","2016.1/4","3824587.797","4670066.466","2762937.254",
"Total average","Income","2016.2/4","3636178.37","4278402.826","2748173.942",
"Total average","Income","2016.3/4","3750627.64","4457316.546","2786726.012",
"Total average","Income","2016.4/4","3635291.334","4296249.786","2735781.977",
"Total average","Income","2017.1/4","3812774.65","4714413.464","2680265.438",
"Total average","Income","2017.2/4","3617216.649","4183273.287","2823784.204",
"Total average","Income","2017.3/4","3765669.678","4458450.752","2811164.823",
"Total average","Income","2017.4/4","3698430.112","4325306.44","2842511.607",
"Total average","Income","2018.1/4","3888316.628","4970392.365","2682502.283",
"Total average","Income","2018.2/4","3715637.387","4459209.539","2796577.386",
"Total average","Income","2018.3/4","3898365.374","4721841.416","2873522.192",
"Total average","Income","2018.4/4","3780291.153","4540722.661","2838522.009",
"Total average","Income","2019.1/4","3950252.275","4921115.248","2828869.628",
"Total average","Income","2019.2/4","3856841.451","4622182.266","2896278.478",
"Total average","Income","2019.3/4","4009462.181","4923985.652","2872822.651",
"Total average","Income","2019.4/4","3926187.036","4747323.966","2891131.684",
"Total average","Current income","2006.1/4","2593680.962","3033962.085","2045563.623",
"Total average","Current income","2006.2/4","2570624.22","2965790.147","2053291.8",
"Total average","Current income","2006.3/4","2643544.867","3105594.5","2055829.926",
"Total average","Current income","2006.4/4","2688670.246","3183880.183","2074712.751",
"Total average","Current income","2007.1/4","2742286.058","3313389.352","2070905.994",
"Total average","Current income","2007.2/4","2660418.602","3104839.323","2104413.043",
"Total average","Current income","2007.3/4","2808974.816","3334815.531","2150443.715",
"Total average","Current income","2007.4/4","2774158.58","3287402.598","2140296.581",
"Total average","Current income","2008.1/4","2859465.598","3485016.482","2120673.44",
"Total average","Current income","2008.2/4","2769935.547","3296414.747","2127203.932",
"Total average","Current income","2008.3/4","2928171.943","3534421.737","2198258.95",
"Total average","Current income","2008.4/4","2851911.331","3400291.135","2177204.683",
"Total average","Current income","2009.1/4","2856568.225","3462615.293","2112124.469",
"Total average","Current income","2009.2/4","2773576.069","3256246.982","2167872.215",
"Total average","Current income","2009.3/4","2910137.125","3435482.576","2253256.176",
"Total average","Current income","2009.4/4","2965592.401","3445205.701","2347277.512",
"Total average","Current income","2010.1/4","3061078.182","3703569.226","2277523.26",
"Total average","Current income","2010.2/4","2985859.919","3406519.955","2419289.032",
"Total average","Current income","2010.3/4","3103833.279","3573075.653","2461423.166",
"Total average","Current income","2010.4/4","3057469.939","3509675.741","2455092.415",
"Total average","Current income","2011.1/4","3227487.755","3820977.286","2461081.873",
"Total average","Current income","2011.2/4","3137849.983","3584633.627","2523935.063",
"Total average","Current income","2011.3/4","3293427.369","3825168.594","2557062.727",
"Total average","Current income","2011.4/4","3282493.658","3778770.807","2600035.38",
"Total average","Current income","2012.1/4","3420792.099","4096431.148","2521684.415",
"Total average","Current income","2012.2/4","3314276.622","3775976.814","2654129.115",
"Total average","Current income","2012.3/4","3496054.1","4064797.43","2699721.282",
"Total average","Current income","2012.4/4","3455108.265","4011914.249","2689210.783",
"Total average","Current income","2013.1/4","3498366.151","4236364.548","2544033.743",
"Total average","Current income","2013.2/4","3396894.242","3922017.644","2657244.344",
"Total average","Current income","2013.3/4","3563006.047","4200409.427","2652182.053",
"Total average","Current income","2013.4/4","3493792.39","4081199.108","2664071.282",
"Total average","Current income","2014.1/4","3595568.053","4403462.2","2562080.714",
"Total average","Current income","2014.2/4","3442375.793","4028587.908","2630638.434",
"Total average","Current income","2014.3/4","3637915.481","4272495.954","2734003.105",
"Total average","Current income","2014.4/4","3548640.741","4121853.846","2703119.581",
"Total average","Current income","2015.1/4","3656176.036","4445052.672","2612397.833",
"Total average","Current income","2015.2/4","3487154.974","4015818.677","2730212.716",
"Total average","Current income","2015.3/4","3639716.73","4254218.94","2768911.137",
"Total average","Current income","2015.4/4","3544780.761","4120601.36","2718987.539",
"Total average","Current income","2016.1/4","3644821.495","4495102.227","2577141.097",
"Total average","Current income","2016.2/4","3525114.374","4160747.834","2646223.324",
"Total average","Current income","2016.3/4","3651249.958","4370245.198","2670562.874",
"Total average","Current income","2016.4/4","3555187.494","4211004.205","2662675.618",
"Total average","Current income","2017.1/4","3637767.071","4533563.874","2512595.752",
"Total average","Current income","2017.2/4","3507168.742","4105688.775","2668232.881",
"Total average","Current income","2017.3/4","3685542.368","4382394.257","2725428.798",
"Total average","Current income","2017.4/4","3616532.865","4250323.876","2751173.255",
"Total average","Current income","2018.1/4","3849803.992","4926700.647","2649760.973",
"Total average","Current income","2018.2/4","3687172.804","4435944.404","2761686.25",
"Total average","Current income","2018.3/4","3859197.641","4682099.735","2835068.757",
"Total average","Current income","2018.4/4","3747014.327","4518020.646","2792148.631",
"Total average","Current income","2019.1/4","3925601.031","4905283.54","2794031.493",
"Total average","Current income","2019.2/4","3836971.198","4602234.318","2876505.736",
"Total average","Current income","2019.3/4","3991413.159","4903845.44","2857372.719",
"Total average","Current income","2019.4/4","3906011.703","4735957.851","2859852.202",
"Total average","Wage and salary income","2006.1/4","1678862.357","2714334.678","389776.128",
"Total average","Wage and salary income","2006.2/4","1677053.768","2667802.052","380013.28",
"Total average","Wage and salary income","2006.3/4","1750107.015","2822387.13","386195.001",
"Total average","Wage and salary income","2006.4/4","1762653.116","2885376.62","370709.095",
"Total average","Wage and salary income","2007.1/4","1789813.221","2979271.027","391505.306",
"Total average","Wage and salary income","2007.2/4","1741904.903","2815551.469","398687.924",
"Total average","Wage and salary income","2007.3/4","1872928.333","3023002.218","432645.374",
"Total average","Wage and salary income","2007.4/4","1833678.643","2975191.435","423897.808",
"Total average","Wage and salary income","2008.1/4","1900167.267","3144848.544","430165.718",
"Total average","Wage and salary income","2008.2/4","1826074.796","2978483.824","419201.143",
"Total average","Wage and salary income","2008.3/4","1957541.382","3209164.06","450611.954",
"Total average","Wage and salary income","2008.4/4","1900920.087","3096086.265","430430.911",
"Total average","Wage and salary income","2009.1/4","1921685.143","3100518.469","473653.868",
"Total average","Wage and salary income","2009.2/4","1843931.022","2951897.606","453543.469",
"Total average","Wage and salary income","2009.3/4","1940421.468","3110988.783","476768.612",
"Total average","Wage and salary income","2009.4/4","1960407.117","3115239.481","471603.44",
"Total average","Wage and salary income","2010.1/4","2017091.025","3287287.082","468013.601",
"Total average","Wage and salary income","2010.2/4","1956265.947","3058531.133","471667.196",
"Total average","Wage and salary income","2010.3/4","2081819.57","3225531.151","516036.243",
"Total average","Wage and salary income","2010.4/4","2024593.582","3161959.276","509523.389",
"Total average","Wage and salary income","2011.1/4","2153397.621","3422728.844","514239.951",
"Total average","Wage and salary income","2011.2/4","2062521.387","3203422.217","494836.332",
"Total average","Wage and salary income","2011.3/4","2212420.318","3439275.886","513449.051",
"Total average","Wage and salary income","2011.4/4","2179368.864","3378475.899","530410.163",
"Total average","Wage and salary income","2012.1/4","2300257.908","3630371.634","530207.063",
"Total average","Wage and salary income","2012.2/4","2201124.667","3368148.817","532491.867",
"Total average","Wage and salary income","2012.3/4","2365515.337","3667640.318","542329.375",
"Total average","Wage and salary income","2012.4/4","2310927.305","3617763.759","513348.293",
"Total average","Wage and salary income","2013.1/4","2345127.902","3783154.944","485563.145",
"Total average","Wage and salary income","2013.2/4","2251868.011","3498577.332","495845.675",
"Total average","Wage and salary income","2013.3/4","2426672.463","3775448.908","499324.747",
"Total average","Wage and salary income","2013.4/4","2348375.385","3664771.98","488944.759",
"Total average","Wage and salary income","2014.1/4","2417266.993","3932650.348","478733.936",
"Total average","Wage and salary income","2014.2/4","2299230.636","3598452.73","500176.874",
"Total average","Wage and salary income","2014.3/4","2473037.454","3828710.318","541982.948",
"Total average","Wage and salary income","2014.4/4","2404685.518","3678668.604","525489.722",
"Total average","Wage and salary income","2015.1/4","2480426.272","3944036.146","543895.244",
"Total average","Wage and salary income","2015.2/4","2316444.412","3558598.692","537924.228",
"Total average","Wage and salary income","2015.3/4","2444622.823","3779209.12","553392.502",
"Total average","Wage and salary income","2015.4/4","2390472.799","3690981.604","525393.017",
"Total average","Wage and salary income","2016.1/4","2459960.742","4002131.232","523488.305",
"Total average","Wage and salary income","2016.2/4","2352369.466","3686510.836","507650.797",
"Total average","Wage and salary income","2016.3/4","2474895.517","3904890.808","524426.534",
"Total average","Wage and salary income","2016.4/4","2383948.48","3759987.827","511273.632",
"Total average","Wage and salary income","2017.1/4","2431714.312","3987977.991","476959.34",
"Total average","Wage and salary income","2017.2/4","2322151.553","3613613.419","511930.32",
"Total average","Wage and salary income","2017.3/4","2471273.707","3885520.391","522742.813",
"Total average","Wage and salary income","2017.4/4","2367664.442","3722912.736","517248.273",
"Total average","Wage and salary income","2018.1/4","2546395.472","4332911.738","555585.709",
"Total average","Wage and salary income","2018.2/4","2435503.106","3943695.973","571366.941",
"Total average","Wage and salary income","2018.3/4","2577654.477","4152049.979","618267.178",
"Total average","Wage and salary income","2018.4/4","2498458.637","4011777.019","624264.127",
"Total average","Wage and salary income","2019.1/4","2576864.396","4263174.984","629113.29",
"Total average","Wage and salary income","2019.2/4","2537016.721","4048010.46","640600.627",
"Total average","Wage and salary income","2019.3/4","2691621.113","4307802.577","682907.506",
"Total average","Wage and salary income","2019.4/4","2641280.601","4191010.174","687823.352",
"Total average","Business income","2006.1/4","640078.037","147004.081","1253918.537",
"Total average","Business income","2006.2/4","627481.541","142876.165","1261903.83",
"Total average","Business income","2006.3/4","625442.633","134419.343","1250011.303",
"Total average","Business income","2006.4/4","643650.593","139800.326","1268320.305",
"Total average","Business income","2007.1/4","625417.69","134787.266","1202195.111",
"Total average","Business income","2007.2/4","636821.681","131215.359","1269375.277",
"Total average","Business income","2007.3/4","634457.133","135374.866","1259477.571",
"Total average","Business income","2007.4/4","646904.19","136267.133","1277546.563",
"Total average","Business income","2008.1/4","626812.523","136687.272","1205663.424",
"Total average","Business income","2008.2/4","637768.348","134023.757","1252745.3",
"Total average","Business income","2008.3/4","631824.896","132875.903","1232549.806",
"Total average","Business income","2008.4/4","621914.113","122533.549","1236333.872",
"Total average","Business income","2009.1/4","602801.212","130411.747","1183065.362",
"Total average","Business income","2009.2/4","624954.798","126436.08","1250546.066",
"Total average","Business income","2009.3/4","653295.656","139093.609","1296243.127",
"Total average","Business income","2009.4/4","687806.878","148944.218","1382505.723",
"Total average","Business income","2010.1/4","681691.629","160384.64","1317455.6",
"Total average","Business income","2010.2/4","698039.603","146092.24","1441436.361",
"Total average","Business income","2010.3/4","688600.378","140826.055","1438523.625",
"Total average","Business income","2010.4/4","702474.387","145813.095","1443995.726",
"Total average","Business income","2011.1/4","700724.773","147042.682","1415725.106",
"Total average","Business income","2011.2/4","720414.231","150987.609","1502849.987",
"Total average","Business income","2011.3/4","719099.236","149434.607","1507980.879",
"Total average","Business income","2011.4/4","738778.219","152696.662","1544731.527",
"Total average","Business income","2012.1/4","708321.809","162884.163","1434163.778",
"Total average","Business income","2012.2/4","731868.079","158361.182","1551878.889",
"Total average","Business income","2012.3/4","737011.38","153321.19","1554272.224",
"Total average","Business income","2012.4/4","755596.713","149877.212","1588775.692",
"Total average","Business income","2013.1/4","719191.014","153097.132","1451227.48",
"Total average","Business income","2013.2/4","745916.124","173633.665","1551990.774",
"Total average","Business income","2013.3/4","730676.791","165994.005","1537585.959",
"Total average","Business income","2013.4/4","747722.563","166326.097","1568954.096",
"Total average","Business income","2014.1/4","726714.42","158794.011","1453218.695",
"Total average","Business income","2014.2/4","742878.261","157520.508","1553432.57",
"Total average","Business income","2014.3/4","740142.953","158851.61","1568148.954",
"Total average","Business income","2014.4/4","723282.042","155281.958","1561113.708",
"Total average","Business income","2015.1/4","689339.122","150882.124","1401782.173",
"Total average","Business income","2015.2/4","719831.631","157809.552","1524536.512",
"Total average","Business income","2015.3/4","722445.43","160421.636","1518884.33",
"Total average","Business income","2015.4/4","716441.024","152113.573","1525751.746",
"Total average","Business income","2016.1/4","701689.135","163538.085","1377434.573",
"Total average","Business income","2016.2/4","708028.339","158186.669","1468294.991",
"Total average","Business income","2016.3/4","715301.201","154390.778","1480365.526",
"Total average","Business income","2016.4/4","719842.924","158380.197","1483946.893",
"Total average","Business income","2017.1/4","699936.85","176682.008","1357174.45",
"Total average","Business income","2017.2/4","727226.427","175911.478","1499995.684",
"Total average","Business income","2017.3/4","750434.632","190115.834","1522434.666",
"Total average","Business income","2017.4/4","767976.263","203454.35","1538757.882",
"Total average","Business income","2018.1/4","725621.144","176873.376","1337119.866",
"Total average","Business income","2018.2/4","734288.181","168036.819","1434178.538",
"Total average","Business income","2018.3/4","730956.509","181197.264","1415150.082",
"Total average","Business income","2018.4/4","729462.515","179725.466","1410293.575",
"Total average","Business income","2019.1/4","707836.898","160246.245","1340324.357",
"Total average","Business income","2019.2/4","726038.206","170794.911","1422912.251",
"Total average","Business income","2019.3/4","704162.883","179710.276","1355992.588",
"Total average","Business income","2019.4/4","720876.242","184965.44","1396399.804",
"Total average","Property Income","2006.1/4","13605.12","9978.09","18120.504",
"Total average","Property Income","2006.2/4","13233.309","8737.568","19118.919",
"Total average","Property Income","2006.3/4","13604.177","8627.855","19933.926",
"Total average","Property Income","2006.4/4","16128.976","13185.059","19778.821",
"Total average","Property Income","2007.1/4","19838.335","14963.766","25568.801",
"Total average","Property Income","2007.2/4","16576.833","10809.017","23792.828",
"Total average","Property Income","2007.3/4","16447.364","12875.258","20920.853",
"Total average","Property Income","2007.4/4","16973.238","12132.021","22952.194",
"Total average","Property Income","2008.1/4","19405.837","13428.069","26465.739",
"Total average","Property Income","2008.2/4","16478.268","12132.638","21783.46",
"Total average","Property Income","2008.3/4","16917.373","11596.454","23323.657",
"Total average","Property Income","2008.4/4","15007.351","10228.778","20886.736",
"Total average","Property Income","2009.1/4","17831.17","15115.878","21166.525",
"Total average","Property Income","2009.2/4","15341.982","12726.328","18624.367",
"Total average","Property Income","2009.3/4","13570.539","11948.991","15598.089",
"Total average","Property Income","2009.4/4","11998.833","10814.145","13526.126",
"Total average","Property Income","2010.1/4","16698.49","14683.981","19155.301",
"Total average","Property Income","2010.2/4","13880.444","11227.245","17453.936",
"Total average","Property Income","2010.3/4","12088.731","9102.799","16176.582",
"Total average","Property Income","2010.4/4","15663.904","13040.574","19158.409",
"Total average","Property Income","2011.1/4","17214.753","13614.01","21864.592",
"Total average","Property Income","2011.2/4","14430.519","11769.965","18086.325",
"Total average","Property Income","2011.3/4","13483.787","9562.019","18914.721",
"Total average","Property Income","2011.4/4","14752.434","11030.815","19870.24",
"Total average","Property Income","2012.1/4","18357.67","14792.18","23102.452",
"Total average","Property Income","2012.2/4","21282.481","17390.218","26847.712",
"Total average","Property Income","2012.3/4","20636.74","14705.203","28941.852",
"Total average","Property Income","2012.4/4","22804.679","18090.141","29289.618",
"Total average","Property Income","2013.1/4","22717.69","13440.883","34713.865",
