"Ulsan",291434,7736,55821,87673,81521,37214,15534,2733,3202,180908,4667,34552,53296,51670,23654,9117,1400,2552,110526,3069,21269,34377,29851,13560,6417,1333,650,301663,6941,55216,88415,86721,40383,17378,3232,3377,185327,4238,34549,52554,54093,25398,10170,1637,2688,116336,2703,20667,35861,32628,14985,7208,1595,689,311549,6600,55767,90026,90448,43346,18221,3520,3621,189958,4145,35277,52763,55428,27133,10553,1783,2876,121591,2455,20490,37263,35020,16213,7668,1737,745,325450,7345,57793,90150,94702,48320,19545,4040,3555,196542,4668,37163,52026,56912,29690,11223,2039,2821,128908,2677,20630,38124,37790,18630,8322,2001,734,331064,6763,57133,88427,97254,52624,20530,4672,3661,198577,4277,37033,50614,57768,31891,11762,2332,2900,132487,2486,20100,37813,39486,20733,8768,2340,761,338232,6620,55865,88118,99521,56785,22455,5251,3617,202151,4200,36496,50689,58482,33937,12875,2632,2840,136081,2420,19369,37429,41039,22848,9580,2619,777,343884,6484,54574,86770,102061,60336,24095,5755,3809,204605,4095,35866,50233,59217,35544,13849,2834,2967,139279,2389,18708,36537,42844,24792,10246,2921,842,351519,5838,51607,86443,104087,65819,26645,6916,4164,208416,3582,34040,50513,59803,38438,15361,3472,3207,143103,2256,17567,35930,44284,27381,11284,3444,957,358845,6266,49085,87153,104114,71695,28610,7854,4068,211198,3819,32367,51387,59064,41197,16365,3920,3079,147647,2447,16718,35766,45050,30498,12245,3934,989,361641,6334,45286,85807,102864,77854,30628,8782,4086,211574,3878,29639,51131,57874,44175,17443,4352,3082,150067,2456,15647,34676,44990,33679,13185,4430,1004,363002,5692,40966,84819,101822,82197,33139,10226,4141,211411,3455,26874,51089,56816,46296,18717,5072,3092,151591,2237,14092,33730,45006,35901,14422,5154,1049,364550,4759,36810,82728,101611,86540,35819,11585,4698,211582,2900,24162,50406,56279,48558,20129,5714,3434,152968,1859,12648,32322,45332,37982,15690,5871,1264
"Sejong",27165,515,4437,6026,6331,4451,3434,921,1050,17277,332,2738,3841,3953,2756,2176,567,914,9888,183,1699,2185,2378,1695,1258,354,136,29421,522,4489,6840,6861,4757,3679,1100,1173,18605,332,2704,4335,4275,2944,2316,672,1027,10816,190,1785,2505,2586,1813,1363,428,146,33459,718,5462,8656,7531,5014,3711,1081,1286,20745,455,3244,5393,4556,3062,2278,630,1127,12714,263,2218,3263,2975,1952,1433,451,159,49659,1088,10896,14642,10360,6340,3869,1197,1267,29836,645,6363,8919,6014,3760,2356,679,1100,19823,443,4533,5723,4346,2580,1513,518,167,58322,1180,12708,17907,12040,7664,4119,1402,1302,34585,677,7529,10751,6832,4403,2439,810,1144,23737,503,5179,7156,5208,3261,1680,592,158,69759,1358,15073,22006,14480,9177,4656,1645,1364,40737,751,8753,13042,8099,5205,2742,947,1198,29022,607,6320,8964,6381,3972,1914,698,166,81225,1650,17609,25735,17179,10749,5072,1890,1341,46831,879,10190,15056,9488,6026,2915,1115,1162,34394,771,7419,10679,7691,4723,2157,775,179,87537,1566,17343,28177,19373,12027,5509,2127,1415,50056,806,10010,16366,10648,6635,3148,1223,1220,37481,760,7333,11811,8725,5392,2361,904,195,93116,1671,16913,30303,21043,13402,5987,2292,1505,52776,859,9561,17468,11623,7299,3387,1300,1279,40340,812,7352,12835,9420,6103,2600,992,226,99104,1793,16371,31995,23097,15471,6277,2530,1570,55730,940,9169,18298,12788,8312,3513,1389,1321,43374,853,7202,13697,10309,7159,2764,1141,249,113799,2151,19119,36987,26680,17345,7070,2886,1561,63267,1024,10501,20980,14823,9222,3881,1564,1272,50532,1127,8618,16007,11857,8123,3189,1322,289,119296,1926,18889,38697,28982,18633,7539,3067,1563,66130,959,10335,21788,16218,9834,4108,1612,1276,53166,967,8554,16909,12764,8799,3431,1455,287
"Gyeonggi-do",2723040,65753,503531,813424,690802,366191,211918,44647,26774,1574029,35235,292361,471653,406513,208100,116478,22986,20703,1149011,30518,211170,341771,284289,158091,95440,21661,6071,2816567,59297,486727,834748,737938,387244,230108,52281,28224,1615124,31809,281969,477979,429215,219433,125915,26877,21927,1201443,27488,204758,356769,308723,167811,104193,25404,6297,2880735,56222,474081,851111,764786,406636,239880,58051,29968,1639115,30106,275964,482304,438104,229417,130238,29612,23370,1241620,26116,198117,368807,326682,177219,109642,28439,6598,2991332,63488,476065,864535,795506,443792,251371,66941,29634,1684388,33968,278319,484546,447214,247687,135648,33988,23018,1306944,29520,197746,379989,348292,196105,115723,32953,6616,3069755,59230,468382,871115,823191,476876,262385,77242,31334,1714341,31778,274719,485429,455790,263034,140260,39010,24321,1355414,27452,193663,385686,367401,213842,122125,38232,7013,3169606,60698,465594,884609,850350,508833,280421,86868,32233,1760672,32656,274381,493345,463564,278603,149268,43941,24914,1408934,28042,191213,391264,386786,230230,131153,42927,7319,3307703,63450,477730,897411,891234,549564,296854,98123,33337,1823763,34062,281349,501193,478096,298135,156216,49323,25389,1483940,29388,196381,396218,413138,251429,140638,48800,7948,3454042,63548,480297,917841,934583,599783,313485,110996,33509,1891708,33719,282760,514574,494963,321885,163221,55267,25319,1562334,29829,197537,403267,439620,277898,150264,55729,8190,3587339,69823,469018,934595,964462,662507,329929,123602,33403,1949089,37199,274536,525139,505396,350987,170018,60839,24975,1638250,32624,194482,409456,459066,311520,159911,62763,8428,3732021,78637,466687,943905,994709,735621,340720,138360,33382,2016017,42068,271092,533634,519227,384727,173635,67052,24582,1716004,36569,195595,410271,475482,350894,167085,71308,8800,3815559,73223,438874,946142,1023090,778984,361105,156804,37337,2054048,38906,253449,538007,533944,404733,183132,74953,26924,1761511,34317,185425,408135,489146,374251,177973,81851,10413,3944046,67407,435774,955457,1058810,834396,383115,172445,36642,2117116,35752,250784,547332,552486,430957,192808,80841,26156,1826930,31655,184990,408125,506324,403439,190307,91604,10486
"Gangwon State",361897,7545,44883,81527,98347,64147,45341,9844,10263,216477,4483,25505,46686,58626,38750,27683,5770,8974,145420,3062,19378,34841,39721,25397,17658,4074,1289,378828,6874,43638,83067,103992,68012,50611,11535,11099,224857,4143,24872,47110,61257,40633,30487,6647,9708,153971,2731,18766,35957,42735,27379,20124,4888,1391,384092,6469,42167,84058,103694,70346,52489,12139,12730,226414,3996,24253,47228,60167,41727,31225,6664,11154,157678,2473,17914,36830,43527,28619,21264,5475,1576,395250,8320,43028,85919,104741,74114,53548,13590,11990,229969,5080,24928,47861,59500,43328,31473,7341,10458,165281,3240,18100,38058,45241,30786,22075,6249,1532,407573,7127,42430,85640,107049,80489,55933,16097,12808,235437,4318,24836,47420,59915,46636,32495,8714,11103,172136,2809,17594,38220,47134,33853,23438,7383,1705,416492,7078,40809,85455,107196,86022,58470,18292,13170,239480,4270,24112,47214,59107,49631,33765,10006,11375,177012,2808,16697,38241,48089,36391,24705,8286,1795,426399,7172,40290,84496,109058,91602,59911,21177,12693,243015,4347,23961,46592,59179,52359,34118,11652,10807,183384,2825,16329,37904,49879,39243,25793,9525,1886,440683,7283,40833,85155,111583,98790,60576,23682,12781,248979,4362,24402,46874,59812,55681,34143,12921,10784,191704,2921,16431,38281,51771,43109,26433,10761,1997,459542,7724,41717,87067,113661,108743,61333,26458,12839,257233,4603,25143,47785,60282,60326,34030,14222,10842,202309,3121,16574,39282,53379,48417,27303,12236,1997,473451,8322,41452,87150,114899,119415,61227,28982,12004,262062,4933,24791,48000,60339,65291,33410,15351,9947,211389,3389,16661,39150,54560,54124,27817,13631,2057,484622,8125,40067,86981,116590,124057,64660,31959,12183,266033,4773,23992,47981,60856,66767,35114,16564,9986,218589,3352,16075,39000,55734,57290,29546,15395,2197,492745,7320,38142,85150,117956,130108,67344,34456,12269,268674,4228,22966,47225,61466,69250,36155,17461,9923,224071,3092,15176,37925,56490,60858,31189,16995,2346
"Chungcheongbuk-do",385708,9237,59838,93530,98469,60288,42312,9693,12341,237524,5446,35564,54934,60011,37660,26690,6185,11034,148184,3791,24274,38596,38458,22628,15622,3508,1307,401423,8394,59327,96704,103009,63556,45671,11346,13416,244921,4969,35361,55759,61856,39254,28516,7187,12019,156502,3425,23966,40945,41153,24302,17155,4159,1397,406834,8117,57621,98636,103913,66236,45956,11274,15081,245502,4844,34581,56192,61213,40330,28094,6675,13573,161332,3273,23040,42444,42700,25906,17862,4599,1508,414536,9364,57414,99532,106136,69810,45046,12453,14781,246527,5507,34702,56014,61083,41654,27066,7247,13254,168009,3857,22712,43518,45053,28156,17980,5206,1527,426272,8154,55380,99235,109299,76707,46837,14734,15926,251799,4809,33740,55320,61925,45297,27909,8541,14258,174473,3345,21640,43915,47374,31410,18928,6193,1668,441796,7929,53726,99499,112553,83781,50509,17219,16580,259881,4728,32964,55534,62952,49138,29912,9903,14750,181915,3201,20762,43965,49601,34643,20597,7316,1830,453048,8448,53446,98949,115498,89050,52064,19846,15747,264455,5033,33129,55472,63364,51424,30552,11630,13851,188593,3415,20317,43477,52134,37626,21512,8216,1896,469366,8596,53270,99145,120105,95320,54017,22319,16594,272467,5141,33178,55953,64977,54338,31371,12950,14559,196899,3455,20092,43192,55128,40982,22646,9369,2035,482771,9023,52281,99825,121707,103199,55469,24319,16948,277872,5390,32620,56455,65266,57780,31745,13815,14801,204899,3633,19661,43370,56441,45419,23724,10504,2147,493366,9427,50632,98494,121898,113736,56323,26626,16230,281033,5566,31642,55985,64540,62734,31675,14796,14095,212333,3861,18990,42509,57358,51002,24648,11830,2135,499702,8834,47183,98013,122193,118519,59342,29426,16192,283001,5158,29741,56063,64349,64776,32952,16047,13915,216701,3676,17442,41950,57844,53743,26390,13379,2277,511649,8448,46355,97472,125774,123909,62231,31366,16094,288100,4921,29397,56268,65878,66990,34183,16729,13734,223549,3527,16958,41204,59896,56919,28048,14637,2360
"Chungcheongnam-do",476502,11168,74652,109195,110639,76934,58976,15490,19448,299319,6249,45989,65560,68177,48831,37285,9791,17437,177183,4919,28663,43635,42462,28103,21691,5699,2011,498651,10145,73508,112831,117645,80990,63375,18701,21456,312012,5727,45464,67108,71783,51050,39789,11844,19247,186639,4418,28044,45723,45862,29940,23586,6857,2209,520719,11085,77567,118609,120549,84480,64944,19922,23563,322316,6147,48543,69807,72131,52511,39984,12094,21099,198403,4938,29024,48802,48418,31969,24960,7828,2464,533423,13150,78218,121537,123915,89743,62858,21339,22663,325831,7263,49313,70906,72736,54816,37999,12619,20179,207592,5887,28905,50631,51179,34927,24859,8720,2484,555471,12596,81183,125669,127612,96867,63410,24300,23834,337002,6995,51656,72959,73452,58316,38078,14325,21221,218469,5601,29527,52710,54160,38551,25332,9975,2613,583830,12211,81758,129937,133135,104125,69053,28819,24792,353700,6908,52178,75622,75901,62414,41756,16934,21987,230130,5303,29580,54315,57234,41711,27297,11885,2805,604516,12327,82991,132395,139334,109384,71518,32606,23961,362834,7030,53006,77372,78028,64395,42822,19168,21013,241682,5297,29985,55023,61306,44989,28696,13438,2948,620151,11941,81142,134434,144477,114915,73926,35399,23917,369603,6776,51879,79089,80032,66495,43909,20503,20920,250548,5165,29263,55345,64445,48420,30017,14896,2997,634615,11804,76220,136126,146755,124144,77481,38008,24077,375441,6651,48674,80608,80774,70659,45595,21576,20904,259174,5153,27546,55518,65981,53485,31886,16432,3173,646326,12227,71449,135863,148831,135131,78814,39809,24202,379276,6886,45440,80955,81157,75702,45860,22333,20943,267050,5341,26009,54908,67674,59429,32954,17476,3259,654084,11383,66061,136839,151587,141276,79965,42304,24669,380654,6418,41521,81983,82299,77937,45912,23343,21241,273430,4965,24540,54856,69288,63339,34053,18961,3428,672089,10598,63598,137452,157558,149798,83290,44704,25091,388025,6042,39664,82883,85237,81575,47166,24013,21445,284064,4556,23934,54569,72321,68223,36124,20691,3646
"Jeollabuk-do",464225,10317,62149,102430,108315,81598,60397,16327,22692,277419,6060,35732,56888,62900,50001,36212,9826,19800,186806,4257,26417,45542,45415,31597,24185,6501,2892,483582,9306,60409,105950,114456,85266,64973,19193,24029,286816,5482,35106,58324,65382,51678,38587,11306,20951,196766,3824,25303,47626,49074,33588,26386,7887,3078,488326,8618,57620,108582,115409,87724,65156,19717,25500,286915,5070,33755,59356,64774,52467,38236,11019,22238,201411,3548,23865,49226,50635,35257,26920,8698,3262,500617,10981,58855,111042,117697,92572,63522,21145,24803,289859,6319,34643,60140,64527,54292,36787,11607,21544,210758,4662,24212,50902,53170,38280,26735,9538,3259,503407,9018,56093,109665,118757,96008,64299,23476,26091,290112,5252,33360,59190,64200,55484,37151,12840,22635,213295,3766,22733,50475,54557,40524,27148,10636,3456,519633,8694,53677,109347,121451,100860,70958,27654,26992,298674,5074,32256,59322,64950,57802,40943,15114,23213,220959,3620,21421,50025,56501,43058,30015,12540,3779,529293,8626,52814,107980,125021,103886,73373,31180,26413,301871,4974,31978,58686,65982,58651,41924,17192,22484,227422,3652,20836,49294,59039,45235,31449,13988,3929,536922,8246,50317,106716,127178,108256,75294,34076,26839,303896,4737,30487,58298,66537,60185,42440,18515,22697,233026,3509,19830,48418,60641,48071,32854,15561,4142,548245,8286,48116,106848,127871,114726,78863,36656,26879,307511,4710,28996,58575,66498,62543,44061,19543,22585,240734,3576,19120,48273,61373,52183,34802,17113,4294,557185,8900,46259,104716,130307,121920,80590,39022,25471,308512,5048,27677,57684,67123,64959,44313,20487,21221,248673,3852,18582,47032,63184,56961,36277,18535,4250,555750,8074,41578,101887,131176,125213,79341,42482,25999,305758,4661,24832,56397,67344,65817,43222,22038,21447,249992,3413,16746,45490,63832,59396,36119,20444,4552,566305,7956,40265,99745,134792,131490,81436,44864,25757,308795,4584,23892,55644,69048,68227,43674,22612,21114,257510,3372,16373,44101,65744,63263,37762,22252,4643
"Jeollanam-do",485341,9548,52460,93942,107666,88642,72195,20513,40375,308167,5731,30731,55318,66343,57061,44783,12456,35744,177174,3817,21729,38624,41323,31581,27412,8057,4631,504612,8543,51819,95813,113934,91163,77127,23607,42606,318047,5088,30651,55519,69159,58157,47572,14145,37756,186565,3455,21168,40294,44775,33006,29555,9462,4850,502584,7775,50582,95070,113180,91230,76396,23060,45291,312050,4667,29912,54027,66942,57156,46246,12999,40101,190534,3108,20670,41043,46238,34074,30150,10061,5190,512148,11058,52894,97033,115554,93654,73515,24013,44427,313062,6366,31520,54575,66769,57670,43761,13228,39173,199086,4692,21374,42458,48785,35984,29754,10785,5254,518670,9068,52110,95544,117981,97239,74589,26171,45968,315245,5365,31381,53270,67190,59023,44187,14427,40402,203425,3703,20729,42274,50791,38216,30402,11744,5566,537573,8217,50749,95284,120746,102882,81358,30879,47458,326020,4900,31154,53181,68503,61899,48064,16841,41478,211553,3317,19595,42103,52243,40983,33294,14038,5980,546595,8876,51177,94824,123374,106012,81978,35179,45175,328904,5268,31575,53060,68935,62798,48255,19885,39128,217691,3608,19602,41764,54439,43214,33723,15294,6047,558332,8677,49466,94357,125692,111490,84668,38892,45090,333548,5160,30835,53033,69608,64874,49460,21675,38903,224784,3517,18631,41324,56084,46616,35208,17217,6187,574476,9071,48782,96939,127256,119242,86739,42274,44173,340186,5407,30644,54820,69919,68196,50117,23060,38023,234290,3664,18138,42119,57337,51046,36622,19214,6150,588595,9554,48197,97769,130447,127182,87547,45397,42502,344365,5654,30103,55386,71216,71290,50075,24355,36286,244230,3900,18094,42383,59231,55892,37472,21042,6216,593542,9164,45240,97255,132266,131961,87070,48403,42183,344876,5460,28342,55490,71760,73074,49425,25566,35759,248666,3704,16898,41765,60506,58887,37645,22837,6424,605006,8817,43741,96619,134662,139864,89105,51001,41197,348948,5190,27448,55766,72748,76726,49974,26368,34728,256058,3627,16293,40853,61914,63138,39131,24633,6469
"Gyeongsangbuk-do",696431,13710,89291,149496,173222,120113,85609,23096,41894,449409,7906,54274,92555,110319,77973,54304,14674,37404,247022,5804,35017,56941,62903,42140,31305,8422,4490,720722,12715,87221,150037,179732,126258,92912,26723,45124,461502,7446,53174,91079,112676,81328,58549,16956,40294,259220,5269,34047,58958,67056,44930,34363,9767,4830,720710,11945,83613,149182,179135,128938,92421,25676,49800,456203,7082,51432,88718,109996,81876,57275,15341,44483,264507,4863,32181,60464,69139,47062,35146,10335,5317,754879,15591,86912,154158,185330,140527,93846,29491,49024,470751,9005,53910,90595,111685,87955,56944,17065,43592,284128,6586,33002,63563,73645,52572,36902,12426,5432,770564,13667,87788,154273,187750,150332,92825,32650,51279,477110,7978,54975,89439,111578,92772,55993,18909,45466,293454,5689,32813,64834,76172,57560,36832,13741,5813,798792,13212,87517,156470,191843,160890,99684,36989,52187,491448,7857,55131,90228,112337,98521,59923,21378,46073,307344,5355,32386,66242,79506,62369,39761,15611,6114,818928,12907,87238,156337,198051,167607,103977,42983,49828,499090,7605,55235,89937,113906,101151,62292,25447,43517,319838,5302,32003,66400,84145,66456,41685,17536,6311,832387,12194,83837,155698,201332,175249,107636,46782,49659,503007,7121,53285,89642,114360,103972,64131,27259,43237,329380,5073,30552,66056,86972,71277,43505,19523,6422,847610,12250,78950,155532,201438,187697,111252,50460,50031,507692,7169,50239,89890,113052,109411,65631,28865,43435,339918,5081,28711,65642,88386,78286,45621,21595,6596,868281,13244,76871,156048,202908,202150,114576,54105,48379,513841,7723,48773,90423,112187,115871,66827,30296,41741,354440,5521,28098,65625,90721,86279,47749,23809,6638,873702,11804,69455,153371,202739,208992,118799,59041,49501,513569,6893,44070,89466,111241,118717,68409,32511,42262,360133,4911,25385,63905,91498,90275,50390,26530,7239,876159,11001,64278,149687,202913,214778,122548,62445,48509,510938,6425,40901,88011,110411,120564,69907,33456,41263,365221,4576,23377,61676,92502,94214,52641,28989,7246
"Gyeongsangnam-do",848060,18896,135344,213184,213838,128329,83749,21883,32837,512920,11066,79989,123935,128576,78677,49205,12949,28523,335140,7830,55355,89249,85262,49652,34544,8934,4314,881925,16998,133317,219704,225647,135875,90444,25102,34838,528974,10053,79469,125809,133656,82546,52508,14661,30272,352951,6945,53848,93895,91991,53329,37936,10441,4566,904834,16488,135844,227190,229639,141508,91456,24778,37931,537453,9903,81772,128600,133264,85119,52365,13468,32962,367381,6585,54072,98590,96375,56389,39091,11310,4969,928149,19304,137885,231111,234926,151735,90284,26509,36395,544657,11310,84179,129557,133733,89526,50934,14005,31413,383492,7994,53706,101554,101193,62209,39350,12504,4982,949755,16858,134884,230962,241050,164403,92703,30042,38853,554258,9984,83192,128720,135344,95735,51990,15849,33444,395497,6874,51692,102242,105706,68668,40713,14193,5409,986620,16077,133527,234114,249001,178191,100405,35180,40125,573282,9628,83036,130813,137953,102863,56224,18401,34364,413338,6449,50491,103301,111048,75328,44181,16779,5761,1009747,15701,129950,233427,257087,188383,106093,40395,38711,582339,9277,80977,131029,140134,107458,59105,21593,32766,427408,6424,48973,102398,116953,80925,46988,18802,5945,1033218,15250,123744,234304,264220,200513,111076,44503,39608,592508,9032,77194,132187,142670,112895,61627,23512,33391,440710,6218,46550,102117,121550,87618,49449,20991,6217,1055150,15266,115864,235054,267339,217185,115836,48800,39806,600581,8939,72212,133357,142902,120542,63959,25310,33360,454569,6327,43652,101697,124437,96643,51877,23490,6446,1075438,16153,110497,233272,269274,234455,119653,52855,39279,607168,9393,68645,133148,142705,128050,65441,27031,32755,468270,6760,41852,100124,126569,106405,54212,25824,6524,1080564,14926,100303,230292,270660,244797,125164,57190,37232,605677,8586,62307,132194,142918,132204,68053,28763,30652,474887,6340,37996,98098,127742,112593,57111,28427,6580,1089324,13250,90665,224184,275180,256638,131630,61224,36553,606427,7533,56124,129904,144589,137456,70888,30101,29832,482897,5717,34541,94280,130591,119182,60742,31123,6721
"Jeju",131814,2542,18011,34121,32092,22352,14457,3337,4902,78567,1524,10439,19448,19023,13982,8777,1533,3841,53247,1018,7572,14673,13069,8370,5680,1804,1061,136441,2431,18330,35237,34050,22671,14750,3838,5134,80194,1426,10557,19670,19842,13917,8930,1814,4038,56247,1005,7773,15567,14208,8754,5820,2024,1096,143658,2547,19035,37211,35971,23536,15621,4250,5487,83707,1510,10942,20546,20648,14184,9496,2076,4305,59951,1037,8093,16665,15323,9352,6125,2174,1182,152997,3172,19968,39233,37963,25816,16592,4856,5397,88130,1877,11515,21533,21351,15224,10006,2396,4228,64867,1295,8453,17700,16612,10592,6586,2460,1169,160551,2988,20823,40713,40381,27690,17249,5350,5357,91407,1804,11924,22129,22283,16027,10319,2733,4188,69144,1184,8899,18584,18098,11663,6930,2617,1169,168750,3171,21322,42786,42569,29384,18239,5882,5397,95405,1911,12256,23096,23165,16874,10902,3015,4186,73345,1260,9066,19690,19404,12510,7337,2867,1211,175539,3479,21792,43737,45063,30814,18986,6569,5099,98204,2077,12480,23549,24113,17414,11237,3454,3880,77335,1402,9312,20188,20950,13400,7749,3115,1219,180441,3376,20833,44047,46952,33074,19755,7271,5133,100532,2026,11966,23769,24929,18445,11625,3875,3897,79909,1350,8867,20278,22023,14629,8130,3396,1236,185048,3512,19949,43908,48557,35713,20309,7958,5142,102309,2069,11363,23778,25518,19629,11837,4209,3906,82739,1443,8586,20130,23039,16084,8472,3749,1236,191211,3836,19895,44235,50494,38402,20650,8624,5075,104879,2222,11297,23945,26341,20741,11928,4554,3851,86332,1614,8598,20290,24153,17661,8722,4070,1224,196528,3758,19228,44848,52295,40636,21281,9405,5077,107195,2160,10918,24377,27203,21579,12164,4974,3820,89333,1598,8310,20471,25092,19057,9117,4431,1257,200438,3454,18498,44302,53476,43487,22078,10067,5076,108874,1992,10487,24232,27656,22995,12428,5266,3818,91564,1462,8011,20070,25820,20492,9650,4801,1258
