"Type","Region","PERIOD","Sales Price Index",
"Total","Dong-gu","2024.08 Month","86.23149106",
"Total","Dong-gu","2024.09 Month","86.00744683",
"Total","Dong-gu","2024.10 Month","85.81914729",
"Total","Dong-gu","2024.11 Month","85.5381862",
"Total","Dong-gu","2024.12 Month","85.25863819",
"Total","Dong-gu","2025.01 Month","84.84867193",
"Total","Dong-gu","2025.02 Month","84.65527607",
"Total","Dong-gu","2025.03 Month","84.36851457",
"Total","Seo-gu","2020.12 Month","96.34388015",
"Total","Seo-gu","2021.01 Month","97.18647157",
"Total","Seo-gu","2021.02 Month","97.86763571",
"Total","Seo-gu","2021.03 Month","98.46123419",
"Total","Seo-gu","2021.04 Month","99.01045408",
"Total","Seo-gu","2021.05 Month","99.51237965",
"Total","Seo-gu","2021.06 Month","100",
"Total","Seo-gu","2021.07 Month","100.3032667",
"Total","Seo-gu","2021.08 Month","100.486656",
"Total","Seo-gu","2021.09 Month","100.5153669",
"Total","Seo-gu","2021.10 Month","100.5343576",
"Total","Seo-gu","2021.11 Month","100.5195714",
"Total","Seo-gu","2021.12 Month","100.4645779",
"Total","Seo-gu","2022.01 Month","100.4346766",
"Total","Seo-gu","2022.02 Month","100.3970779",
"Total","Seo-gu","2022.03 Month","100.2591276",
"Total","Seo-gu","2022.04 Month","100.1705548",
"Total","Seo-gu","2022.05 Month","99.8512722",
"Total","Seo-gu","2022.06 Month","99.61728422",
"Total","Seo-gu","2022.07 Month","99.51405416",
"Total","Seo-gu","2022.08 Month","99.36360477",
"Total","Seo-gu","2022.09 Month","99.03399199",
"Total","Seo-gu","2022.10 Month","98.67248577",
"Total","Seo-gu","2022.11 Month","97.9923663",
"Total","Seo-gu","2022.12 Month","96.83118554",
"Total","Seo-gu","2023.01 Month","95.99537029",
"Total","Seo-gu","2023.02 Month","95.26089627",
"Total","Seo-gu","2023.03 Month","94.54721731",
"Total","Seo-gu","2023.04 Month","93.96379612",
"Total","Seo-gu","2023.05 Month","93.36711017",
"Total","Seo-gu","2023.06 Month","92.99552476",
"Total","Seo-gu","2023.07 Month","92.83127402",
"Total","Seo-gu","2023.08 Month","92.7414434",
"Total","Seo-gu","2023.09 Month","92.69935884",
"Total","Seo-gu","2023.10 Month","92.71169974",
"Total","Seo-gu","2023.11 Month","92.55875916",
"Total","Seo-gu","2023.12 Month","92.40601326",
"Total","Seo-gu","2024.01 Month","92.03369832",
"Total","Seo-gu","2024.02 Month","91.75200609",
"Total","Seo-gu","2024.03 Month","91.41583813",
"Total","Seo-gu","2024.04 Month","91.27352815",
"Total","Seo-gu","2024.05 Month","91.13418118",
"Total","Seo-gu","2024.06 Month","90.86617018",
"Total","Seo-gu","2024.07 Month","90.53579931",
"Total","Seo-gu","2024.08 Month","90.30556364",
"Total","Seo-gu","2024.09 Month","90.11467764",
"Total","Seo-gu","2024.10 Month","89.91959057",
"Total","Seo-gu","2024.11 Month","89.73786982",
"Total","Seo-gu","2024.12 Month","89.43667064",
"Total","Seo-gu","2025.01 Month","89.14464623",
"Total","Seo-gu","2025.02 Month","88.87263042",
"Total","Seo-gu","2025.03 Month","88.63038031",
"Total","Nam-gu","2020.12 Month","97.07821746",
"Total","Nam-gu","2021.01 Month","97.41753014",
"Total","Nam-gu","2021.02 Month","97.95575793",
"Total","Nam-gu","2021.03 Month","98.47801767",
"Total","Nam-gu","2021.04 Month","98.96776441",
"Total","Nam-gu","2021.05 Month","99.44882742",
"Total","Nam-gu","2021.06 Month","100",
"Total","Nam-gu","2021.07 Month","100.264017",
"Total","Nam-gu","2021.08 Month","100.4790061",
"Total","Nam-gu","2021.09 Month","100.6719504",
"Total","Nam-gu","2021.10 Month","100.7698167",
"Total","Nam-gu","2021.11 Month","100.7511575",
"Total","Nam-gu","2021.12 Month","100.7474174",
"Total","Nam-gu","2022.01 Month","100.6657142",
"Total","Nam-gu","2022.02 Month","100.641852",
"Total","Nam-gu","2022.03 Month","100.5711563",
"Total","Nam-gu","2022.04 Month","100.4919181",
"Total","Nam-gu","2022.05 Month","100.4488459",
"Total","Nam-gu","2022.06 Month","100.3922618",
"Total","Nam-gu","2022.07 Month","100.2677785",
"Total","Nam-gu","2022.08 Month","100.0305747",
"Total","Nam-gu","2022.09 Month","99.83324139",
"Total","Nam-gu","2022.10 Month","99.57311622",
"Total","Nam-gu","2022.11 Month","98.97652491",
"Total","Nam-gu","2022.12 Month","98.16512792",
"Total","Nam-gu","2023.01 Month","97.1215201",
"Total","Nam-gu","2023.02 Month","96.14588096",
"Total","Nam-gu","2023.03 Month","95.23722458",
"Total","Nam-gu","2023.04 Month","94.31685704",
"Total","Nam-gu","2023.05 Month","93.68632457",
"Total","Nam-gu","2023.06 Month","93.19650627",
"Total","Nam-gu","2023.07 Month","92.96995417",
"Total","Nam-gu","2023.08 Month","92.84529327",
"Total","Nam-gu","2023.09 Month","92.67024564",
"Total","Nam-gu","2023.10 Month","92.60723299",
"Total","Nam-gu","2023.11 Month","92.43679015",
"Total","Nam-gu","2023.12 Month","92.33586578",
"Total","Nam-gu","2024.01 Month","92.15920382",
"Total","Nam-gu","2024.02 Month","91.99854682",
"Total","Nam-gu","2024.03 Month","91.67174035",
"Total","Nam-gu","2024.04 Month","91.53558033",
"Total","Nam-gu","2024.05 Month","91.33029542",
"Total","Nam-gu","2024.06 Month","91.13595867",
"Total","Nam-gu","2024.07 Month","90.84006068",
"Total","Nam-gu","2024.08 Month","90.53980832",
"Total","Nam-gu","2024.09 Month","90.23093676",
"Total","Nam-gu","2024.10 Month","90.05287468",
"Total","Nam-gu","2024.11 Month","89.83394134",
"Total","Nam-gu","2024.12 Month","89.53184818",
"Total","Nam-gu","2025.01 Month","89.33068483",
"Total","Nam-gu","2025.02 Month","89.10008253",
"Total","Nam-gu","2025.03 Month","88.82846359",
"Total","Buk-gu","2020.12 Month","95.44212961",
"Total","Buk-gu","2021.01 Month","95.99399637",
"Total","Buk-gu","2021.02 Month","97.00444578",
"Total","Buk-gu","2021.03 Month","97.8597839",
"Total","Buk-gu","2021.04 Month","98.63562506",
"Total","Buk-gu","2021.05 Month","99.29350386",
"Total","Buk-gu","2021.06 Month","100",
"Total","Buk-gu","2021.07 Month","100.2907066",
"Total","Buk-gu","2021.08 Month","100.5006174",
"Total","Buk-gu","2021.09 Month","100.6035006",
"Total","Buk-gu","2021.10 Month","100.6449056",
"Total","Buk-gu","2021.11 Month","100.646704",
"Total","Buk-gu","2021.12 Month","100.5352455",
"Total","Buk-gu","2022.01 Month","100.4282025",
"Total","Buk-gu","2022.02 Month","100.3238444",
"Total","Buk-gu","2022.03 Month","100.1010403",
"Total","Buk-gu","2022.04 Month","99.95331731",
"Total","Buk-gu","2022.05 Month","99.56021653",
"Total","Buk-gu","2022.06 Month","99.15079947",
"Total","Buk-gu","2022.07 Month","98.96623387",
"Total","Buk-gu","2022.08 Month","98.62639045",
"Total","Buk-gu","2022.09 Month","98.17714034",
"Total","Buk-gu","2022.10 Month","97.55186538",
"Total","Buk-gu","2022.11 Month","96.34332431",
"Total","Buk-gu","2022.12 Month","94.4526036",
"Total","Buk-gu","2023.01 Month","93.08942297",
"Total","Buk-gu","2023.02 Month","92.08396077",
"Total","Buk-gu","2023.03 Month","91.33093581",
"Total","Buk-gu","2023.04 Month","90.55257621",
"Total","Buk-gu","2023.05 Month","90.20591773",
"Total","Buk-gu","2023.06 Month","89.81562397",
"Total","Buk-gu","2023.07 Month","89.49908061",
"Total","Buk-gu","2023.08 Month","89.57112553",
"Total","Buk-gu","2023.09 Month","89.63385579",
"Total","Buk-gu","2023.10 Month","89.6048577",
"Total","Buk-gu","2023.11 Month","89.46014121",
"Total","Buk-gu","2023.12 Month","89.20433425",
"Total","Buk-gu","2024.01 Month","88.93656553",
"Total","Buk-gu","2024.02 Month","88.65316748",
"Total","Buk-gu","2024.03 Month","88.33310711",
"Total","Buk-gu","2024.04 Month","87.87123233",
"Total","Buk-gu","2024.05 Month","87.4662495",
"Total","Buk-gu","2024.06 Month","87.05651651",
"Total","Buk-gu","2024.07 Month","86.77983972",
"Total","Buk-gu","2024.08 Month","86.52497972",
"Total","Buk-gu","2024.09 Month","86.2916858",
"Total","Buk-gu","2024.10 Month","86.03418073",
"Total","Buk-gu","2024.11 Month","85.76405107",
"Total","Buk-gu","2024.12 Month","85.50992659",
"Total","Buk-gu","2025.01 Month","85.12074487",
"Total","Buk-gu","2025.02 Month","84.70546242",
"Total","Buk-gu","2025.03 Month","84.24223605",
"Total","Suseong-gu","2020.12 Month","91.60052253",
"Total","Suseong-gu","2021.01 Month","93.44274508",
"Total","Suseong-gu","2021.02 Month","95.30519863",
"Total","Suseong-gu","2021.03 Month","96.70819861",
"Total","Suseong-gu","2021.04 Month","97.65148071",
"Total","Suseong-gu","2021.05 Month","98.81301968",
"Total","Suseong-gu","2021.06 Month","100",
"Total","Suseong-gu","2021.07 Month","100.5504144",
"Total","Suseong-gu","2021.08 Month","101.0529184",
"Total","Suseong-gu","2021.09 Month","101.3044394",
"Total","Suseong-gu","2021.10 Month","101.5283217",
"Total","Suseong-gu","2021.11 Month","101.6212977",
"Total","Suseong-gu","2021.12 Month","101.6749114",
"Total","Suseong-gu","2022.01 Month","101.544714",
"Total","Suseong-gu","2022.02 Month","101.366112",
"Total","Suseong-gu","2022.03 Month","101.0319051",
"Total","Suseong-gu","2022.04 Month","100.6141304",
"Total","Suseong-gu","2022.05 Month","100.1740007",
"Total","Suseong-gu","2022.06 Month","99.72597344",
"Total","Suseong-gu","2022.07 Month","99.34379275",
"Total","Suseong-gu","2022.08 Month","98.56534167",
"Total","Suseong-gu","2022.09 Month","97.49561749",
"Total","Suseong-gu","2022.10 Month","96.11619653",
"Total","Suseong-gu","2022.11 Month","94.06207363",
"Total","Suseong-gu","2022.12 Month","89.94521541",
"Total","Suseong-gu","2023.01 Month","87.99678144",
"Total","Suseong-gu","2023.02 Month","86.42548169",
"Total","Suseong-gu","2023.03 Month","85.12582486",
"Total","Suseong-gu","2023.04 Month","84.27278961",
"Total","Suseong-gu","2023.05 Month","83.63234826",
"Total","Suseong-gu","2023.06 Month","83.37430431",
"Total","Suseong-gu","2023.07 Month","82.95294255",
"Total","Suseong-gu","2023.08 Month","83.05377257",
"Total","Suseong-gu","2023.09 Month","83.23843416",
"Total","Suseong-gu","2023.10 Month","83.22588295",
"Total","Suseong-gu","2023.11 Month","82.99133771",
"Total","Suseong-gu","2023.12 Month","82.72730468",
"Total","Suseong-gu","2024.01 Month","82.56620027",
"Total","Suseong-gu","2024.02 Month","82.28100079",
"Total","Suseong-gu","2024.03 Month","82.07244621",
"Total","Suseong-gu","2024.04 Month","82.08085049",
"Total","Suseong-gu","2024.05 Month","82.07851307",
"Total","Suseong-gu","2024.06 Month","81.74854786",
"Total","Suseong-gu","2024.07 Month","81.40157422",
"Total","Suseong-gu","2024.08 Month","81.22125226",
"Total","Suseong-gu","2024.09 Month","81.10609755",
"Total","Suseong-gu","2024.10 Month","80.94186749",
"Total","Suseong-gu","2024.11 Month","80.75266505",
"Total","Suseong-gu","2024.12 Month","80.51750319",
"Total","Suseong-gu","2025.01 Month","80.081071",
"Total","Suseong-gu","2025.02 Month","79.82499945",
"Total","Suseong-gu","2025.03 Month","79.36826391",
"Total","Dalseo-gu","2020.12 Month","93.51131398",
"Total","Dalseo-gu","2021.01 Month","94.84640913",
"Total","Dalseo-gu","2021.02 Month","96.23809929",
"Total","Dalseo-gu","2021.03 Month","97.46854589",
"Total","Dalseo-gu","2021.04 Month","98.3315103",
"Total","Dalseo-gu","2021.05 Month","99.13118306",
"Total","Dalseo-gu","2021.06 Month","100",
"Total","Dalseo-gu","2021.07 Month","100.3233171",
"Total","Dalseo-gu","2021.08 Month","100.5292403",
"Total","Dalseo-gu","2021.09 Month","100.6660724",
"Total","Dalseo-gu","2021.10 Month","100.719756",
"Total","Dalseo-gu","2021.11 Month","100.6547812",
"Total","Dalseo-gu","2021.12 Month","100.4900954",
"Total","Dalseo-gu","2022.01 Month","100.085668",
"Total","Dalseo-gu","2022.02 Month","99.42378197",
"Total","Dalseo-gu","2022.03 Month","98.51193576",
"Total","Dalseo-gu","2022.04 Month","97.70652857",
"Total","Dalseo-gu","2022.05 Month","96.96829474",
"Total","Dalseo-gu","2022.06 Month","96.15018779",
"Total","Dalseo-gu","2022.07 Month","95.60754138",
"Total","Dalseo-gu","2022.08 Month","94.64837797",
"Total","Dalseo-gu","2022.09 Month","93.72299203",
"Total","Dalseo-gu","2022.10 Month","92.51317769",
"Total","Dalseo-gu","2022.11 Month","90.72890517",
"Total","Dalseo-gu","2022.12 Month","88.29703851",
"Total","Dalseo-gu","2023.01 Month","85.94577918",
"Total","Dalseo-gu","2023.02 Month","83.59938028",
"Total","Dalseo-gu","2023.03 Month","82.32731231",
"Total","Dalseo-gu","2023.04 Month","81.34401767",
"Total","Dalseo-gu","2023.05 Month","80.80582346",
"Total","Dalseo-gu","2023.06 Month","80.63041476",
"Total","Dalseo-gu","2023.07 Month","80.31650867",
"Total","Dalseo-gu","2023.08 Month","80.42588139",
"Total","Dalseo-gu","2023.09 Month","80.63354658",
"Total","Dalseo-gu","2023.10 Month","80.84986985",
"Total","Dalseo-gu","2023.11 Month","80.90661282",
"Total","Dalseo-gu","2023.12 Month","80.63205069",
"Total","Dalseo-gu","2024.01 Month","80.22619558",
"Total","Dalseo-gu","2024.02 Month","79.84242458",
"Total","Dalseo-gu","2024.03 Month","79.40722134",
"Total","Dalseo-gu","2024.04 Month","79.31979729",
"Total","Dalseo-gu","2024.05 Month","79.06761336",
"Total","Dalseo-gu","2024.06 Month","78.6134168",
"Total","Dalseo-gu","2024.07 Month","78.21935955",
"Total","Dalseo-gu","2024.08 Month","77.8295714",
"Total","Dalseo-gu","2024.09 Month","77.65368416",
"Total","Dalseo-gu","2024.10 Month","77.41672781",
"Total","Dalseo-gu","2024.11 Month","77.13107581",
"Total","Dalseo-gu","2024.12 Month","76.73551775",
"Total","Dalseo-gu","2025.01 Month","76.38705478",
"Total","Dalseo-gu","2025.02 Month","76.135225",
"Total","Dalseo-gu","2025.03 Month","76.01868322",
"Total","Dalseong-gun","2020.12 Month","93.98141928",
"Total","Dalseong-gun","2021.01 Month","94.67658444",
"Total","Dalseong-gun","2021.02 Month","95.63008585",
"Total","Dalseong-gun","2021.03 Month","96.97459909",
"Total","Dalseong-gun","2021.04 Month","98.12134891",
"Total","Dalseong-gun","2021.05 Month","98.97242865",
"Total","Dalseong-gun","2021.06 Month","100",
"Total","Dalseong-gun","2021.07 Month","100.4134825",
"Total","Dalseong-gun","2021.08 Month","100.7690305",
"Total","Dalseong-gun","2021.09 Month","100.9473827",
"Total","Dalseong-gun","2021.10 Month","101.0645275",
"Total","Dalseong-gun","2021.11 Month","101.1047524",
"Total","Dalseong-gun","2021.12 Month","101.0492535",
"Total","Dalseong-gun","2022.01 Month","100.8782688",
"Total","Dalseong-gun","2022.02 Month","100.6483229",
"Total","Dalseong-gun","2022.03 Month","100.3119835",
"Total","Dalseong-gun","2022.04 Month","99.96851677",
"Total","Dalseong-gun","2022.05 Month","99.2346365",
"Total","Dalseong-gun","2022.06 Month","98.57401641",
"Total","Dalseong-gun","2022.07 Month","97.96365931",
"Total","Dalseong-gun","2022.08 Month","97.04517516",
"Total","Dalseong-gun","2022.09 Month","95.98080761",
"Total","Dalseong-gun","2022.10 Month","94.22295628",
"Total","Dalseong-gun","2022.11 Month","92.18287259",
"Total","Dalseong-gun","2022.12 Month","88.75261546",
"Total","Dalseong-gun","2023.01 Month","86.26241704",
"Total","Dalseong-gun","2023.02 Month","84.4924147",
"Total","Dalseong-gun","2023.03 Month","83.47979655",
"Total","Dalseong-gun","2023.04 Month","82.92780774",
"Total","Dalseong-gun","2023.05 Month","83.09972011",
"Total","Dalseong-gun","2023.06 Month","83.72581306",
"Total","Dalseong-gun","2023.07 Month","84.39335608",
"Total","Dalseong-gun","2023.08 Month","84.8939676",
"Total","Dalseong-gun","2023.09 Month","85.25415647",
"Total","Dalseong-gun","2023.10 Month","85.42752823",
"Total","Dalseong-gun","2023.11 Month","85.54169603",
"Total","Dalseong-gun","2023.12 Month","85.6341414",
"Total","Dalseong-gun","2024.01 Month","85.34683581",
"Total","Dalseong-gun","2024.02 Month","84.54304534",
"Total","Dalseong-gun","2024.03 Month","83.87482587",
"Total","Dalseong-gun","2024.04 Month","83.56945064",
"Total","Dalseong-gun","2024.05 Month","83.17211372",
"Total","Dalseong-gun","2024.06 Month","82.70907895",
"Total","Dalseong-gun","2024.07 Month","82.33540428",
"Total","Dalseong-gun","2024.08 Month","82.04387926",
"Total","Dalseong-gun","2024.09 Month","81.84133011",
"Total","Dalseong-gun","2024.10 Month","81.46797412",
"Total","Dalseong-gun","2024.11 Month","81.17620389",
"Total","Dalseong-gun","2024.12 Month","80.60726253",
"Total","Dalseong-gun","2025.01 Month","80.25365179",
"Total","Dalseong-gun","2025.02 Month","80.02118156",
"Total","Dalseong-gun","2025.03 Month","79.85435771",
"Total","Gwangju","2020.12 Month","96.87200719",
"Total","Gwangju","2021.01 Month","97.42041948",
"Total","Gwangju","2021.02 Month","97.80669861",
"Total","Gwangju","2021.03 Month","98.14190049",
"Total","Gwangju","2021.04 Month","98.57867764",
"Total","Gwangju","2021.05 Month","99.03848913",
"Total","Gwangju","2021.06 Month","100",
"Total","Gwangju","2021.07 Month","100.7334672",
"Total","Gwangju","2021.08 Month","101.593649",
"Total","Gwangju","2021.09 Month","102.4173668",
"Total","Gwangju","2021.10 Month","103.3940963",
"Total","Gwangju","2021.11 Month","104.1868211",
"Total","Gwangju","2021.12 Month","104.7289614",
"Total","Gwangju","2022.01 Month","105.1279214",
"Total","Gwangju","2022.02 Month","105.3723554",
"Total","Gwangju","2022.03 Month","105.5995988",
"Total","Gwangju","2022.04 Month","105.8056547",
"Total","Gwangju","2022.05 Month","105.9788959",
"Total","Gwangju","2022.06 Month","106.1084504",
"Total","Gwangju","2022.07 Month","106.1239609",
"Total","Gwangju","2022.08 Month","106.0355839",
"Total","Gwangju","2022.09 Month","105.5104103",
"Total","Gwangju","2022.10 Month","104.8977146",
"Total","Gwangju","2022.11 Month","103.4079169",
"Total","Gwangju","2022.12 Month","101.7098374",
"Total","Gwangju","2023.01 Month","100.4865645",
"Total","Gwangju","2023.02 Month","99.43989642",
"Total","Gwangju","2023.03 Month","98.57807352",
"Total","Gwangju","2023.04 Month","97.98175536",
"Total","Gwangju","2023.05 Month","97.61094881",
"Total","Gwangju","2023.06 Month","97.38694577",
"Total","Gwangju","2023.07 Month","97.21099293",
"Total","Gwangju","2023.08 Month","97.15084213",
"Total","Gwangju","2023.09 Month","97.18151933",
"Total","Gwangju","2023.10 Month","97.30966305",
"Total","Gwangju","2023.11 Month","97.36554797",
"Total","Gwangju","2023.12 Month","97.36606162",
"Total","Gwangju","2024.01 Month","97.28320087",
"Total","Gwangju","2024.02 Month","97.18232888",
"Total","Gwangju","2024.03 Month","97.10993915",
"Total","Gwangju","2024.04 Month","97.03982755",
"Total","Gwangju","2024.05 Month","96.97784852",
"Total","Gwangju","2024.06 Month","96.87099489",
"Total","Gwangju","2024.07 Month","96.76829758",
"Total","Gwangju","2024.08 Month","96.70095573",
"Total","Gwangju","2024.09 Month","96.6649615",
"Total","Gwangju","2024.10 Month","96.56417211",
"Total","Gwangju","2024.11 Month","96.49431485",
"Total","Gwangju","2024.12 Month","96.38100656",
"Total","Gwangju","2025.01 Month","96.24686136",
"Total","Gwangju","2025.02 Month","96.13586001",
"Total","Gwangju","2025.03 Month","95.95074489",
"Total","Dong-gu","2020.12 Month","98.13339403",
"Total","Dong-gu","2021.01 Month","98.53247785",
"Total","Dong-gu","2021.02 Month","98.77853532",
"Total","Dong-gu","2021.03 Month","98.89009851",
"Total","Dong-gu","2021.04 Month","99.08952821",
"Total","Dong-gu","2021.05 Month","99.37701358",
"Total","Dong-gu","2021.06 Month","100",
"Total","Dong-gu","2021.07 Month","100.4025943",
"Total","Dong-gu","2021.08 Month","100.7398176",
"Total","Dong-gu","2021.09 Month","101.2616573",
"Total","Dong-gu","2021.10 Month","101.7577569",
"Total","Dong-gu","2021.11 Month","102.0627747",
"Total","Dong-gu","2021.12 Month","102.2988412",
"Total","Dong-gu","2022.01 Month","102.4404736",
"Total","Dong-gu","2022.02 Month","102.5423477",
"Total","Dong-gu","2022.03 Month","102.637106",
"Total","Dong-gu","2022.04 Month","102.7191292",
"Total","Dong-gu","2022.05 Month","102.8058833",
"Total","Dong-gu","2022.06 Month","102.8542796",
"Total","Dong-gu","2022.07 Month","102.9117646",
"Total","Dong-gu","2022.08 Month","102.8836405",
"Total","Dong-gu","2022.09 Month","102.4920783",
"Total","Dong-gu","2022.10 Month","102.0813879",
"Total","Dong-gu","2022.11 Month","100.9605708",
"Total","Dong-gu","2022.12 Month","99.80908354",
"Total","Dong-gu","2023.01 Month","98.33206433",
"Total","Dong-gu","2023.02 Month","96.9102688",
"Total","Dong-gu","2023.03 Month","95.9773625",
"Total","Dong-gu","2023.04 Month","95.50871122",
"Total","Dong-gu","2023.05 Month","95.33098532",
"Total","Dong-gu","2023.06 Month","95.03539358",
"Total","Dong-gu","2023.07 Month","94.95173383",
"Total","Dong-gu","2023.08 Month","94.91903773",
"Total","Dong-gu","2023.09 Month","95.09712073",
"Total","Dong-gu","2023.10 Month","95.26393454",
"Total","Dong-gu","2023.11 Month","95.48582116",
"Total","Dong-gu","2023.12 Month","95.64607169",
"Total","Dong-gu","2024.01 Month","95.6548996",
"Total","Dong-gu","2024.02 Month","95.63266772",
"Total","Dong-gu","2024.03 Month","95.56246173",
"Total","Dong-gu","2024.04 Month","95.49153372",
"Total","Dong-gu","2024.05 Month","95.48648987",
"Total","Dong-gu","2024.06 Month","95.46284903",
"Total","Dong-gu","2024.07 Month","95.35444662",
"Total","Dong-gu","2024.08 Month","95.23802983",
"Total","Dong-gu","2024.09 Month","95.09058926",
"Total","Dong-gu","2024.10 Month","94.98869097",
"Total","Dong-gu","2024.11 Month","94.91272848",
"Total","Dong-gu","2024.12 Month","94.73363121",
"Total","Dong-gu","2025.01 Month","94.58770908",
"Total","Dong-gu","2025.02 Month","94.48062836",
"Total","Dong-gu","2025.03 Month","94.31216206",
"Total","Seo-gu","2020.12 Month","97.7789316",
"Total","Seo-gu","2021.01 Month","98.24669171",
"Total","Seo-gu","2021.02 Month","98.53405753",
"Total","Seo-gu","2021.03 Month","98.72747249",
"Total","Seo-gu","2021.04 Month","98.98509426",
"Total","Seo-gu","2021.05 Month","99.24276338",
"Total","Seo-gu","2021.06 Month","100",
"Total","Seo-gu","2021.07 Month","100.6103547",
"Total","Seo-gu","2021.08 Month","101.3857435",
"Total","Seo-gu","2021.09 Month","102.1196151",
"Total","Seo-gu","2021.10 Month","103.1053336",
"Total","Seo-gu","2021.11 Month","103.847631",
"Total","Seo-gu","2021.12 Month","104.3930371",
"Total","Seo-gu","2022.01 Month","104.6395183",
"Total","Seo-gu","2022.02 Month","104.6964384",
"Total","Seo-gu","2022.03 Month","104.9178191",
"Total","Seo-gu","2022.04 Month","105.149961",
"Total","Seo-gu","2022.05 Month","105.2482801",
"Total","Seo-gu","2022.06 Month","105.3374018",
"Total","Seo-gu","2022.07 Month","105.3394624",
"Total","Seo-gu","2022.08 Month","105.2599523",
"Total","Seo-gu","2022.09 Month","104.8579312",
"Total","Seo-gu","2022.10 Month","104.4079768",
"Total","Seo-gu","2022.11 Month","103.2787542",
"Total","Seo-gu","2022.12 Month","101.8969317",
"Total","Seo-gu","2023.01 Month","100.7781334",
"Total","Seo-gu","2023.02 Month","99.8703754",
"Total","Seo-gu","2023.03 Month","99.12205001",
"Total","Seo-gu","2023.04 Month","98.40173532",
"Total","Seo-gu","2023.05 Month","97.90956248",
"Total","Seo-gu","2023.06 Month","97.60652303",
"Total","Seo-gu","2023.07 Month","97.32688826",
"Total","Seo-gu","2023.08 Month","97.23742706",
"Total","Seo-gu","2023.09 Month","97.241178",
"Total","Seo-gu","2023.10 Month","97.37007171",
"Total","Seo-gu","2023.11 Month","97.43835661",
"Total","Seo-gu","2023.12 Month","97.43820873",
"Total","Seo-gu","2024.01 Month","97.25417078",
"Total","Seo-gu","2024.02 Month","97.10904118",
"Total","Seo-gu","2024.03 Month","97.07154333",
"Total","Seo-gu","2024.04 Month","96.98954429",
"Total","Seo-gu","2024.05 Month","96.86668747",
"Total","Seo-gu","2024.06 Month","96.78719821",
"Total","Seo-gu","2024.07 Month","96.79148608",
"Total","Seo-gu","2024.08 Month","96.79516179",
"Total","Seo-gu","2024.09 Month","96.8262751",
"Total","Seo-gu","2024.10 Month","96.74546415",
"Total","Seo-gu","2024.11 Month","96.76338073",
"Total","Seo-gu","2024.12 Month","96.69383435",
"Total","Seo-gu","2025.01 Month","96.58811282",
"Total","Seo-gu","2025.02 Month","96.48599373",
"Total","Seo-gu","2025.03 Month","96.38998487",
"Total","Nam-gu","2020.12 Month","96.69535509",
"Total","Nam-gu","2021.01 Month","97.38963797",
"Total","Nam-gu","2021.02 Month","97.80887104",
"Total","Nam-gu","2021.03 Month","98.15809772",
"Total","Nam-gu","2021.04 Month","98.73748122",
"Total","Nam-gu","2021.05 Month","99.26680746",
"Total","Nam-gu","2021.06 Month","100",
"Total","Nam-gu","2021.07 Month","100.4299962",
"Total","Nam-gu","2021.08 Month","101.2163321",
"Total","Nam-gu","2021.09 Month","101.7838834",
"Total","Nam-gu","2021.10 Month","102.4057139",
"Total","Nam-gu","2021.11 Month","102.9925347",
"Total","Nam-gu","2021.12 Month","103.4993946",
"Total","Nam-gu","2022.01 Month","103.8334692",
"Total","Nam-gu","2022.02 Month","103.9928887",
"Total","Nam-gu","2022.03 Month","104.1857177",
"Total","Nam-gu","2022.04 Month","104.4365105",
"Total","Nam-gu","2022.05 Month","104.5139639",
"Total","Nam-gu","2022.06 Month","104.5692427",
"Total","Nam-gu","2022.07 Month","104.5478132",
"Total","Nam-gu","2022.08 Month","104.3997051",
"Total","Nam-gu","2022.09 Month","103.9076897",
"Total","Nam-gu","2022.10 Month","103.4648858",
"Total","Nam-gu","2022.11 Month","102.1948607",
"Total","Nam-gu","2022.12 Month","100.9769761",
"Total","Nam-gu","2023.01 Month","100.1585574",
"Total","Nam-gu","2023.02 Month","99.00349504",
"Total","Nam-gu","2023.03 Month","98.15591319",
"Total","Nam-gu","2023.04 Month","97.41265149",
"Total","Nam-gu","2023.05 Month","96.99915798",
"Total","Nam-gu","2023.06 Month","96.83579684",
"Total","Nam-gu","2023.07 Month","96.6760493",
"Total","Nam-gu","2023.08 Month","96.55111825",
"Total","Nam-gu","2023.09 Month","96.6756702",
"Total","Nam-gu","2023.10 Month","96.8794784",
"Total","Nam-gu","2023.11 Month","97.05595824",
"Total","Nam-gu","2023.12 Month","97.07640678",
"Total","Nam-gu","2024.01 Month","96.89674808",
"Total","Nam-gu","2024.02 Month","96.74322247",
"Total","Nam-gu","2024.03 Month","96.59272029",
"Total","Nam-gu","2024.04 Month","96.39798672",
"Total","Nam-gu","2024.05 Month","96.25504356",
"Total","Nam-gu","2024.06 Month","96.22582954",
"Total","Nam-gu","2024.07 Month","96.08640236",
"Total","Nam-gu","2024.08 Month","96.05554785",
"Total","Nam-gu","2024.09 Month","95.90506231",
"Total","Nam-gu","2024.10 Month","95.84144796",
"Total","Nam-gu","2024.11 Month","95.78093097",
"Total","Nam-gu","2024.12 Month","95.62823295",
"Total","Nam-gu","2025.01 Month","95.46405353",
"Total","Nam-gu","2025.02 Month","95.26430814",
"Total","Nam-gu","2025.03 Month","94.87814747",
"Total","Buk-gu","2020.12 Month","96.68033475",
"Total","Buk-gu","2021.01 Month","97.11788818",
"Total","Buk-gu","2021.02 Month","97.46732366",
