"By administrative divisions","By the kind of house","By the number of dwelling households",1975,1975,1975,1975,1975,1975,1975,1975,1975,1975,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
"By administrative divisions","By the kind of house","By the number of dwelling households",Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing),Persons (Person),Number of housing units  (Housing),Housing units-Total number of rooms-1 (Housing),Housing units-Total number of rooms-2 (Housing),Housing units-Total number of rooms-3 (Housing),Housing units-Total number of rooms-4 (Housing),Housing units-Total number of rooms-5 (Housing),Housing units-Total number of rooms-6 (Housing),Housing units-Total number of rooms-7 (Housing),Housing units-Total number of rooms-8 and over (Housing)
"Whole country","Total","8 households",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,280097,16429,0,0,0,0,0,0,0,16429,310282,20290,0,0,0,0,0,0,0,20290
"Whole country","Total","9 households or more",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1209615,57682,0,0,0,0,0,0,0,57682,1605906,81021,0,0,0,0,0,0,0,81021
"Whole country","Detached house","Total",31082419,4381772,200405,1328245,1498984,809337,298929,127777,50930,67165,32648850,4652127,169633,1213148,1574073,891349,384271,193274,92968,133411,32271717,4719464,153657,1100036,1519172,882335,439958,251062,142881,230363,31388231,4726933,95036,914933,1400901,796806,472786,298749,193569,554153,24619739,4337105,43682,452466,1025805,959364,565878,296384,199600,793926,20461005,4069463,27958,152690,497498,942198,925480,357661,208527,957451,17993358,3984954,13808,101648,436639,916869,974658,335409,191511,1014412,15941063,3797112,21367,108582,446356,934772,904021,311609,168233,902172
"Whole country","Detached house","1 household",18538581,3316505,200405,1228703,1177038,495694,139363,47749,13081,14472,16356345,3248036,169633,1154072,1246581,471898,135684,43763,12938,13467,13800819,3070392,153657,1052726,1215490,451934,128035,42528,13806,12216,11732284,2971277,95036,891448,1231036,482562,175863,57318,18389,19625,9452444,2860431,43682,444783,975949,827524,387203,111565,36990,32735,8384688,2810488,27958,149122,484183,900241,848322,243165,79655,77842,7570662,2815834,13808,100231,431898,897985,933056,251637,84931,102288,6678993,2725835,21367,106812,439336,911956,857135,234990,77398,76841
"Whole country","Detached house","2 households",6057199,665577,-,99542,262370,198364,69558,23013,7011,5719,7344530,835606,-,59076,284172,293668,122069,48163,15672,12786,7211625,883818,-,47310,266676,302259,153616,67511,25404,21042,6085637,809045,0,23485,153142,239785,176060,104740,51472,60361,4188879,633858,0,7682,45587,113376,137807,122955,86613,119838,3261440,534569,0,3568,11696,37239,65636,94000,97458,224972,2786079,494368,0,1417,4090,16954,37503,74744,91000,268660,2210616,427234,0,1770,6381,21037,43009,68489,76808,209740
"Whole country","Detached house","3 households",3126195,240278,-,-,59576,90466,51340,23545,8667,6684,4106886,330128,-,-,43320,107974,85277,51774,23619,18164,4851821,421542,-,-,37006,112123,113228,77534,42069,39582,4888831,453999,0,0,16723,66469,92800,88249,65696,124062,3547500,369267,0,1,4269,16451,34147,47251,53337,213811,2703439,305276,0,0,1619,3937,9656,16451,24245,249368,2223470,274643,0,0,651,1470,3347,7306,12470,249399,1737933,235270,0,0,639,1381,3144,6538,11278,212290
"Whole country","Detached house","4 households(or more)",3360444,159412,-,-,-,24813,38668,33470,22171,40290,4841089,238357,-,-,-,17809,41241,49574,40739,88994,6407452,343712,-,-,-,16019,45079,63489,61602,157523,8681479,492612,0,0,0,7990,28063,48442,58012,350105,2605617,208891,0,0,0,2011,5831,11826,16597,172626,1941836,170645,0,0,0,781,1468,3155,5357,159884,1562608,152025,0,0,0,460,536,1129,2179,147721,1239262,132577,0,0,0,398,490,1034,1871,128784
"Whole country","Detached house","5 households",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2007875,129277,0,0,0,1,889,2364,4676,121347,1623808,115019,0,0,0,0,398,664,1339,112618,1265174,100599,0,0,0,0,216,324,598,99461,1099612,96505,0,0,0,0,243,304,519,95439
"Whole country","Detached house","6 households(or more)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2817424,135381,0,0,0,1,1,423,1387,133569,2545794,133466,0,0,0,0,0,226,473,132767,655010,46079,0,0,0,0,0,269,144,45666,611923,47586,0,0,0,0,0,254,214,47118
"Whole country","Detached house","7 households",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,466813,28639,0,0,0,0,0,0,189,28450,474053,32339,0,0,0,0,0,0,145,32194
