By the item of monthly income & expenditure of household,1990.1/4,1990.1/4.1,1990.1/4.2,1990.2/4,1990.2/4.1,1990.2/4.2,1990.3/4,1990.3/4.1,1990.3/4.2,1990.4/4,1990.4/4.1,1990.4/4.2,1991.1/4,1991.1/4.1,1991.1/4.2,1991.2/4,1991.2/4.1,1991.2/4.2,1991.3/4,1991.3/4.1,1991.3/4.2,1991.4/4,1991.4/4.1,1991.4/4.2,1992.1/4,1992.1/4.1,1992.1/4.2,1992.2/4,1992.2/4.1,1992.2/4.2,1992.3/4,1992.3/4.1,1992.3/4.2,1992.4/4,1992.4/4.1,1992.4/4.2,1993.1/4,1993.1/4.1,1993.1/4.2,1993.2/4,1993.2/4.1,1993.2/4.2,1993.3/4,1993.3/4.1,1993.3/4.2,1993.4/4,1993.4/4.1,1993.4/4.2,1994.1/4,1994.1/4.1,1994.1/4.2,1994.2/4,1994.2/4.1,1994.2/4.2,1994.3/4,1994.3/4.1,1994.3/4.2,1994.4/4,1994.4/4.1,1994.4/4.2,1995.1/4,1995.1/4.1,1995.1/4.2,1995.2/4,1995.2/4.1,1995.2/4.2,1995.3/4,1995.3/4.1,1995.3/4.2,1995.4/4,1995.4/4.1,1995.4/4.2,1996.1/4,1996.1/4.1,1996.1/4.2,1996.2/4,1996.2/4.1,1996.2/4.2,1996.3/4,1996.3/4.1,1996.3/4.2,1996.4/4,1996.4/4.1,1996.4/4.2,1997.1/4,1997.1/4.1,1997.1/4.2,1997.2/4,1997.2/4.1,1997.2/4.2,1997.3/4,1997.3/4.1,1997.3/4.2,1997.4/4,1997.4/4.1,1997.4/4.2,1998.1/4,1998.1/4.1,1998.1/4.2,1998.2/4,1998.2/4.1,1998.2/4.2,1998.3/4,1998.3/4.1,1998.3/4.2,1998.4/4,1998.4/4.1,1998.4/4.2,1999.1/4,1999.1/4.1,1999.1/4.2,1999.2/4,1999.2/4.1,1999.2/4.2,1999.3/4,1999.3/4.1,1999.3/4.2,1999.4/4,1999.4/4.1,1999.4/4.2,2000.1/4,2000.1/4.1,2000.1/4.2,2000.2/4,2000.2/4.1,2000.2/4.2,2000.3/4,2000.3/4.1,2000.3/4.2,2000.4/4,2000.4/4.1,2000.4/4.2,2001.1/4,2001.1/4.1,2001.1/4.2,2001.2/4,2001.2/4.1,2001.2/4.2,2001.3/4,2001.3/4.1,2001.3/4.2,2001.4/4,2001.4/4.1,2001.4/4.2,2002.1/4,2002.1/4.1,2002.1/4.2,2002.2/4,2002.2/4.1,2002.2/4.2,2002.3/4,2002.3/4.1,2002.3/4.2,2002.4/4,2002.4/4.1,2002.4/4.2,2003.1/4,2003.1/4.1,2003.1/4.2,2003.2/4,2003.2/4.1,2003.2/4.2,2003.3/4,2003.3/4.1,2003.3/4.2,2003.4/4,2003.4/4.1,2003.4/4.2,2004.1/4,2004.1/4.1,2004.1/4.2,2004.2/4,2004.2/4.1,2004.2/4.2,2004.3/4,2004.3/4.1,2004.3/4.2,2004.4/4,2004.4/4.1,2004.4/4.2,2005.1/4,2005.1/4.1,2005.1/4.2,2005.2/4,2005.2/4.1,2005.2/4.2,2005.3/4,2005.3/4.1,2005.3/4.2,2005.4/4,2005.4/4.1,2005.4/4.2,2006.1/4,2006.1/4.1,2006.1/4.2,2006.2/4,2006.2/4.1,2006.2/4.2,2006.3/4,2006.3/4.1,2006.3/4.2,2006.4/4,2006.4/4.1,2006.4/4.2,2007.1/4,2007.1/4.1,2007.1/4.2,2007.2/4,2007.2/4.1,2007.2/4.2,2007.3/4,2007.3/4.1,2007.3/4.2,2007.4/4,2007.4/4.1,2007.4/4.2,2008.1/4,2008.1/4.1,2008.1/4.2,2008.2/4,2008.2/4.1,2008.2/4.2,2008.3/4,2008.3/4.1,2008.3/4.2,2008.4/4,2008.4/4.1,2008.4/4.2,2009.1/4,2009.1/4.1,2009.1/4.2,2009.2/4,2009.2/4.1,2009.2/4.2,2009.3/4,2009.3/4.1,2009.3/4.2,2009.4/4,2009.4/4.1,2009.4/4.2,2010.1/4,2010.1/4.1,2010.1/4.2,2010.2/4,2010.2/4.1,2010.2/4.2,2010.3/4,2010.3/4.1,2010.3/4.2,2010.4/4,2010.4/4.1,2010.4/4.2,2011.1/4,2011.1/4.1,2011.1/4.2,2011.2/4,2011.2/4.1,2011.2/4.2,2011.3/4,2011.3/4.1,2011.3/4.2,2011.4/4,2011.4/4.1,2011.4/4.2,2012.1/4,2012.1/4.1,2012.1/4.2,2012.2/4,2012.2/4.1,2012.2/4.2,2012.3/4,2012.3/4.1,2012.3/4.2,2012.4/4,2012.4/4.1,2012.4/4.2,2013.1/4,2013.1/4.1,2013.1/4.2,2013.2/4,2013.2/4.1,2013.2/4.2,2013.3/4,2013.3/4.1,2013.3/4.2,2013.4/4,2013.4/4.1,2013.4/4.2,2014.1/4,2014.1/4.1,2014.1/4.2,2014.2/4,2014.2/4.1,2014.2/4.2,2014.3/4,2014.3/4.1,2014.3/4.2,2014.4/4,2014.4/4.1,2014.4/4.2,2015.1/4,2015.1/4.1,2015.1/4.2,2015.2/4,2015.2/4.1,2015.2/4.2,2015.3/4,2015.3/4.1,2015.3/4.2,2015.4/4,2015.4/4.1,2015.4/4.2,2016.1/4,2016.1/4.1,2016.1/4.2,2016.2/4,2016.2/4.1,2016.2/4.2,2016.3/4,2016.3/4.1,2016.3/4.2,2016.4/4,2016.4/4.1,2016.4/4.2,2017.1/4,2017.1/4.1,2017.1/4.2,2017.2/4,2017.2/4.1,2017.2/4.2,2017.3/4,2017.3/4.1,2017.3/4.2,2017.4/4,2017.4/4.1,2017.4/4.2,2018.1/4,2018.1/4.1,2018.1/4.2,2018.2/4,2018.2/4.1,2018.2/4.2,2018.3/4,2018.3/4.1,2018.3/4.2,2018.4/4,2018.4/4.1,2018.4/4.2,2019.1/4,2019.1/4.1,2019.1/4.2,2019.2/4,2019.2/4.1,2019.2/4.2,2019.3/4,2019.3/4.1,2019.3/4.2,2019.4/4,2019.4/4.1,2019.4/4.2
The number of hosehold members (Person),4.0,3.97,4.05,3.98,3.97,4.02,4.01,3.98,4.06,3.99,3.96,4.05,3.99,3.98,4.02,3.97,3.97,3.97,3.97,3.95,3.99,3.95,3.92,4.0,3.95,3.93,3.97,3.91,3.88,3.96,3.91,3.89,3.95,3.93,3.92,3.96,3.95,3.94,3.97,3.83,3.79,3.9,3.79,3.76,3.85,3.79,3.77,3.84,3.79,3.77,3.83,3.76,3.72,3.83,3.74,3.7,3.82,3.75,3.72,3.79,3.73,3.7,3.8,3.73,3.7,3.79,3.73,3.71,3.76,3.73,3.71,3.75,3.71,3.68,3.74,3.68,3.65,3.73,3.65,3.63,3.69,3.64,3.63,3.68,3.65,3.64,3.67,3.64,3.62,3.66,3.64,3.64,3.65,3.64,3.62,3.65,3.64,3.64,3.64,3.62,3.63,3.6,3.62,3.63,3.59,3.6,3.61,3.58,3.59,3.59,3.6,3.59,3.61,3.57,3.58,3.59,3.57,3.58,3.57,3.59,3.57,3.58,3.54,3.53,3.54,3.52,3.52,3.52,3.52,3.51,3.54,3.48,3.5,3.52,3.47,3.49,3.51,3.45,3.49,3.51,3.46,3.48,3.52,3.42,3.45,3.49,3.39,3.42,3.46,3.37,3.43,3.46,3.39,3.42,3.46,3.35,3.49,3.53,3.42,3.48,3.52,3.41,3.46,3.51,3.4,3.47,3.51,3.4,3.44,3.49,3.37,3.43,3.46,3.38,3.41,3.45,3.35,3.41,3.45,3.36,3.4,3.44,3.34,3.39,3.44,3.32,3.36,3.41,3.29,3.36,3.41,3.27,3.38,3.44,3.29,3.32,3.38,3.23,3.31,3.38,3.21,3.31,3.38,3.2,3.29,3.37,3.17,3.29,3.36,3.19,3.3,3.38,3.18,3.29,3.38,3.17,3.34,3.44,3.2,3.35,3.44,3.21,3.34,3.44,3.2,3.36,3.45,3.22,3.31,3.41,3.16,3.32,3.41,3.18,3.32,3.41,3.17,3.33,3.42,3.19,3.29,3.41,3.12,3.3,3.39,3.16,3.29,3.38,3.14,3.3,3.42,3.13,3.27,3.38,3.11,3.28,3.36,3.15,3.27,3.34,3.15,3.28,3.37,3.14,3.26,3.37,3.1,3.27,3.37,3.11,3.26,3.37,3.09,3.27,3.39,3.08,3.22,3.35,3.01,3.24,3.35,3.06,3.24,3.36,3.04,3.25,3.36,3.05,3.19,3.32,2.98,3.2,3.3,3.01,3.19,3.29,3.02,3.2,3.31,3.02,3.15,3.28,2.94,3.16,3.26,2.98,3.15,3.25,2.97,3.16,3.25,2.98,3.12,3.23,2.93,3.12,3.24,2.92,3.12,3.23,2.93,3.12,3.23,2.92,3.08,3.21,2.88,3.09,3.18,2.93,3.08,3.16,2.94,3.09,3.17,2.95,3.08,3.21,2.89,3.08,3.2,2.91,3.08,3.18,2.93,3.09,3.2,2.92,3.06,3.18,2.88,3.07,3.18,2.9,3.06,3.18,2.88,3.07,3.19,2.89
Age of household's head (Age),38.67,37.11,41.85,38.66,37.23,41.65,38.74,37.3,41.75,38.94,37.55,41.85,39.11,37.71,42.02,39.4,38.09,41.99,39.54,38.15,42.23,39.63,38.36,42.11,39.66,38.27,42.39,39.64,38.3,42.32,39.79,38.44,42.43,40.18,38.82,42.76,40.47,39.04,43.13,39.52,38.09,42.22,39.7,38.29,42.29,40.0,38.6,42.56,40.21,38.79,42.72,40.31,38.86,42.93,40.4,38.88,43.17,40.75,39.2,43.57,40.84,39.04,43.98,41.07,39.44,43.94,41.27,39.61,44.1,41.48,39.88,44.15,41.71,40.04,44.46,41.8,40.11,44.68,41.95,40.18,44.95,41.95,40.03,45.18,42.11,39.95,45.6,42.36,40.41,45.58,42.51,40.6,45.55,42.7,40.77,45.77,41.8,39.81,44.65,41.95,40.02,44.72,42.12,40.17,44.76,42.42,40.47,45.09,42.64,40.31,45.61,42.86,40.5,46.01,43.07,40.69,46.19,43.31,40.89,46.61,43.44,40.98,46.72,43.67,41.06,47.15,43.83,41.15,47.4,44.02,41.28,47.66,44.21,41.44,47.81,44.29,41.58,47.95,44.47,41.74,48.07,44.52,41.66,48.3,44.66,41.6,48.68,44.75,41.57,48.97,44.99,41.88,49.08,45.21,42.03,49.36,44.53,41.85,48.34,44.49,41.94,48.29,44.64,42.29,48.01,44.73,42.26,48.42,45.14,42.7,48.7,45.21,42.78,48.87,45.38,42.88,48.98,45.87,43.23,49.76,45.87,43.19,49.63,46.02,43.5,49.77,46.25,43.4,50.38,46.38,43.65,50.35,46.42,43.7,50.36,46.55,43.77,50.77,46.72,43.75,51.1,46.98,44.0,51.34,47.23,43.97,51.77,47.21,43.97,51.95,47.3,44.06,52.16,47.56,44.16,52.58,47.54,43.97,52.73,47.39,44.2,52.19,47.51,44.22,52.48,47.53,44.13,52.76,47.95,44.28,53.41,47.95,44.44,53.15,47.97,44.79,52.73,47.98,44.92,52.74,48.05,44.57,53.08,48.12,45.07,52.9,48.45,45.33,53.39,48.45,45.11,53.53,48.52,44.89,53.94,48.76,45.58,53.72,48.73,45.5,53.86,48.91,45.69,54.14,49.04,45.49,54.68,49.12,46.09,54.14,49.19,46.24,54.17,49.19,46.01,54.5,49.47,46.16,54.79,49.54,46.4,54.88,49.54,46.38,55.1,49.65,46.36,55.41,49.86,46.23,55.83,49.58,46.33,55.33,49.7,46.3,55.74,49.84,46.45,55.96,50.08,46.13,56.87,50.31,46.99,56.28,50.29,47.07,56.0,50.5,47.25,56.36,50.83,47.1,56.99,51.17,47.86,56.99,51.12,47.85,56.74,51.16,47.92,56.64,51.34,47.58,57.55,51.57,48.55,56.9,51.75,48.7,57.02,51.85,48.82,56.99,52.43,48.27,58.46,52.59,48.79,58.3,52.79,49.13,58.24,52.99,49.17,58.71,53.2,49.16,59.02,53.17,49.51,58.75,53.21,49.52,58.83,53.34,49.67,59.03
Distribution of households (%),100.0,67.17,32.83,100.0,67.66,32.34,100.0,67.78,32.22,100.0,67.55,32.45,100.0,67.44,32.56,100.0,66.39,33.61,100.0,65.9,34.1,100.0,66.18,33.82,100.0,66.43,33.57,100.0,66.46,33.54,100.0,66.1,33.9,100.0,65.4,34.6,100.0,65.07,34.93,100.0,65.48,34.52,100.0,64.61,35.39,100.0,64.58,35.42,100.0,63.8,36.21,100.0,64.34,35.66,100.0,64.45,35.55,100.0,64.51,35.49,100.0,63.55,36.45,100.0,63.62,36.38,100.0,62.97,37.03,100.0,62.59,37.41,100.0,62.37,37.63,100.0,62.88,37.13,100.0,62.84,37.16,100.0,62.73,37.27,100.0,61.75,38.25,100.0,62.26,37.74,100.0,61.47,38.53,100.0,61.39,38.61,100.0,58.88,41.12,100.0,58.84,41.16,100.0,57.61,42.39,100.0,57.72,42.29,100.0,56.04,43.96,100.0,57.14,42.86,100.0,56.77,43.23,100.0,57.67,42.33,100.0,57.09,42.91,100.0,57.2,42.8,100.0,57.07,42.93,100.0,57.1,42.9,100.0,56.56,43.44,100.0,57.46,42.54,100.0,56.92,43.08,100.0,56.89,43.11,100.0,56.78,43.22,100.0,57.06,42.94,100.0,56.79,43.22,100.0,56.6,43.4,100.0,58.67,41.33,100.0,59.89,40.11,100.0,58.99,41.01,100.0,59.87,40.13,100.0,59.45,40.55,100.0,60.12,39.88,100.0,58.98,41.02,100.0,59.54,40.46,100.0,58.46,41.54,100.0,59.82,40.18,100.0,59.24,40.76,100.0,59.3,40.7,100.0,59.07,40.93,100.0,60.25,39.76,100.0,59.54,40.46,100.0,59.32,40.68,100.0,58.23,41.77,100.0,59.44,40.56,100.0,59.97,40.04,100.0,59.63,40.37,100.0,59.26,40.74,100.0,60.07,39.94,100.0,60.15,39.85,100.0,60.62,39.38,100.0,59.82,40.18,100.0,59.78,40.22,100.0,59.91,40.09,100.0,60.86,39.15,100.0,59.12,40.88,100.0,61.05,38.95,100.0,61.31,38.69,100.0,60.31,39.69,100.0,59.88,40.12,100.0,61.0,39.0,100.0,61.33,38.67,100.0,61.84,38.16,100.0,61.39,38.62,100.0,62.39,37.61,100.0,62.75,37.25,100.0,62.59,37.41,100.0,61.65,38.35,100.0,62.96,37.04,100.0,63.7,36.3,100.0,63.66,36.34,100.0,62.21,37.79,100.0,63.91,36.09,100.0,64.01,35.99,100.0,64.3,35.7,100.0,63.27,36.74,100.0,64.22,35.78,100.0,63.94,36.06,100.0,64.34,35.66,100.0,62.33,37.68,100.0,63.7,36.3,100.0,63.16,36.85,100.0,62.81,37.19,100.0,62.29,37.71,100.0,63.81,36.19,100.0,63.31,36.69,100.0,62.9,37.1,100.0,59.24,40.76,100.0,60.06,39.94,100.0,59.91,40.09,100.0,59.89,40.11,100.0,59.06,40.94,100.0,60.41,39.59,100.0,60.33,39.67,100.0,60.74,39.26
Income (Won),880499.0,890099.0,860860.0,893567.0,893907.0,892856.0,955067.0,978042.0,906743.0,1023397.0,1030701.0,1008189.0,1037358.0,1056632.0,997436.0,1102974.0,1116540.0,1076170.0,1209846.0,1235283.0,1160683.0,1241680.0,1254606.0,1216384.0,1281416.0,1303154.0,1238402.0,1294479.0,1300292.0,1282958.0,1373846.0,1413017.0,1297473.0,1401878.0,1436184.0,1337035.0,1399354.0,1441909.0,1320082.0,1373666.0,1393284.0,1336452.0,1485945.0,1522412.0,1419372.0,1520282.0,1538170.0,1487672.0,1575002.0,1610375.0,1512673.0,1595197.0,1615489.0,1558580.0,1699626.0,1746560.0,1614530.0,1763330.0,1797965.0,1700364.0,1800104.0,1855637.0,1703276.0,1784011.0,1790993.0,1771801.0,1927803.0,1974977.0,1847595.0,1972331.0,1987734.0,1946557.0,2048761.0,2103024.0,1958833.0,2020923.0,2039148.0,1990057.0,2154071.0,2257731.0,1978793.0,2158440.0,2210506.0,2070798.0,2227433.0,2295339.0,2117820.0,2170393.0,2212279.0,2101304.0,2281712.0,2397538.0,2096892.0,2163884.0,2213375.0,2085194.0,2050708.0,2252897.0,1761141.0,1937810.0,2115525.0,1683714.0,1893747.0,2098692.0,1615216.0,1989359.0,2155432.0,1762689.0,1990374.0,2256189.0,1651565.0,1947769.0,2133148.0,1700626.0,2037798.0,2280919.0,1718472.0,2150771.0,2337809.0,1895911.0,2162493.0,2366669.0,1890804.0,2190388.0,2358357.0,1965892.0,2251162.0,2461107.0,1972094.0,2279058.0,2454401.0,2045717.0,2345507.0,2605111.0,2007551.0,2325331.0,2520316.0,2061988.0,2506651.0,2761632.0,2169728.0,2527119.0,2771062.0,2205253.0,2591918.0,2837833.0,2268856.0,2551194.0,2778922.0,2248575.0,2638241.0,2902185.0,2291416.0,2586028.0,2855608.0,2234458.0,2663267.0,2893599.0,2336322.0,2637504.0,2846746.0,2325099.0,2760024.0,3028878.0,2373334.0,2786590.0,3013319.0,2448322.0,2846384.0,3117382.0,2449037.0,2789028.0,2986586.0,2491248.0,2941362.0,3248893.0,2499148.0,2896575.0,3154732.0,2516692.0,2989474.0,3321011.0,2522892.0,2903278.0,3127049.0,2570178.0,2993281.0,3308483.0,2535235.0,3006045.0,3302880.0,2573528.0,3129330.0,3471938.0,2634926.0,3031383.0,3323627.0,2588523.0,3099584.0,3456375.0,2574511.0,3219827.0,3588015.0,2682840.0,3302574.0,3758636.0,2666714.0,3148824.0,3483603.0,2658197.0,3341487.0,3746383.0,2735040.0,3339172.0,3731046.0,2760251.0,3531684.0,4046151.0,2783278.0,3392783.0,3795947.0,2786404.0,3575046.0,4023598.0,2897935.0,3463625.0,3867959.0,2841150.0,3524824.0,4009714.0,2803004.0,3326275.0,3704019.0,2764766.0,3484018.0,3900620.0,2861424.0,3565640.0,3912314.0,3026692.0,3775122.0,4211953.0,3143363.0,3583912.0,3888913.0,3105915.0,3703413.0,4042094.0,3166764.0,3649443.0,3992857.0,3127655.0,3913761.0,4387262.0,3207164.0,3761903.0,4091551.0,3246207.0,3946469.0,4335289.0,3329809.0,3936719.0,4276065.0,3386713.0,4178467.0,4682237.0,3377648.0,3993860.0,4313095.0,3464208.0,4187731.0,4583766.0,3520706.0,4137017.0,4517441.0,3500616.0,4237786.0,4784174.0,3359423.0,4076229.0,4447413.0,3445257.0,4302687.0,4737353.0,3539805.0,4209649.0,4616619.0,3496733.0,4442175.0,4974618.0,3565603.0,4186937.0,4549550.0,3544808.0,4422837.0,4837662.0,3685121.0,4287024.0,4697722.0,3547237.0,4549865.0,5080503.0,3635999.0,4304380.0,4665765.0,3655787.0,4439672.0,4882663.0,3654093.0,4334547.0,4717494.0,3643477.0,4590821.0,5172557.0,3628464.0,4342782.0,4748993.0,3629828.0,4464183.0,4948983.0,3633200.0,4335580.0,4795445.0,3558782.0,4665034,5317810,3586743,4380398,4733687,3757399,4581179,5067814,3741382,4472246,4891049,3762108,4854856,5670229,3669884,4619408,5167683,3795046,4843786,5495150,3870546,4685940,5274193,3807491,4917719,5660138,3846639,4802320,5374467,3929180,4983946,5690639,3909227,4880947,5494686,3931339
Current income (Won),844934.0,851654.0,831187.0,858842.0,854623.0,867668.0,923080.0,942342.0,882564.0,970420.0,975048.0,960785.0,998761.0,1012497.0,970309.0,1055022.0,1063139.0,1038985.0,1163611.0,1184638.0,1122973.0,1176368.0,1180488.0,1168306.0,1224160.0,1238614.0,1195561.0,1242718.0,1245130.0,1237937.0,1319104.0,1354279.0,1250521.0,1333288.0,1357468.0,1287584.0,1341354.0,1376875.0,1275185.0,1326964.0,1338487.0,1305107.0,1434569.0,1464762.0,1379450.0,1446600.0,1457379.0,1426950.0,1504177.0,1533420.0,1452648.0,1526538.0,1536102.0,1509281.0,1630676.0,1670501.0,1558472.0,1672039.0,1694142.0,1631857.0,1718976.0,1759797.0,1647799.0,1720838.0,1719971.0,1722354.0,1858852.0,1900948.0,1787277.0,1883339.0,1889571.0,1872912.0,1956062.0,2005978.0,1873337.0,1928217.0,1938392.0,1910985.0,2074417.0,2167905.0,1916340.0,2038763.0,2080351.0,1968758.0,2124486.0,2178326.0,2037577.0,2069369.0,2105053.0,2010510.0,2188565.0,2292298.0,2023043.0,2061994.0,2106678.0,1990948.0,1950128.0,2139391.0,1679072.0,1820138.0,1958982.0,1621619.0,1829112.0,2012959.0,1579254.0,1880882.0,2026075.0,1682712.0,1870366.0,2088191.0,1592725.0,1847888.0,2026696.0,1609506.0,1980475.0,2219315.0,1666771.0,2010595.0,2185064.0,1772863.0,2036142.0,2214631.0,1798635.0,2055757.0,2200955.0,1861693.0,2131448.0,2328954.0,1868914.0,2168082.0,2326363.0,1957446.0,2215084.0,2452450.0,1906077.0,2212813.0,2383937.0,1981696.0,2361595.0,2589205.0,2060838.0,2393482.0,2620741.0,2093630.0,2442707.0,2673908.0,2138973.0,2432455.0,2650103.0,2143231.0,2515319.0,2779526.0,2168147.0,2477154.0,2744709.0,2128225.0,2556237.0,2776141.0,2244092.0,2545666.0,2741922.0,2252650.0,2674868.0,2942008.0,2290643.0,2687134.0,2911619.0,2352214.0,2712684.0,2969963.0,2335454.0,2708831.0,2911605.0,2403188.0,2831269.0,3127964.0,2404638.0,2794447.0,3049048.0,2419798.0,2844926.0,3152568.0,2411974.0,2797982.0,3043972.0,2431808.0,2902271.0,3214938.0,2447910.0,2881373.0,3182848.0,2442095.0,2948174.0,3273111.0,2479271.0,2918022.0,3203500.0,2485416.0,3011268.0,3368735.0,2485201.0,3065640.0,3436220.0,2525165.0,3139141.0,3583307.0,2519867.0,3044820.0,3385537.0,2545491.0,3224451.0,3631635.0,2614576.0,3186730.0,3575899.0,2611805.0,3373074.0,3864999.0,2657462.0,3271310.0,3663001.0,2682189.0,3455180.0,3909414.0,2769489.0,3337282.0,3727621.0,2736353.0,3331658.0,3783855.0,2658503.0,3214688.0,3579720.0,2672076.0,3378928.0,3778161.0,2782291.0,3423293.0,3761403.0,2897658.0,3559155.0,4055047.0,2841980.0,3453160.0,3749810.0,2988251.0,3601887.0,3952303.0,3046643.0,3534221.0,3885834.0,2999976.0,3731975.0,4193893.0,3042664.0,3628332.0,3974110.0,3087404.0,3840449.0,4249093.0,3192348.0,3828693.0,4158955.0,3293410.0,4010161.0,4522539.0,3195659.0,3854348.0,4187304.0,3301932.0,4057326.0,4473430.0,3356499.0,4018757.0,4402505.0,3376798.0,4077821.0,4611203.0,3220365.0,3958625.0,4330587.0,3326332.0,4164579.0,4615120.0,3373836.0,4084733.0,4480621.0,3391229.0,4251270.0,4792691.0,3359917.0,4068084.0,4433068.0,3421757.0,4274825.0,4711467.0,3498310.0,4156196.0,4570831.0,3409317.0,4356304.0,4896103.0,3426661.0,4146847.0,4488033.0,3534505.0,4301432.0,4728444.0,3544188.0,4205791.0,4588553.0,3515057.0,4399184.0,4975530.0,3445747.0,4226496.0,4631765.0,3515195.0,4360365.0,4859318.0,3505123.0,4235617.0,4699447.0,3452123.0,4461656,5108591,3393012,4261751,4654046,3569968,4496870,4993221,3640304,4389890,4814756,3669471,4812478,5622098,3635868,4579544,5135005,3744379,4797993,5448164,3826536,4650010,5256355,3744542,4894512,5645160,3811562,4780247,5355554,3902286,4967034,5678678,3884786,4860223,5479578,3901925
Wage and salary income (Won),535212.0,757519.0,80417.0,544873.0,766479.0,81173.0,607204.0,852670.0,90887.0,628697.0,885529.0,93965.0,635586.0,900392.0,87091.0,661441.0,947564.0,96146.0,746168.0,1072518.0,115431.0,738469.0,1061773.0,105765.0,767075.0,1099628.0,109063.0,783249.0,1117847.0,120117.0,850579.0,1221943.0,126503.0,844915.0,1220904.0,134248.0,847902.0,1238354.0,120563.0,843819.0,1219349.0,131459.0,919842.0,1340109.0,152612.0,911799.0,1324118.0,160129.0,936058.0,1378387.0,156650.0,960604.0,1396734.0,173620.0,1041052.0,1518800.0,174857.0,1054752.0,1534203.0,183141.0,1084173.0,1588220.0,205306.0,1062959.0,1550813.0,209900.0,1175179.0,1740903.0,213275.0,1160078.0,1719710.0,223660.0,1200130.0,1794658.0,214829.0,1184777.0,1750660.0,226416.0,1328593.0,1971852.0,240912.0,1272639.0,1884215.0,243182.0,1303250.0,1936852.0,280496.0,1275620.0,1884942.0,270555.0,1383561.0,2072870.0,283653.0,1269774.0,1908502.0,254207.0,1249421.0,1943172.0,255856.0,1133373.0,1771009.0,221683.0,1145199.0,1830659.0,213622.0,1152729.0,1827630.0,231570.0,1137329.0,1849668.0,229380.0,1128903.0,1809948.0,220952.0,1248157.0,2009702.0,247908.0,1243282.0,1965824.0,258740.0,1246508.0,1958623.0,298928.0,1260051.0,1975265.0,304139.0,1343372.0,2107268.0,327969.0,1336269.0,2078848.0,348071.0,1371955.0,2175298.0,326152.0,1376265.0,2131685.0,356009.0,1469999.0,2323158.0,342664.0,1474029.0,2330563.0,343888.0,1491802.0,2353234.0,360123.0,1506981.0,2350595.0,385936.0,1584536.0,2485263.0,400972.0,1567653.0,2484564.0,371872.0,1667339.0,2524232.0,451019.0,1679362.0,2508309.0,441723.0,1791477.0,2702363.0,481361.0,1775821.0,2658805.0,458455.0,1803984.0,2700886.0,488916.0,1786276.0,2642506.0,495674.0,1905376.0,2853585.0,541904.0,1843973.0,2750266.0,510344.0,1860475.0,2809047.0,525526.0,1845753.0,2736648.0,519588.0,1936108.0,2900620.0,534497.0,1897813.0,2851550.0,508129.0,1946971.0,2927712.0,531703.0,1944512.0,2885419.0,518682.0,2038368.0,3068675.0,522114.0,2047536.0,3111612.0,495623.0,2088164.0,3216929.0,514397.0,2035470.0,3065674.0,525680.0,2209829.0,3296881.0,581657.0,2160220.0,3237797.0,568302.0,2314479.0,3491843.0,601747.0,2227845.0,3315992.0,591220.0,2392690.0,3558746.0,632471.0,2296040.0,3398551.0,598715.0,2288074.0,3384687.0,655625.0,2188912.0,3250789.0,610458.0,2307166.0,3423246.0,639233.0,2321513.0,3406962.0,634044.0,2391734.0,3601514.0,642108.0,2311772.0,3372856.0,648848.0,2472209.0,3581409.0,714657.0,2397119.0,3514379.0,699543.0,2539973.0,3762941.0,714959.0,2439500.0,3562720.0,682359.0,2623317.0,3829845.0,709789.0,2585092.0,3717819.0,749191.0,2744974.0,3999550.0,750635.0,2616039.0,3741446.0,748842.0,2819116.0,4041715.0,759942.0,2762449.0,3977107.0,730484.0,2802304.0,4114318.0,693138.0,2696143.0,3868148.0,703866.0,2915642.0,4165347.0,722286.0,2829105.0,4035876.0,715122.0,2947923.0,4292653.0,734065.0,2811419.0,3975273.0,750425.0,3002791.0,4235918.0,809827.0,2910482.0,4094277.0,778118.0,3061981.0,4350180.0,843441.0,2853822.0,3988926.0,816602.0,3001909.0,4220179.0,841484.0,2945619.0,4128804.0,810439.0,3075269.0,4437700.0,821421.0,2905735.0,4118371.0,777397.0,3046299.0,4363300.0,788863.0,2927935.0,4204861.0,770971.0,3085412,4491432,762869,2903004,4102233,788257,3104085,4432636,811371,2956046,4221399,810465,3271919,4919271,877844,3091207,4554856,890530,3280154,4833437,959311,3185680,4674032,963094,3303444,4905179,992640,3257161,4725485,1016388,3463481,5027222,1085388,3397520,4885408,1095382
