Sejong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204.1,92.6,453.7,242.5,98.0,404.0,276.6,116.3,420.6,0.0,0.0,0.0,312.4,130.9,419.0,0.0,0.0,0.0,338.1,144.5,427.3,0.0,0.0,0.0,353.9,149.3,421.7,0.0,0.0,0.0,366.2,156.2,426.4,0.0,0.0,0.0,382.6,162.7,425.3,0.0,0.0,0.0,386.3,165.9,429.6
Gyeonggi,7649.7,1606.7,210.0,8984.1,2125.9,236.6,10415.4,3247.5,311.8,11379.5,3836.7,337.2,11651.0,3838.6,329.5,12479.1,4328.5,346.9,12672.0,4444.4,350.7,12851.6,4579.8,356.4,0.0,0.0,0.0,13103.2,4798.0,366.2,0.0,0.0,0.0,13300.9,4979.0,374.3,0.0,0.0,0.0,13511.7,5113.9,378.5,0.0,0.0,0.0,13652.5,5217.8,382.2,0.0,0.0,0.0,13717.8,5330.2,388.6,0.0,0.0,0.0,13815.4,5464.2,395.5
Gangwon-do,1466.2,394.2,268.9,1487.0,457.6,307.8,1464.6,541.5,369.8,1471.5,599.3,407.1,1501.0,605.9,403.7,1518.0,646.9,426.1,1521.8,655.7,430.9,1521.4,668.8,439.6,0.0,0.0,0.0,1520.4,688.7,452.9,0.0,0.0,0.0,1520.1,715.1,470.4,0.0,0.0,0.0,1521.8,731.4,480.6,0.0,0.0,0.0,1521.9,742.0,487.6,0.0,0.0,0.0,1528.0,753.2,492.9,0.0,0.0,0.0,1528.0,762.6,499.1
Chungcheongbuk-do,1396.7,358.3,256.6,1466.6,422.4,288.0,1460.5,520.1,356.1,1512.2,599.5,396.5,1543.0,600.3,389.0,1589.3,669.4,421.2,1603.4,684.3,426.7,1611.0,700.8,435.0,0.0,0.0,0.0,1620.9,729.7,450.2,0.0,0.0,0.0,1629.3,749.4,459.9,0.0,0.0,0.0,1632.1,766.1,469.4,0.0,0.0,0.0,1624.8,776.9,478.1,0.0,0.0,0.0,1625.0,786.5,484.0,0.0,0.0,0.0,1641.5,801.2,488.1
Chungcheongnam-do,1766.9,477.6,270.3,1845.3,585.1,317.1,1889.5,685.3,362.7,2028.0,807.2,398.0,2086.0,794.6,380.9,2107.8,862.5,409.2,2132.6,888.9,416.8,2162.4,922.8,426.7,0.0,0.0,0.0,2181.4,959.5,439.8,0.0,0.0,0.0,2188.6,978.7,447.2,0.0,0.0,0.0,2176.6,994.9,457.1,0.0,0.0,0.0,2176.0,1006.0,462.3,0.0,0.0,0.0,2193.2,1027.6,468.5,0.0,0.0,0.0,2216.3,1059.3,477.9
Jeollabuk-do,1902.0,496.1,260.8,1890.7,568.6,300.7,1784.0,638.4,357.9,1777.2,709.1,399.0,1820.0,711.8,391.1,1834.1,770.9,420.3,1833.2,777.8,424.3,1826.2,785.1,429.9,0.0,0.0,0.0,1818.2,802.0,441.1,0.0,0.0,0.0,1807.4,816.1,451.5,0.0,0.0,0.0,1802.8,834.1,462.7,0.0,0.0,0.0,1787.1,841.1,470.7,0.0,0.0,0.0,1774.3,849.1,478.5,0.0,0.0,0.0,1768.5,859.3,485.9
Jeollanam-do,2066.8,606.4,293.4,1996.5,647.0,324.1,1819.8,692.3,380.4,1741.5,727.0,417.6,1785.0,731.9,410.1,1799.0,795.9,442.4,1796.0,805.1,448.3,1792.3,816.3,455.5,0.0,0.0,0.0,1790.4,829.5,463.3,0.0,0.0,0.0,1787.5,842.1,471.1,0.0,0.0,0.0,1788.8,857.8,479.5,0.0,0.0,0.0,1778.1,868.6,488.5,0.0,0.0,0.0,1771.4,881.7,497.7,0.0,0.0,0.0,1776.7,893.0,502.6
Gyeongsangbuk-do,2676.3,723.2,270.2,2724.9,824.7,302.7,2607.6,965.4,370.2,2600.0,1092.3,420.1,2652.0,1083.5,408.6,2680.3,1195.5,446.0,2682.2,1216.7,453.6,2677.1,1247.3,465.9,0.0,0.0,0.0,2672.9,1271.0,475.5,0.0,0.0,0.0,2668.2,1293.3,484.7,0.0,0.0,0.0,2644.8,1306.0,493.8,0.0,0.0,0.0,2635.3,1315.6,499.2,0.0,0.0,0.0,2620.4,1320.7,504.0,0.0,0.0,0.0,2589.9,1319.7,509.6
Gyeongsangnam-do,3845.6,897.8,233.5,2978.5,822.3,276.1,3056.4,1062.1,347.5,3160.2,1200.7,380.0,3228.0,1206.6,373.8,3334.5,1338.5,401.4,3339.6,1358.4,406.8,3345.3,1404.0,419.7,0.0,0.0,0.0,3350.4,1438.8,429.5,0.0,0.0,0.0,3347.2,1480.5,442.3,0.0,0.0,0.0,3333.1,1509.7,453.0,0.0,0.0,0.0,3305.9,1517.0,458.9,0.0,0.0,0.0,3280.8,1522.6,464.1,0.0,0.0,0.0,3271.2,1532.2,468.4
Jeju,505.4,114.2,226.0,513.3,127.6,248.5,531.9,172.0,323.4,531.9,182.5,343.0,551.0,181.6,329.6,605.6,221.9,366.4,623.3,236.4,379.3,641.8,252.6,393.7,0.0,0.0,0.0,658.3,266.4,404.7,0.0,0.0,0.0,665.0,277.1,416.7,0.0,0.0,0.0,670.9,281.4,419.5,0.0,0.0,0.0,673.1,284.7,422.9,0.0,0.0,0.0,676.4,288.0,425.8,0.0,0.0,0.0,676.8,293.2,433.2
