,Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population),Price Growth Rate (%),Apartment Growth Rate (%),Row House Growth Rate (%),Detached House Growth Rate (%)
294,Gyeongsangnam-do,2020,16823,0.945,5,11900,3.6,0.06,0.09,-0.17,0.01
295,Gyeongsangnam-do,2021,15562,0.903,4.7,10531,3.2,0.52,0.81,0.01,0.13
296,Gyeongsangnam-do,2023,13049,0.799,4,10232,3.1,-0.57,-0.85,-0.3,-0.09
297,Gyeongsangnam-do,2024,13100,0.82,4,11429,3.5,-0.08,-0.12,-0.11,0.02
298,Jeju,2003,6583,1.438,11.9,3379,6.1,-0.1,-0.19,0.0,0.0
299,Jeju,2004,6097,1.365,11,3325,6.0,-1.25,-0.03,-0.84,-2.05
300,Jeju,2005,5734,1.31,10.3,3382,6.1,-0.35,-0.05,-0.64,-0.4
301,Jeju,2006,5853,1.372,10.5,3576,6.4,-0.4,0.03,-0.76,-0.48
302,Jeju,2007,6178,1.489,11.1,3495,6.3,-0.19,0.23,-0.14,-0.43
303,Jeju,2008,5593,1.386,10,3445,6.2,-0.05,0.26,-0.29,-0.07
304,Jeju,2009,5433,1.378,9.7,3279,5.8,0.07,0.39,0.38,-0.28
305,Jeju,2010,5657,1.463,10,3515,6.2,0.38,0.84,0.58,0.0
306,Jeju,2012,5992,1.598,10.4,3482,6.1,0.45,1.22,0.36,0.12
307,Jeju,2013,5328,1.427,9.1,3638,6.2,-0.03,-0.1,0.01,-0.01
308,Jeju,2014,5526,1.481,9.3,3593,6.0,0.09,0.1,0.07,0.09
309,Jeju,2017,5037,1.305,7.8,3654,5.7,0.14,0.17,0.0,0.21
310,Jeju,2018,4781,1.22,7.3,3638,5.5,0.09,-0.21,-0.11,0.41
311,Jeju,2019,4500,1.145,6.8,3358,5.1,-0.07,-0.24,-0.22,0.12
312,Jeju,2020,3989,1.021,6,2981,4.5,-0.29,-0.27,-0.29,-0.3
313,Jeju,2021,3728,0.951,5.6,2661,4.0,0.44,1.38,0.1,0.09
314,Jeju,2023,3222,0.827,4.8,2614,3.9,-0.25,-0.55,-0.19,-0.05
315,Jeju,2024,3200,0.83,4.7,2744,4.1,-0.1,-0.19,-0.09,-0.04
